a	ⴰ
laid	ⵜⴻⵥⵥⴻⵍ
lake	ⴰⵀⴻⵍⵎⵉⵎ
lamb	ⵉⵣⵉⵎⴻⵔ
lame	ⴰⵇⵓⴹⴰⵔ
lamp	ⵜⴰⴼⵜⵉⵍⵜ
land	ⵢⴻⵀⵡⴰ
landscape	ⵜⴰⵔⴰⴽⴰⵍⵜ
language	ⵜⵓⵜⵍⴰⵢⵜ
lap	ⵉⵔⴻⴱⴱⵉ
large	ⵡⴻⵙⵉⵉ
last	ⴰⵏⴻⴳⴳⴰⵔⵓ
last but not least	ⵜⴰⴳⴳⴰⵔⴰ ⵎⴰⵛⴰ ⵎⴰⵞⵉ ⴷ ⵜⵉⵏ ⵎⴻⵇⵇⵔⴻⵏ
last name	ⵏⴻⴽⵡⴰ
late	ⵉⵄⴻⵟⵟⴻⵍ
lately	ⵜⴰⴳⴰⵔⴰ
later	ⵜⵉⵛⴽⵉ
latest	ⵓⵏⴳⴰⵍ
latter	ⴰⵏⴻⴳⴰⵔⵓ
laugh	ⵜⴰⴹⵙⴰ
laughing	ⵜⴻⵜⵜⴰⴹⵙⴰ
laughter	ⵜⴰⴹⵙⴰ
launch	ⴰⵙⵏⵓⵍⴼⵓ
laundry	ⴰⵙⵙⵉⵔⴻⴷ
law	ⴰⵙⴰⴹⵓⴼ
lawn	ⵜⴰⵣⵣⵍⴰ
lawyer	ⴰⴱⵓⴳⴰⵟⵓ
lay	ⵙⵙⴻⵔⵙ
layer	ⵜⵉⵙⵙⵉⵜ
layout	ⴰⵙⵏⴰⵣⴻⵍ
lazy	ⴰⴼⴻⵏⵢⴰⵏ
lead	ⴰⵙⴼⴻⵍ
leader	ⴰⵇⴻⵔⵔⵓ
leaf	ⵜⴰⴼⵔⵉⵡⵜ
leak	ⵜⵏⴻⴳⴳⵉ
lean	ⵜⵜⵙⴻⵏⵏⵉⴷⴻⵖ
leap	ⵏⴻⴳⴳⴻⵣ
learn	ⵢⴻⵍⵎⴻⴷ
learning	ⴰⵍⵎⴰⴷ
lease	ⵢⴻⴽⵔⴰ
least	ⵎⴰⴷⵔⵓⵙ
leather	ⴰⴳⵍⵉⵎ
leave	ⵢⴻⴷⴷⴻⵔ
leave	ⵢⴻⵊⵊⴰ
leaves	ⵉⵣⴻⵔⴼⴰⵏ
led	ⵢⴻⵙⵙⴰⵡⴹⴻⵏ
left	ⴰⵣⴻⵍⵎⴰⴹ
leg	ⴰⴹⴰⵔ
legacy	ⴰⵢⵜⵎⴰ
legal	ⵍⵇⴰⵏⵓⵏ
legend	ⵜⵎⵓⵛⵓⵀⴰ
legit	ⵜⴰⵙⴰⴷⵓⴼⵜ
leisure	ⵍⵉⵙⵜⴰⵄ
lend	ⵔⴻⴹⵍⴻⵖ
length	ⵜⴻⵖⵣⵉ
less	ⴷⴰⵡ
lesson	ⵜⴰⵎⵙⵉⵔⵜ
let	ⴰⵙ ⴷⵯⵢⴻⴵⴵ
letter	ⵜⴰⴱⵔⴰⵜ
lettuce	ⵜⴰⵃⵍⴰⵡⴰⵜⵜ
level	ⴰⵙⵡⵉⵔ
leverage	ⴰⵏⴰⵎⵎⵓⴷ
liability	ⴰⵙⴻⵍⴽⴻⵎ
library	ⵜⴰⵙⴻⵔⴽⴰⵏⵜ
lick	ⵎⵛⴻⵃ
lie	ⵙⴽⴻⵔⴽⴻⵙ
lies	ⵜⵉⵙⴽⴻⵔⴽⴰⵙ
life	ⵜⵓⴷⴻⵔⵢ
lift	ⴷⴷⴻⵎ
light	ⵢⴻEⵡⴰ
light	ⵜⴰⴼⴰⵜ
lightning	ⵍⴱⵔⴻⵇ
like	ⴰⵎ
likely	ⴰⵀⴰⵜ
likewise	ⴰⴽⴽⴻⵏ ⴷⴰⵖⴻⵏ
line	ⴰⵣⵉⵔⵉⴳ
Lingala	ⵍⵉⵏⴳⴰⵍⴰ
link	ⵢⴻⵇⵇⴻⵏ
lion	ⵉⵣⴻⵎ
liquid	ⵉⵎⴻⵏⴳⵉ
list	ⵓⵎⵓⵖ
listen	ⵙⵙⴻⴼⵍⴻⴷ
listening	ⴰⵙⵎⴻⵃⵙⴻⵙ
literally	ⵙ ⵡⴰⵡⴰⵍ
literature	ⵜⴰⵙⴻⴽⵍⴰ
litter	ⵓⵔ ⵜⵜⴹⴻⴳⴳⵉⵔ ⵜⵓⵔⵙⴰⴹ
little	ⵛⵡⵉⵟ
live	ⵢⴻⵣⴷⴻⵖ
live	ⵢⴻⴷⴷⴻⵔ
liver	ⵜⴰⵙⴰ
lives	ⵜⵓⴷⴻⵔⵜ
living	ⵜⵓⴷⴻⵔⵜ
living room	ⵜⵎⴻⵙⵔⵉⵜ
lizard	ⴰⵃⴻⵍⴱⵓⴱⵓ
load	ⵜⵄⴻⴱⴱⴰ
loaf	ⴰⵖⵔⵓⵎ
loan	ⴰⵔⴻⴹⴹⴰⵍ
local	ⵏ ⵜⵎⵓⵔⵜ
location	ⴰⵎⴽⴰⵏ
lock	ⵜⵙⴻⴽⴽⴰⵕⵜ
lockdown	ⴰⵙⴻⴱⴷⴻⴷ
log	ⵉⵣⵇⵓⵔⴻⵏ
lol	ⵉⵙⴻⴹⵙⴰⵢ ⴰⵟⴰⵙ
lonely	ⵡⴻⵃⴷⴻⵙ
long	ⵖⴻⵣⴰⵉⴼⴻⵏ
long time no see	ⴰⵛⵃⴰⵍ ⴰⵢⴰ ⵓⵔ ⴽⵯⵏⴻⵣⵔⵉ
look	ⵎⵓⵇⵇⴻⵍ
loop	ⴰⴽⴻⵔⵓⵙ
loose	ⵙⴻⵄⵔⴻⵇ
lord	ⵙⵉⴷⵉ
lose	ⵢⴻⵙⵔⵓⵃ
loss	ⵍⴻⵅⵚⴰⵔⴰ
lost	ⵉⴹⴰⵄ
lot	ⴰⵟⴰⵙ
loud	ⵄⴻⴽⴽⴰⵢ
lounge	ⵜⴰⵎⴻⵙⵔⵉⵜ
love	ⵢⴻⵃⵎⴻⵍ
love you	ⵃⴻⵎⵎⵍⴻⵖⵯⴽⴻⵎ
lovely	ⵜⵓⵛⴱⵉⵃⵜ
low	ⴷⴻⵔⵓⵙ
lower	ⵔⵅⵉⵙⵉⵜ
loyal	ⵢⴻⵚⴼⴰⵏ
loyalty	ⵓⵏⵚⵉⵃ
luck	ⵣⵣⵀⴻⵕ
lucky	ⵣⵣⵀⴻⵔ
Luganda	ⵍⵓⴳⴰⵏⴷⴰ
luggage	ⵉⴼⴻⵛⴽⴰ
lump	ⵜⴰⵃⵊⵓⵔⵜ
lunch	ⵉⵎⴻⴽⵍⵉ
lungs	ⵜⵓⵔⵉⵏ
luxury	ⴰⵍⴰⵎⴻⵖ
lying	ⵍⴻⴽⴷⴻⴱ
machine	ⵜⴰⵎⴰⵛⵉⵏⵜ
mad	ⵢⴻⵎⵅⴻⵍ
madam	ⵎⴰⵙⵙⴰ
made	ⵢⴻⵜⵜⵡⴰⵅⴻⴷⵎⴻⵏ
magazine	ⵜⴰⵃⴰⵏⵓⵜ
magnificent	ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ
maid	ⵜⴰⵇⴻⴷⴷⴰⵛⵜ
main	ⵏⴻⵜⵜⴰ ⵉⴷ ⴷ ⵙⴻⵃ
maintain	ⴰⵃⴰⴼⴻⵔ
maintenance	ⴰⵙⴻⵃⴱⵉⴱⴻⵔ
Maithili	ⵎⴰⵜⵉⵍⵉ
major	ⵎⴻⵇⵇⴻⵔ
majority	ⵜⵓⴳⴻⵜ
make	ⴰⴳⴳ
make up	ⵢⴻⵜⵜⴻⵣⵔⵉⵔⵉ
male	ⴰⵔⴳⴰⵣ
mall	ⴰⵎⵙⴻⵏⵣⵉ
man	ⴰⵎⴷⴰⵏ
manage	ⴰⵇⵙⴻⵎⵀⴻⵍ
management	ⴰⵙⴻⵖⵜⵉ
manager	ⴰⵏⴻⵎⵀⴰⵍ
mandatory	ⴰⵡⴰⵍⴻⵏ
manifest	ⵙⴻⵏⴽⴻⴷ
manipulate	ⵏⴰⵡⴻⵍ
manner	ⵜⵉⴽⵍⵉ
manual	ⵙ ⵓⴼⵓⵙ
many	ⴰⵟⴰⵙ
many many happy returns of the day	ⴰⵟⴰⵙ ⵏ ⵡⵓⵙⵙⴰⵏ ⵏ ⵍⴼⴻⵔⵃ
march	ⵎⴰⵖⵔⴻⵙ
margin	ⵔⵔⵉⴼ
market	ⴰⵍⵣⵓⵣ
marriage	ⵣⵣⵡⴰǧ
married	ⵢⴻⵣⵡⴻⴵ
mask	ⵜⴰⴳⴻⵍⵎⵓⵙⵜ
mass	ⵜⴰⵥⴰⵢⵜ
massive	ⴰⵎⴻⵇⵇⵔⴰⵏ
master	ⴰⵙⴻⵍⵎⴰⴷ
match	ⵢⴻⵇⵇⴻⵏ
mate	ⴰⵎⴻⴷⴷⴰⴽⴻⵍ
material	ⴰⵍⵍⴰⵍ
math	ⵜⵓⵙⵏⴰⴽⵜ
matter	ⵜⴰⵏⴳⴰ
matter	ⴰⵙⵜⴻⵇⵙⵉ
matter	ⴰⵃⵙⴻⴱ
maturity	ⴰⵏⴻⵥⴰⵥ
may	ⵢⵣⵎⴻⵔ
maybe	ⴰⵀⴰⵜ
me	ⵏⴻⴽⵏⵉ
me too	ⵓⵍⴰ ⴷ ⵏⴻⴽⴽ
meal	ⵜⵉⵔⴻⵎⵜ
mean	ⴰⵏⴰⵎⴻⴽ
mean	ⴰⵍⴻⵎⵎⴰⵙ
meaning	ⴰⵏⴰⵎⴻⴽ
means	ⴷ ⵜⴰⵍⵍⴻⵍⵜ
meant	ⵢⴻⵇⵙⴻⴷ
meanwhile	ⵙⵢⵉⵏ
measure	ⵇⵉⵙⵙ
measures	ⴰⵃⴻⵣⵣⴻⴱ
meat	ⴰⴽⵙⵓⵎ
medical	ⵜⴻⵙⵏⴰⵊⵢⴰ
medicine	ⴷⴷⵡⴰ
meditation	ⴰⵃⴻⴱⴱⴻⵔ
medium	ⴰⴻⴳⴻⵏ
meet	ⵎⵍⴰⵍ
meeting	ⵜⵉⵎⵍⵉⵍⵉⵜ
Meiteilon	ⵎⵉⵜⴻⵍⵓⵏ
melt	ⵉⴼⴻⵙⵙⵉ
memories	ⵛⴼⴰⵡⴰⵜ
memory	ⵜⴰⴽⴰⵜⵓⵜ
mental	ⴰⵏⴻⵍⵍⴰⵢ
mention	ⵢⴻⴱⴷⴻⵔ
mentioned	ⵢⴻⴱⴷⴻⵔⵯⴷ
mentor	ⴰⵙⴻⵍⵎⴰⴷ
merchant	ⴰⵎⵣⴻⵏⵣⵉ
mercy	ⵕⵕⴻⵃⵎⴰ
merely	ⴽⴰⵏ
merry christmas	ⴰⵙⴻⴳⴳⴰⵙ ⴰⵎⴻⴳⴳⴰⵣ
mess	ⴰⵅⵔⴰⴱ
message	ⴰⵡⴰⵍ
messy	ⵢⴻⵜⵛⵛⵡⵉⵍ
metal	ⴰⵎⵖⵓⵣ
method	ⵜⴰⴱⵔⵉⴷⵜ
mice	ⵉⵖⴻⵔⴷⴰⵢⴻⵏ
middle	ⴰⵍⴻⵎⵎⴰⵙ
midnight	ⵏⵙⴰⴼ ⵢⵉⴹ
might	ⴰⵀⴰⵜ
mild	ⴰⵍⴻⵙⵙⴰⵙ
milestone	ⵜⴰⵖⵙⴻⵔⵜ
military	ⴰⵙⴻⵔⴷⴰⵙⵉ
milk	ⴰⵢⴻⴼⴽⵉ
million	ⴰⵎⴻⵍⵢⵓⵏ
mind	ⵅⴻⵎⵎⴻⵎ
mindset	ⵜⴰⵏⴻⵍⴰⵢⵜ
mine	ⴰⵎⵖⵉⵣ
mine	ⴰⵢⵍⴰⵯⵡ
mingle	ⵔⵡⵉ
minor	ⴰⵎⴻⵛⵜⵓⵃ
minute	ⴷⵇⵉⵇⴰ
minutes	ⴷⵇⴰⵢⴻⵇ
miracle	ⵍⴱⴻⵕⵀⴰⵏ
mirror	ⵍⴻⵎⵔⵉ
miscellaneous	ⴰⵎⴳⴰⵔⴰⴷ
mischievous	ⴰⵎⴻⵏⵛⵓⴼ
miserable	ⴰⵇⵍⴰⵇⴰⵍ
misery	ⵍⵃⵉⴼ
miss	ⵜⵜⵓ
miss you	ⵛⴻⴷⵀⴰⵖⵯⴽⴻⵎ
missing	ⵉⵅⵓⵚⵚ
mission	ⵜⵓⵖⴷⴰⴹⵜ
mist	ⴰⴳⵓ
mistake	ⵜⵓⵛⵛⴹⴰ
Mizo	ⵎⵉⵣⵓ
mobile	ⴰⵙⴰⵡⴰⵍ
mock	ⴰⵇⴻⵊⵊⴻⵎ
model	ⴰⵎⵓⴷⴻⵎ
moderate	ⵙⵍⵓⴽⴽⴻⵣ
moderate	ⴰⵎⵏⴰⵣⴰⵍ
modern	ⴰⵎⴰⵢⵏⵓⵜ
modest	ⵉⵎⵙⴻⵜⵃⵉ
moist	ⴰⵥⵍⵎⴰⴹ
moisture	ⴰⵙⴻⴱⵣⴻⴳ
mold	ⵢⴻⵊⵊⵓⵏⵊⴻⵕ
mole	ⵜⴰⴼⵓⵢⵜ
mom	ⵢⴻⵎⵎⴰ
moment	ⵜⴰⵙⵡⵉεⵜ
monday	arim
money	ⵉⴷⵔⵉⵎⴻⵏ
monitor	ⴰⵙⵎⴻⵍ
monkey	ⵉⴱⴽⵉ
month	ⴰⴳⴳⵓⵔ
mood	ⵜⴻⴱⵉⵄⴰ
moody	ⴰⵎⴻⵏⵛⵓⴼ
moon	ⴰⴳⵓⵔ
moral	ⵜⴰⵖⴰⵔⴰ
more	ⵓⴳⴰⵔ
moreover	ⵢⴻⵔⵏⴰ
morning	ⵜⴰⵚⴻⴱⵃⵉⵜ
mortgage	ⵕⴻⵀⵏ
most	ⵓⴳⴰⵔ
mostly	ⵙ ⵓⵎⴰⵜⴰ
mother	ⵜⴰⵢⴻⵎⴰⵜ
motion	ⴰⵀⵓⵣⵣⵓ
motivation	ⵍⵃⵉⵔ
mountain	ⴰⴷⵔⴰⵔ
mouse	ⴰⵖⴻⵔⴷⴰⵢ
mouth	ⵉⵍⵉ
move	ⴷⴷⵓ
movement	ⴰⵎⵓⵙⵙⵓ
movie	ⴰⵙⴰⵔⵓ
mrs	ⵎⴰⵙⵙⴰ
much	ⴰⵟⴰⵙ
mud	ⴰⵍⵓⴹ
mug	ⵜⵉⵙⴽⵉ
muscle	ⴰⵥⴻⴽⴽⴰ
museum	ⴰⵙⴰⵍⴰⵢ
mushroom	ⴰⴳⴻⵔⵙⴰⵍ
music	ⴰⵥⴰⵡⴰⵏ
must	ⵢⵍⴰⵇ ⴰⴷ
mute	ⴷ ⴰⵙⵓⵙⵎⴰⵏ
mutual	ⴰⵎⴳⴰⵔⴰⴷ
my	ⵯⵉⵡ
My dear	ⴰⵢ ⴰⵃⴱⵉⴱⵯⵉⵡ
my friend	ⴰⵎⴷⴰⴽⴻⵍⵯⵉⵡ
My hovercraft is full of eels	ⴰⴹⵓⵯⵉⵏⵓ ⵢⴻⵛⵛⵓⵔ ⴷ ⵉⵣⴻⵔⴼⴰⵏ
my love	ⵜⴰⵢⵔⵉⵯⵡ
my name is	ⵉⵙⴻⵎⵯⵉⵡ
my pleasure	ⴷ ⵍⴼⴻⵔⵃⵯⵉⵡ
myself	ⵉⵎⴰⵏⵯⵉⵡ
mysterious	ⴰⴷⵔⵓⴳ
mystery	ⵜⵉⵎⴻⵙⵀⵙⴻⵍⵜ
myth	ⵜⴰⵎⴰⵛⴰⵀⵓⵜ
nail	ⴰⵛⵛⴰⵔⴻⵏ
naive	ⴰⴱⵓⵀⴰⵍ
name	ⵉⵙⴻⵎ
narrative	ⴰⵃⴽⴰⵢ
narrow	ⴷⴻⵢⵉⵇ
nasty	ⵉⵔⵖⴰⵏ
national	ⴰⵖⴻⵍⵏⴰⵡ
nationality	ⵜⴰⴳⴷⵓⴷⴰ
native	ⴰⵏⴻⵙⵍⵉ
natural	ⵏ ⵓⵎⴰⵜⴰ
nature	ⴰⴳⴰⵎⴰ
nausea	ⵢⴻⵜⵜⴻⵎⵄⵓⵊⵊⵓⵜ
near	ⵇⵔⵉⴱ
nearby	ⴷⴻⴳ ⵜⴰⵎⴰ
nearly	ⵇⵔⵉⴱ
neat	ⵣⴻⴷⵉⴳ
necessary	ⵉⵅⴰⵜⴰⵔⵏ
neck	ⴰⵎⴳⵔⴻⴷ
necklace	ⵜⴻⵣⵔⴰⵔⵜ
need	ⵙⵉⵙⴻⵔ
negative	ⵏ ⴷⵉⵔⵉ
neglect	ⵙⵜⴻⵀⵣⵉ
negotiate	ⴰⵎⵛⴰⵡⴰⵕ
neighbor	ⴰⵏⴰⵔⴰⴳ
neighborhood	ⴰⴳⵎⴰⵎ
neither	ⵓⵍⴰ ⴷ ⵢⵉⵡⴻⵏ
nephew	ⵎⵉⵙ ⵏ ⴳⴻⵎⴰ
nerd	ⵍⵡⴻⵙⵡⴰⵙ
nervous	ⵢⴻⴼⵇⴻⵄ
nest	ⴰⴳⵏⵉⵏ
net	ⵉⵏⵜⴻⵔⵏⴻⵜ
network	ⵉⵙⵉⵔⴻⴳ ⴰⵙⴻⴽⴷⴰⵏ
neutral	ⴰⵔⴰⵡⵙⴰⵏ
never	ⵓⵔⵊⵓⵏ
never give up	ⵡⴻⵔǧⵉⵏ ⴰⴷ ⵜⴰⵢⵙⴻⴹ
never mind	ⵓⵔ ⵜⵜⵯⵜⴻⵡⵇⵉⵄ ⴰⵔⴰ
nevermind	ⵓⵔ ⵜⵜⵯⵜⴻⵡⵇⵉε ⴰⵔⴰ
nevertheless	ⵖⴰⵙ ⴰⴽⴽⴻⵏ
new	ⵉⵛⵛⴰⵔⵏ
news	ⵉⵎⴰⵢⵏⵓⵜⴻⵏ
next	ⵡⵉⵏ ⵉ ⴷⵯⵉⵜⴻⴷⵓⵏ
next to	ⵜⴰⵎⴰ ⵏ
nice	ⵢⴻⵍⵀⴰ
nice to meet you	ⴼⴻⵔⵃⴻⵖ ⵉⵎⵉ ⴷ ⵏⴻⵎⵍⴰⵍ
niece	ⵉⵍⵍⵉⵙ ⵏ ⴳⵎⴰ
night	ⵉⴷ
nightmare	ⵢⵉⵔ ⵜⴰⵔⴳⵉⵜ
nine	ⵜⵥⴰⵜ
nineteen	ⵎⵔⴰⵡ ⴷ ⵜⵥⴰ
ninety	ⵜⵥⴰ ⵏ ⵜⵎⴻⵔⵡⵉⵏ
No	ⴰⵍⴰ
no problem	ⵓⵍⴰⵛ ⵓⴳⵓⵔ
no way	ⵓⵍⴰⵛ ⵡⴰⵎⴻⴽ
nobody	ⵓⵍⴰ ⵢⵉⵡⴻⵏ
noise	ⵍⵃⴻⵙⵙ
noisy	ⵢⴻⵙⵖⵉⵔⵔⵓ
none	ⵓⵍⴰⵛ
noon	ⵜⴰⵎⴻⴷⴷⵉⵜ
nope	ⴰⵍⴰ
nor	ⵓⵍⴰ
normal	ⴷ ⴰⵢⴻⵏ ⵉⵍⵀⴰⵏ
north	ⴰⴳⴰⴼⴰ
nose	ⵉⵏⵣⴻⵔ
nostalgic	ⵜⴰⵎⴷⴰⵏⵉⵜ
not	ⵅⴰⵜⵉ
not at all	ⵅⴰⵟⵉ.
not bad	ⵓⵔ ⴷⵉⵔⵉⵯⵜ ⴰⵔⴰ
Not now	ⵎⴰⵛⵉ ⵜⵓⵔⴰ
not yet	ⵎⴰⵣⴰⵍ
note	ⵜⵉⵏⵇⵉⴹⵉⵏ
noted	ⵢⵓⵔⴰ
nothing	ⵓⵍⴰⵛ
notice	ⴰⵙⴻⴱⵜⴻⵔ
noticed	ⵉⴳⴻⵔ ⵜⴰⵎⴰⵡⵜ
noun	ⵉⵙⴻⵎ
nouns	ⵏⴻⴽⵡⴰⵜ
novel	ⵓⵏⴳⴰⵍ
november	ⵡⴰⵎⴱⴻⵔ
now	ⵜⵓⵔⴰ
nowadays	ⴰⵙⵙⵯⴰ
nuisance	ⵛⵛⵎⴰⵜⴰ
null	ⵓⵍⴰⵛ
numb	ⵢⴻⴷⴷⵓⴱⴱⴻⵣ
number	ⵓⵟⵟⵓⵏ
nurse	ⵜⴰⴼⴻⵔⵎⵍⵉⵜ
nut	ⵜⴰⵇⵓⵇⴻⵜ
nutmeg	ⵜⴰⵎⴻⵙⴽⵓⵢⵜ
nutrition	ⵓⵞⵞⵉ
oath	ⵜⴰⴳⴳⴰⵍⵉⵜ
obesity	ⴰⴱⴻⵏⵜⴻⵔ
obey	ⴰⴷ ⵢⴰⵖ ⴰⵡⴰⵍ
object	ⵜⴰⵖⴰⵡⵙⴰ
objective	ⵉⵙⵡⵉ
obligation	ⵜⵜⵡⴰⵃⴻⵜⵜⴻⵎ
obscure	ⵉⵙⵓⵍⵍⴻⵙ
observation	ⴰⵏⵙⴼⵇⴻⴷ
observe	ⵢⴻⵜⵜⵡⴰⵍⵉ
obsessed	ⵢⴻⵟⵟⴻⴼⵯⵉⵜⵜ
obsession	ⵢⴻⵙⵍⴻⴱ
obsolete	ⵢⴻⵇⴷⵉⵎ
obstacle	ⵓⴳⵓⵔ
obtain	ⵢⴻⵡⵡⵉ
obtained	ⵢⴻⵡⵡⵉⵯⴷ
obvious	ⵉⴱⴰⵏ
obviously	ⵉⴱⴰⵏ
occasionally	ⵜⵉⴽⵡⴰⵍ
occupation	ⴰⵍⴻⵜⵀⵉ
occupied	ⵢⴻⵟⵟⴻⴼ
occur	ⴷⵯⵢⴻⴹⵔⴰⵏ
occurred	ⵢⴻⴹⵔⴰⵏ
occurs	ⵢⴻⴹⵔⴰ
ocean	ⵓⴳⴰⵔⴰⵡ
october	ⵜⵓⴱⴻⵔ
odd	ⵓⵔ ⵉⵎⵙⴰⵙⴰⵏ
odds	ⵉⵎⴻⵍⵍⵉⵍⴻⵏ
of	ⵏ
of course	ⵉⴱⴰⵏ
off	ⵢⴻⴼⴼⴻⵖ
offensive	ⵉⵊⴻⵔⵔⴻⵃ
offer	ⴻⴼⴽ
office	ⵜⴻⵙⵔⴻⵇⵇⴻⵙⵜ
official	ⵜⵓⵏⵚⵉⴱⵜ
often	ⵙ ⵡⴰⵟⴰⵙ
Oh	ⴰⵀ
oh really	ⵢⴰⵀ ⴷ ⵜⵉⴷⴷⴻⵜ
oil	ⵣⵣⵉⵜ
ok	ⵢⴻⵔⴱⴰⵃ
ok dear	ⵢⴻⵔⴱⴰⵃ ⴰ ⵜⴰεⵣⵉⵣⵜ
ok honey	ⵢⴻⵔⴱⵃ ⴰ ⵢⴰⵃⴱⵉⴱ
ok my love	ⵉⵀ ⴰ ⵜⴰⵢⵔⵉⵯⵡ
okay	ⴰⵏⵄⴰⵎ
okay baby	ⵢⴻⵔⴱⴰⵃ ⴰ ⵍⴰεⵣⵉⵣⴻⵔ
okay dear	ⵉⵀⵉ ⴰⵢ ⴰⵃⴱⵓⴱ
okay honey	ⵊⴻⵔⴱⴻⵃ ⴰⵢ ⴰⵃⴱⵉⴱ
okay my love	ⵉⵀ ⴰ ⵜⴰⵢⵔⵉⵯⵡ
old	ⴰⵇⴷⵉⵎ
on	ⵖⴻⴼ
once	ⵢⵉⵡⴻⵏ
one	ⵢⵉⵡⴻⵏ
one language is never enough	ⵢⵉⵡⴻⵜ ⵏ ⵜⵓⵜⵍⴰⵢⴻⵜ ⵓⵜⴻⴽⴼⵉ ⴰⵔⴰ
onion	ⴰⵥⴰⵍⵉⵎ
online	oⵏⵍⴰⵢⵏ
only	ⵙⵉⵡⴰ
open	ⵢⴻⵍⴷⵉ
operation	ⵜⴰⵎⵀⴻⵍⵜ
opinion	ⵜⴰⵏⵏⴰⵢⵜ
opportunities	ⵜⵉⴳⵏⴰⵜⵉⵏ
opportunity	ⵜⴰⴳⵏⵉⵜ
opposite	ⵎⴳⴰⵍ
optimistic	ⴷ ⵡⵉⵏ ⵢⴻⵙⵄⴰⵏ ⴰⵙⵉⵔⴻⵎ
option	ⴰⴼⵔⴰⵏ
optional	ⵓⵎⴰⴹⴳⵉⵔ
or	ⵏⴻⵖ
orange	ⴰⵛⵉⵏⵉ
order	ⵙⵓⵜⴻⵔ
ordinary	ⴰⵎⴰⴳⵔⵓ
organization	ⵜⵓⴷⴷⵙⴰ
orientation	ⴰⵙⴽⴰⵏ
origin	ⴰⵏⴻⵚⵍⵉ
original	ⵜⴰⵏⴻⵚⵍⵉⵜ
Oromo	ⵓⵔⵎⵓ
orphan	ⴰⴳⵓⵊⵉⵍ
other	ⵡⵉⵢⴰⴹ
otherwise	ⵎⴰ ⵓⵍⴰⵛ
ought	ⵉⵇⵇⴰⵏ
our	ⴰⵢⵍⴰⵯⵏⵏⴻⵖ
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	ⵜⴰⵙⵡⵉεⵜⵯⵏⵏⴻⵖ: ⴰⴷ ⴷⵯⵏⴻⵔⵔ ⴰⴽⴽ ⵎⴻⴷⴷⴻⵏ, ⴷⵉ ⵢⴰⵍ ⴰⵎⴽⴰⵏ ⴰⴷ ⴼⴻⵀⵎⴻⵏ ⴰⵎⴰⴹⴰⵍ ⵓ ⴰⴷ ⴷⵯⵙⴱⴻⴳⴳⵏⴻⵏ ⵉⵎⴰⵏⵯⵏⵙⴻⵏ ⴷⴻⴳ ⵜⵓⵜⵍⴰⵢⵉⵏ.
Our mission: to organize the world's information and make it universally accessible and useful.	ⵜⴰⵙⵡⵉεⵜⵯⵏⵏⴻⵖ: ⴰⴷ ⵏⵀⴻⴳⴳⵉ ⵉⵙⴰⵍⵍⴻⵏ ⵏ ⵓⵎⴰⴹⴰⵍ ⵓ ⴰⴷ ⵜⴻⵏⵯⵏⴻⵔⵔ ⴷ ⵡⵉⴷ ⵢⴻⵜⵜⵡⴰⴼⴻⵏ ⴰⴽⴽ ⴷⴻⴳ ⵓⵎⴰⴹⴰⵍ.
out	ⴱⴻⵔⴰ
outcome	ⴰⴳⴻⵎⵎⵓⴹ
outfit	ⵓⵙⴻⵍⵙⵓ
outgoing	ⴰⵢ ⴷⵯⵢⴻⴼⴼⵖⴻⵏ
outlet	ⵜⴰⵎⴻⵣⵜ
outline	ⵜⵓⵣⵣⴻⵢⴰ
outside	ⴱⴻⵕⵕⴰ
outstanding	ⵉⴳⴻⵔⵔⴻⵣ
oven	ⵓⴼⴰⵔⵏⵓ.
over	ⴰⴼⵯⵉⵜ
over there	ⴷⵉⵏⵏⴰ
overall	ⵙ ⵓⵎⴰⵜⴰ
overcome	ⵢⴻⵖⵍⴻⴱ
overthinking	ⵢⴻⵜⵅⴻⵎⵎⵉⵎ ⴰⵟⴰⵙ
overwhelmed	ⵢⴻⵞⵞⵓⵕ
overwhelming	ⵏⵖⴻⴷ
owe	ⵜⵜⴰⵍⴰⵙⴻⵖ
owl	ⴱⵓⵔⵓⵔⵓ
own	ⵙⵄⵉ
own	ⵙⵄⵓ
owner	ⴱⴰⴱⵯⵉⵙ
ox	ⴰⵣⴳⴻⵔ
pace	ⵜⴰⵣⵣⵍⴰ
pack	ⴰⵒⴰⴽⵉ
package	ⵓⴽⴻⵔⵔⵓⴷ
paid	ⵢⴻⵜⵜⵡⴰⵅⴻⵍⵍⵚⴻⵏ
pain	ⵍⴻⵇⵔⵉⵃ
paint	ⵢⴻⵙⴱⴻⵖ
painting	ⵜⵙⴻⴱⵖⴻⴹ
pair	ⵜⴰⵢⵓⴳⴰ
pale	ⵉⵛⴻⵃⴻⴱ
palm	ⵜⴻⵥⵥⴰ
pan	ⵜⴰⵃⴱⵓⵍⵜ
pandemic	ⴰⵟⵟⴰⵏ
panic	ⵍⵅⵓⴼ
pants	ⴰⵙⴻⵔⵡⴰⵍ
paper	ⵍⴽⴰⵖⴻⴹ
paradise	ⵍǧⴻⵏⵏⴻⵜ
parallel	ⵜⴰⵎⵏⴰⵡⴰⵢⵜ
parcel	ⴰⴽⴰⵔⴰⴼ
