އެކަހެރިކުރުން	abandon
ބޭނުންކުރެވޭ މިންވަރު	consumption
އާދައިގެ މިންގަނޑު	standard
ތިބާ މިއަދު ކިހިނެއް	how are you today
އަަހަރުމެންގެ މި އެޕް ބޭނުންކުރީތީވެ ޝުކުރިއްޔާ	Thanks for using our app
ތިބާ މިވަގުތު ބިޒީތަ	are you busy
އަހަރުމެންގެ މިޝަން: އެކި ބަސްތަކުގެ ތެރެއިން ކޮންމެ ބަޔަކަށްވެސް އަދި ކޮންމެތާކުންވެސް ދުނިޔެ އެނގި އަދި އަމިއްލަ ނަފްސު ފާޅުކޮށް ހެދޭނެ ގޮތް ހޯދައިދިނުމެވެ.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
އެއްވެސް މީހަކު	anyone
ކޮންމެވެސް މީހަކު	someone
ސިހުރުހަދާ މީހާ	witch
ދުވަސްވީ މީހުން	elderly
މަސައްކަތު މީހުން	labor
ގިނަ މީހުން	majority
ގާތްތިމާގެ މީހުން	relative
ގާތްތިމާގެ މީހުން	relatives
ތާކުންތާކުނުޖެހޭ މީހެއް	coward
ކޮންމެވެސް މީހެއް	somebody
ނުދަންނަ މީހެއް	stranger
އެއްވެސް މީހެއްނޫން	nobody
މުގޮށި މީދާ	squirrel
ޚަރީފު މޫސުން	autumn
ހޫނު މޫސުން	summer
ބާއްޖަވެރި މެންދުރުފަހެއް	good afternoon
ކަމެއްވުމަށް މެދުވެރިވާ ސަބަބު	trigger
ވަރަށް މޮޅު	excellent
ވަރަށް މޮޅު	genius
ވަރަށް މޮޅު	good job
އާދަޔާޚިލާފަށް މޮޅު	outstanding
އެހެން ފަހަރަކުން ފެންނާނެ ކަމަށް އެދެން	see you
ބައެއް ފަހަރު	occasionally
ބައެއް ފަހަރު	sometimes
އެންމެ ފަހު	last
އެންމެ ފަހު	ultimate
އެންމެ ފަހުން	eventually
އަހަންނަކަށް ފަހުމެއް ނުވި	I do not understand
އަހަންނަށް ފަހުމް ވޭ	I understand
ވަޒީފާދޭ ފަރާތް	employer
ވެރި ފަރާތް	owner
ހުރިހާ ފަރާތްތަކަށް	Dear All
ވަކި ފަރުދު	individual
ނާޖާއިރު ފައިދާ ނެގުން	exploit
ނަގުދު ފައިސާ	cash
ކޯޓު ފަޓުލޫނު	suit
ވަރަށް ފުރިހަމަ	fantastic
ވަރަށް ފުރިހަމަ	impressive
ވަރަށް ފުރިހަމަ	incredible
ވަރަށް ފުރިހަމަ	spectacular
ވަރަށް ފުރިހަމަ	stunning
ވަރަށް ފުރިހަމަ	well done
ރައްކާތެރި ފުލައިޓް	safe flight
ކުލަނެތް ފެހި ހިޔާލުތައް ގަދަނިދީގައި ނިދަމުންދިޔައެވެ	colorless green ideas slept furiously
އަލުން ފެށުން	resume
އަހަންނަށް ފެނޭ	I see
ދެކޮޅު ފެންނަ	transparent
ފަހުން ފެންނާނެ ކަމަށް އުންމީދުކުރަން	see you later
މާދަމާ ފެންނާނެކަމަށް އުންމީދުކުރަން	see you tomorrow
ތިބާގެ ފޮޓޯ ފޮނުވާލަދީ	send me your picture
ބެލުމުގެ ދަށުގައި	possession
އަންހެން ދަރިފުޅު	daughter
ބޮޑު ދައިތަ	aunt
އަހަންނަށް ދައްކާ	show me
މަސައްކަތުގެ ދާއިރާ	occupation
ހުއްދަ ދިނުން	allow
ހަމަލާ ދިނުން	attack
އިސްތިޢުފާ ދިނުން	resign
އަވަށްޓެރިން ދިރިއުޅޭ ސަރަހައްދު	neighborhood
އުދުހިގެން ދިއުން	flew
ކުރިއަށް ދިއުން	proceed
ފަހަނަޅައި ދިޔުން	overcome
އަނބުރާ ދިޔުން	retreat
ސައިކަލް ދުއްވުން	cycling
ބާއްޖަވެރި ދުވަހަކަށް އެދެން	have a good day
ބާއްޖަވެރި ދުވަހަކަށް އެދެން	have a nice day
ކޮންމެ ދުވަހަކު	daily
އެއްބަހުން ދުވަހަކުވެސް ނުފުދޭނެ	one language is never enough
ބާއްޖަވެރި ދުވަހެއް	good day
ހުކުރު ދުވަސް	friday
ހޯމަ ދުވަސް	monday
ހޮނިހިރު ދުވަސް	Saturday
އާދީއްތަ ދުވަސް	sunday
އަންގާރަ ދުވަސް	Tuesday
ބުދަ ދުވަސް	Wednesday
ތިބާގެ ދުވަސް ކިހިނެތް ދިޔައީ	how was your day
އުމުރުން ދުވަސްވީ	old
ކުޑައިރުގެ ދުވަސްތައް	childhood
ފަހަތުން ދުވުން	chase
އަނެކާ ދެރަވެދާނެފަދަ	offensive
މީހުން ދެކޭގޮތް	reputation
ފައިސާ ދެއްކުން	pay
ވާހަކަ ދެއްކުން	speak
ވާހަކަ ދެއްކުން	talk
އެއްގޮތެއްގއި ދެމިހުރުން	consistency
އަބަދަށް ދެމިގެންވާ	eternal
ދެބެންގެ ދެދަރި	cousin
ކުރިއަށް ދޭ	go ahead
ދުރަށް ދޭ	go away
ނިދަން ދޭ	go to bed
ސާލީސް ދޭއް	forty-two
އަނބުރާ ދޭގޮތަށް ނެގުން	borrow
މައި ދޮރު	gate
ހެދުން ދޮތުން	laundry
ބިއްލޫރި ތަށިތައް	glasses
ވަންނަ ތަން	entrance
އުކާލާ ތަކެތި	waste
މިހާރު ތިހިރީ ކޮންތާކު	where are you now
އަދި ތިބާ	and you
އަހަރެން ތިބާ ބޭނުން	I want you
އަހަރެންނަށް ތިބާ ކަމުދޭ	I like you
ކޮންތާކު ތިބާ އުޅެނީ	where do you live
އަހަރެން ތިބާ މަތިން ހަނދާން ވޭ	I miss you
އަހަރެން ތިބާ މަތިން ވަރަށް ހަނދާންވޭ	I miss you so much
އަހަރެން ތިބާ ދެކިލަން ބޭނުން	I want to see you
އަހަރެން ތިބާ ދެކެ ވަރަށް ލޯބިވޭ	I love you so much
އަހަރެން ތިބާ ދެކެ ލޯބިވަން	I love you
އަހަރެންވެސް ތިބާދެކެ ލޯބިވޭ	I love you too
މިވަގުތު ތިބާ ތިކުރަނީ ކޮން ކަމެއް	what are you doing right now
ދެން ތިބާޔޯ	what about you
ތިބާ ތިބުނި އެއްޗެއް ފަހުމް ނުވި	I don't understand you
ތިބާ ތިބުނީ ކީކޭ	what do you mean
ތިބާ ތި މާނަކުރިއެއްޗެއް އަހަންނަކަށް ނޭގުނު	I don't understand what you mean
އަހަރުމެންގެ ތެރޭގައި	among us
އަންނައުނު ލާ އަލަމާރި	wardrobe
އަނިޔާ ލިބުނު ފަރާތް	victim
ލުއި ލިބުން	relieved
މިތާގަ ލިޔޭ	Write here
އެއްޗެއް ލެއްޕުން	shut
ވަރަށް ލޯބި	adorable
އަހަރެންގެ ލޯބި	my love
ވަރަށް ލޯބި	so cute
އޯކޭ ލޯބިވާ	okay baby
އާނ ލޯބިވާ	yes baby
އާ ލޯބިވާ	yes honey
އާނ ލޯބިވާ	yes my love
އަހަރެން ލޯބިވޭ	I love
ތިބާދެކެ ލޯބިވޭ	love you
ފަކުރު ގަންނަ ފަދަ ދިޔާ އެއްޗެއް	goo
ހޫނު ގަދަ	humid
ޔަޤީނާ ގާތަށް	probably
އެކައްޗަށްވުރެ ގިނައިން	plural
މީހުން ގިނަވެފައި	crowded
ކަމަކާ ގުޅިގެން	following
ކަމަކާ ގުޅިގެން	re
ވިސްނުމަށް ގެނައުން	consider
ބަދަލު ގެނައުން	edit
ކުރިޔަށް ގެންދިއުން	carry out
ކުރިއަށް ގެންދޭ	carry on
ގޭގައި ގެންގުޅޭ ކުދިން	maid
ގޭގައި ގެންގުޅޭ ޖަނަވާރު	pet
ޅަ ގެރި	calf
ތަރުތީބު ގެއްލިފައި	messy
ތަރުތީބު ގެއްލިފައި ހުރުން	mess
އުންމީދު ގެއްލުން	despair
ކުއްތާގެ ގޮވުން	bark
ބުއްދީގެ ގޮތުން	intellectual
ކައިވެނީގެ ގޮތުން ގުޅިފައިވާ ފަރާތް	spouse
އުންމީދުކުރާ ގޮތުގައި	hopefully
ކޮންމެ ގޮތެއްވިޔަސް	anyway
ދެމެހެއްޓެނިވި ގޮތެއްގައި ބެލެހެއްޓުން	preserve
އުފަން ޤައުމު	native
ވަރަށް ސަލާން	good bye
ވަރަށް ސަލާމް	best regards
ދުޅަހެޔޮ ސިއްޙަތެއް	healthy
ކަމިންގ ސޫން	coming soon
ނަޢަމް ސޫފާސޫފި	cattle
އަވަސް ޝިފާއަކަށް އެދެން	get well soon
މައި ޑިއަރ	My dear
މައްސަލައެއްނެތް ޑިއަރ	okay dear
ޔެސް ޑިއަރ	yes dear
އިހު ޒަމާނުގެ	ancient
ގޫގްލް ޓަރާންސްލޭޓް	Google Translate
ސްވީޓް ޓޫތް	sweet tooth
ހަމަ ޔަގީނުންވެސް	absolutely
ހަމަ ޔަޤީނުންވެސް	indeed
ތިބާ ޔޯ	how about you
ރެސްޓިން ޕީސް	rest in peace
ވަކިކޮޅަކަށް ޖެހިފައި	biased
އެއާ ޖެހިގެން	next to
ބާރުމިނުގައި ޖެހުން	crash
އަނެއްކޮޅަށް ޖެހުން	reverse
ވެކްސިން ޖެހުން	vaccination
