abandoned	ꯊꯥꯗꯣꯛꯄ
I understand	ꯑꯦꯅ ꯈꯪꯂꯦ
I want to see you	ꯑꯩꯍꯥꯛꯅ ꯅꯪꯕꯨ ꯎꯅꯤꯡꯏ
I want you	ꯑꯩꯍꯥꯛꯅ ꯑꯗꯣꯝ ꯄꯥꯝꯃꯤ
I want	ꯑꯩꯍꯥꯛꯅ ꯄꯥꯝꯃꯤ
I will	ꯑꯩ ꯇꯧꯒꯦ
I would be	ꯑꯩꯍꯥꯛꯅ
I	ꯑꯩ
jacket	ꯐꯨꯔꯤꯠ ꯑꯇꯥꯕ
jail	ꯐꯥꯗꯣꯛꯁꯪ
January	ꯖꯅꯨꯋꯥꯔꯤ
jar	ꯂꯤꯛꯂꯤ
jaw	ꯆꯥꯏꯔꯨꯉ
jealous	ꯀꯜꯂꯛꯄ
jerk	ꯅꯤꯛꯄ
jewelry	ꯂꯤꯛ ꯀꯣꯟ
job	ꯊꯕꯛ
jogging	ꯂꯝꯖꯦꯜ ꯆꯦꯟꯕ
joint	ꯑꯄꯨꯟꯕ
join	ꯌꯥꯎꯁꯤꯟꯕ
joke	ꯐꯥꯒꯤ
journalist	ꯄꯥꯎꯃꯤ
journey	ꯈꯣꯡꯆꯠ
joy	ꯅꯨꯡꯉꯥꯏꯕ
judge	ꯋꯥꯌꯦꯜ ꯄꯤꯕ
juice	ꯍꯩ ꯃꯍꯤ
july	ꯖꯨꯂꯥꯏ
jump	ꯆꯣꯡꯕ
june	ꯖꯨꯟ
junk	ꯑꯔꯦꯝ ꯑꯈꯥꯛ
just do it	ꯇꯧꯈ꯭ꯔꯣ
justice	ꯑꯆꯨꯝꯕ ꯋꯥꯌꯦꯜ
justify	ꯆꯨꯝꯃꯤ ꯇꯥꯛꯄ
just	ꯀꯥꯡꯂꯣꯟ ꯆꯨꯝꯕ
Kalaallisut	ꯀꯥꯂꯥꯂꯤꯁꯨꯠ
keen	ꯊꯋꯥꯏ ꯂꯨꯞꯄ
keep it up	ꯍꯣꯠꯅꯕ ꯂꯦꯞꯀꯅꯨ
keep	ꯊꯝꯕ
kept	ꯊꯝꯖꯤꯟꯕ
kettle	ꯆꯥ ꯂꯣꯟꯅꯕ ꯄꯥꯇ꯭ꯔ
key	ꯁꯣ
kick	ꯀꯥꯎꯕ
kidding	ꯐꯥꯒꯤ ꯇꯧꯕ
kidney	ꯏꯁꯤꯡ ꯌꯥꯛꯐꯝ
kids	ꯑꯉꯡꯁꯤꯡ
kid	ꯑꯉꯥꯡ
kill	ꯍꯥꯠꯄ
kinda	ꯃꯈꯜ ꯑꯃ
kindly	ꯆꯥꯟꯕꯤꯗꯨꯅ
kindness	ꯊꯧꯖꯥꯜ ꯍꯩꯕ
kind	ꯃꯈꯜ
king	ꯅꯤꯡꯊꯧ
kiss	ꯆꯨꯞꯄ
kitchen	ꯆꯥꯛꯈꯨꯝ
kite	ꯇꯦꯂꯪꯒꯥ
kitten	ꯍꯧꯗꯣꯡ ꯃꯆꯥ
knee	ꯈꯨꯎ
knew	ꯈꯪꯂꯝꯈꯤ
knife	ꯊꯥꯡ
knight	ꯁꯒꯣꯜ ꯇꯣꯡꯕ ꯂꯥꯟꯃꯤ
knowledge	ꯂꯧꯁꯤꯡ
known	ꯈꯪꯅꯔꯕ
know	ꯈꯪꯕ
Konkani	ꯀꯣꯟꯀꯅꯤ
Krio	ꯀ꯭ꯔꯤꯌꯣ
label	ꯃꯃꯤꯡ ꯊꯥꯟꯕ
labor	ꯁꯤꯟꯃꯤ
labour	ꯁꯤꯟꯃꯤ
lack	ꯌꯥꯎꯗꯕ
ladder	ꯀꯩꯔꯥꯛ
lady	ꯅꯨꯄꯤ
laid	ꯊꯥꯕ
lake	ꯄꯥꯠ
lamb	ꯌꯥꯎ
lame	ꯁꯣꯟꯕ
lamp	ꯊꯥꯎꯃꯩ
landscape	ꯂꯝꯃꯤꯠ ꯇꯨꯝꯃꯤꯠ
land	ꯂꯝ
language	ꯂꯣꯜ
lap	ꯇꯝꯄꯥꯛ
large	ꯑꯆꯧꯕ
last but not least	ꯑꯔꯣꯏꯕꯗꯤ ꯅꯠꯇꯦ
last name	ꯑꯀꯣꯟꯕ ꯃꯤꯡ
last	ꯑꯔꯣꯏꯕ
lately	ꯍꯟꯗꯛꯇ
later	ꯀꯣꯟꯅ
latest	ꯈ꯭ꯋꯥꯏꯗꯒꯤ ꯅꯧꯕ
late	ꯊꯦꯡꯕ
latter	ꯀꯣꯟꯅ
laughing	ꯅꯣꯛꯄ
laughter	ꯅꯣꯛꯄ
laugh	ꯅꯣꯛꯄ
launch	ꯍꯧꯗꯣꯛꯄ
laundry	ꯐꯤꯁꯨ ꯐꯤꯖꯥꯝ ꯇꯧꯕ
lawn	ꯁꯨꯃꯥꯡ
lawyer	ꯎꯀꯤꯜ
law	ꯑꯏꯟ
layer	ꯂꯩꯔꯣꯜ
layout	ꯌꯥꯠꯊꯣꯛꯄ
lay	ꯇꯨꯝꯕ
lazy	ꯇꯟꯕ
leader	ꯂꯨꯆꯤꯡꯕ
lead	ꯍꯦꯟꯗꯨꯅ ꯆꯠꯄ
leaf	ꯝꯅꯥ
leak	ꯌꯨꯕ
lean	ꯉꯥꯕ
leap	ꯀꯥꯟꯕ
learning	ꯇꯝꯂꯤꯕ
learn	ꯇꯝꯕ
lease	ꯁꯥꯟꯗꯣꯛꯄ
least	ꯌꯥꯝꯗ꯭ꯔꯕꯗ
leather	ꯁꯎꯟ
leaves	ꯎꯅꯥꯁꯤꯡ
leave	ꯊꯥꯗꯣꯛꯄ
led	ꯂꯨꯆꯤꯉꯤꯕ
left	ꯂꯦꯝꯍꯧꯕ
legacy	ꯑꯛꯍꯥꯛꯀꯤꯗꯃꯛꯇ ꯊꯝꯕꯤꯔꯝꯕ
legal	ꯑꯥꯏꯟꯒꯤ ꯃꯈꯥ ꯄꯣꯟꯕ
legend	ꯋꯥꯔꯤ
legit	ꯑꯥꯏꯟꯅ ꯌꯥꯕ
leg	ꯈꯣꯡ
leisure	ꯑꯍꯥꯡꯕ ꯃꯇꯝ
lend	ꯋꯥꯏꯍꯟꯕ
length	ꯑꯁꯥꯡꯕ
lesson	ꯄꯔꯥ
less	ꯌꯥꯝꯗꯕ
letter	ꯆꯤꯊꯤ
lettuce	ꯂꯦꯇ꯭ꯌꯨꯁ
let	ꯑꯣꯏꯍꯜꯂꯨ
level	ꯊꯥꯛ
leverage	ꯁꯤꯖꯤꯟꯅꯕ
liability	ꯇꯣꯐꯝ ꯊꯣꯛꯄ
library	ꯂꯥꯏꯔꯤꯛ ꯊꯝꯐꯝ
lick	ꯂꯦꯛꯄ
lies	ꯑꯣꯏꯗꯕꯁꯤꯡ
lie	ꯃꯆꯤꯟ ꯊꯤꯕ
life	ꯄꯨꯟꯁꯤ
lift	ꯊꯥꯡꯒꯠꯄ
lightning	ꯅꯣꯡ ꯈꯥꯛꯄ
light	ꯃꯉꯥꯜ
likely	ꯑꯣꯏꯕ ꯌꯥꯕ
likewise	ꯃꯥꯟꯅꯅ
like	ꯄꯥꯝꯕ
line	ꯂꯩꯏ
Lingala	ꯂꯤꯡꯒꯥꯂꯥ
link	ꯝꯔꯤ
lion	ꯅꯣꯡꯁꯥ
liquid	ꯃꯍꯤ
listening	ꯇꯥꯔꯤ
listen	ꯇꯥꯕ
list	ꯄꯔꯤꯡ
literally	ꯋꯥꯍꯩꯒꯤ ꯑꯣꯏꯕ
literature	ꯈꯣꯔꯤꯂꯣꯜ
litter	ꯃꯣꯠꯍꯟꯕ
little	ꯈꯔꯥ
liver	ꯐꯤꯔꯥꯛ
lives	ꯄꯨꯟꯁꯤꯁꯤꯡ
live	ꯍꯤꯡꯕ
living room	ꯃꯤ ꯂꯩꯟꯅꯕ ꯀꯥ
living	ꯍꯤꯡꯂꯤꯕ
lizard	ꯆꯨꯝ
load	ꯄꯣꯠꯂꯨꯝ
loaf	ꯕꯟ ꯃꯈꯜ ꯑꯃ
loan	ꯄꯨꯍꯟꯕ
local	ꯂꯩꯀꯥꯏ
location	ꯂꯩꯐꯝ
lockdown	ꯀꯥ ꯃꯅꯨꯡꯗ ꯇꯤꯡꯖꯤꯟꯗꯨꯅ ꯊꯝꯕ
lock	ꯄꯨꯟꯁꯤꯟꯗꯨꯅ ꯊꯝꯕ
log	ꯎꯀꯛ
lonely	ꯃꯠꯟꯅꯇ ꯂꯩꯕ
long time no see	ꯎꯗꯕ ꯀꯨꯏꯔꯦꯗ
long	ꯑꯁꯥꯡꯕ
look	ꯌꯦꯡꯕ
loop	ꯀꯤꯁꯤ
loose	ꯑꯀꯣꯝꯕ
lord	ꯝꯄꯨ
lose	ꯃꯥꯡꯖꯕ
loss	ꯃꯥꯡꯖꯕ
lost	ꯃꯥꯡꯕ
lot	ꯌꯥꯝꯅ
loud	ꯍꯧꯕ
lounge	ꯍꯤꯞꯐꯝ
lovely	ꯐꯖꯕ
love you	ꯅꯪꯕꯨ ꯅꯨꯡꯁꯤ
love	ꯅꯨꯡꯁꯤꯕ
lower	ꯅꯦꯝꯊꯕ
low	ꯅꯦꯝꯕ
loyalty	ꯃꯄꯨ ꯅꯤꯡꯕꯒꯤ ꯒꯨꯟ
loyal	ꯍꯥꯏꯕ ꯏꯅꯕ
lucky	ꯂꯥꯏꯕꯛ ꯐꯕ
luck	ꯂꯥꯏꯕꯛ
Luganda	ꯂꯨꯒꯥꯟꯗꯥ
luggage	ꯈꯥꯎꯂꯥꯎ
lump	ꯄꯣꯝꯊꯣꯛꯄ
lunch	ꯆꯥꯛꯂꯦꯟ
lungs	ꯊꯕꯣꯝꯕꯤ
luxury	ꯅꯨꯉꯉꯥꯏꯕ
lying	ꯇꯨꯝꯗꯨꯅ ꯂꯩꯕ
machine	ꯃꯦꯁꯤꯟ
made	ꯁꯥꯕ
mad	ꯑꯉꯥꯎꯕ
magazine	ꯆꯦꯐꯣꯡ
magnificent	ꯌꯥꯝꯅ ꯅꯤꯡꯊꯤꯕ
maid	ꯊꯕꯛ ꯃꯇꯦꯡ ꯄꯥꯡꯅꯕ ꯂꯩꯕ ꯅꯨꯄꯤ
maintain	ꯂꯦꯡꯗꯅ ꯊꯝꯕ
maintenance	ꯁꯦꯟꯅꯕ
main	ꯃꯔꯨ ꯑꯣꯏꯕ
Maithili	ꯃꯥꯏꯊꯤꯂꯤ
majority	ꯃꯁꯤꯡ ꯌꯥꯝꯕ
major	ꯃꯔꯨ ꯑꯣꯏꯕ
make up	ꯁꯦꯝꯒꯠꯄ
make	ꯁꯦꯝꯕ
male	ꯅꯨꯄꯥ
mall	ꯑꯆꯧꯕ ꯗꯂꯥꯟ ꯑꯣꯏꯕ ꯀꯩꯠꯦꯜ
management	ꯁꯦꯟꯅꯔꯤꯕ ꯃꯤꯑꯣꯏ
manager	ꯁꯦꯟꯅꯕ ꯃꯤꯑꯣꯏ
manage	ꯁꯦꯟꯅꯕ
mandatory	ꯇꯉꯥꯏ ꯐꯗꯕ
manifest	ꯁꯛꯇꯝ ꯑꯣꯟꯕ
manipulate	ꯑꯇꯣꯞꯄꯗ ꯑꯩꯈꯣꯏꯒꯤ ꯑꯄꯥꯝꯕ ꯇꯧꯍꯟꯕ
manner	ꯃꯑꯣꯡ
manual	ꯏꯁꯥꯅ ꯄꯥꯉꯡꯣꯡꯄ
many many happy returns of the day	ꯅꯨꯡꯉꯥꯏꯕ ꯅꯨꯃꯤꯠ ꯑꯃ ꯑꯣꯏꯕꯤꯌꯨ
many	ꯃꯌꯥꯝ
man	ꯅꯨꯄꯥ
march	ꯆꯪꯁꯤꯟꯕ
margin	ꯄꯟꯈꯩ
market	ꯀꯩꯊꯦꯜ
marriage	ꯂꯨꯍꯣꯡꯕ
married	ꯀꯨꯍꯣꯡꯂꯕ
mask	ꯃꯥꯏꯈꯨꯝ
massive	ꯌꯥꯝꯅ ꯆꯥꯎꯕ
mass	ꯃꯤꯌꯥꯝ
master	ꯝꯄꯨ
match	ꯆꯥꯟꯅꯕ
material	ꯃꯆꯥꯛ
mate	ꯍꯛꯇꯤꯟꯅꯕ
math	ꯑꯪꯀꯥ
matter	ꯍꯤꯔꯝ
maturity	ꯃꯄꯨꯡ ꯃꯔꯩ ꯐꯥꯕꯒꯤ ꯊꯥꯛ
maybe	ꯇꯝꯕꯉꯝꯗꯕ
may	ꯑꯣꯏꯕ ꯌꯥꯏ
meal	ꯆꯥꯛ
meaning	ꯋꯥꯡꯟꯊꯣꯛ
means	ꯃꯁꯤꯅ ꯍꯥꯏꯕꯗꯤ
meant	ꯃꯔꯝ ꯇꯥꯛꯄ
meanwhile	ꯇꯥꯟꯀꯥꯁꯤꯗ
mean	ꯍꯥꯏꯕꯗꯤ
measures	ꯊꯕꯛ ꯄꯥꯏꯈꯠꯂꯤꯕꯁꯤꯡ
measure	ꯑꯣꯟꯕ
meat	ꯁꯥ
medical	ꯑꯅꯥ ꯂꯥꯏꯌꯦꯡꯒꯤ ꯃꯇꯥꯡ
medicine	ꯍꯤꯗꯥꯛ ꯂꯥꯡꯊꯛ
meditation	ꯙꯌꯥꯟ ꯇꯧꯕ
medium	ꯄꯥꯝꯕꯩ
meeting	ꯃꯤꯐꯝ
meet	ꯎꯅꯅꯕ
Meiteilon	ꯃꯩꯇꯩꯂꯣꯟ
melt	ꯁꯧꯗꯣꯛꯄ
memories	ꯅꯤꯍꯁꯤꯡꯕꯁꯤꯡ
memory	ꯅꯤꯡꯁꯤꯡꯕ
mental	ꯋꯥꯈꯜꯒꯤ
mentioned	ꯄꯟꯈ꯭ꯔꯕ
mention	ꯄꯟꯕ
mentor	ꯇꯥꯛꯄꯤꯕ ꯃꯤꯑꯣꯏ
merchant	ꯄꯣꯠ ꯌꯣꯟꯕ ꯃꯤ
mercy	ꯆꯥꯟꯕꯤꯕ
merely	ꯈꯖꯤꯛꯈꯛ
message	ꯄꯥꯎꯖꯦꯜ
messy	ꯆꯅꯩꯅꯕ
mess	ꯆꯥꯏꯕ
metal	ꯙꯥꯇꯨ
method	ꯊꯧꯑꯪꯡ
me too	ꯑꯩꯍꯥꯛꯁꯨ
me	ꯑꯩꯍꯥꯛ
mice	ꯎꯆꯤ
middle	ꯃꯌꯥꯏ
midnight	ꯑꯍꯤꯡ ꯅꯣꯡꯌꯥꯏ
might	ꯃꯇꯤꯛ
mild	ꯌꯥꯝꯗꯕ
milestone	ꯃꯁꯛ ꯊꯣꯛꯅ ꯃꯥꯏ ꯄꯥꯛꯄ
military	ꯂꯥꯟꯒꯤ ꯑꯣꯏꯕ
milk	ꯁꯪꯒꯣꯝ
million	ꯂꯥꯈ ꯇꯔꯥ
mindset	ꯋꯥꯈꯜ ꯈꯅꯕꯒꯤ ꯊꯥꯛ
mind	ꯋꯥꯈꯜ
mine	ꯑꯩꯍꯥꯛꯀꯤ
mingle	ꯄꯨꯟꯁꯤꯟꯅꯕ
minor	ꯑꯉꯥꯡ
minutes	ꯑꯄꯤꯛꯀꯁꯤꯡ
minute	ꯌꯥꯝꯅ ꯀꯨꯞꯄ
miracle	ꯑꯉꯛꯄ
mirror	ꯃꯤꯡꯁꯦꯜ
miscellaneous	ꯑꯇꯩ ꯑꯇꯩ
mischievous	ꯉꯥꯎꯁꯤꯟꯅꯕ
miserable	ꯑꯋꯥ ꯑꯅꯥ ꯅꯪꯕ
misery	ꯑꯋꯥꯕ ꯇꯥꯕ
missing	ꯋꯥꯠꯂꯤꯕ
mission	ꯊꯕꯛ ꯑꯃ
miss you	ꯑꯗꯣꯝ ꯎꯗꯕ ꯀꯨꯏꯔꯦ
miss	ꯐꯪꯗꯕ
mistake	ꯑꯁꯣꯏꯕ
mist	ꯂꯩꯆꯤꯟ ꯊꯥꯕ
Mizo	ꯝꯤꯖꯣ
mock	ꯀꯔꯦꯝꯅꯕ
model	ꯃꯁꯛ ꯁꯥꯕ
moderate	ꯃꯌꯥꯏ ꯑꯣꯏꯔꯞ
modern	ꯍꯧꯖꯤꯛꯀꯤ ꯃꯇꯝꯒꯤ
modest	ꯆꯝꯊꯣꯛꯄ
moisture	ꯆꯣꯠꯄꯒꯤ ꯆꯥꯡ
moist	ꯆꯣꯠꯄ
mold	ꯁꯧꯕ
mole	ꯁꯝꯕ꯭ꯔꯨ
moment	ꯃꯤꯠꯀꯨꯞ
mom	ꯃꯃꯥ
monday	ꯅꯤꯡꯊꯧꯀꯥꯕ
money	ꯁꯦꯜ
monitor	ꯌꯦꯡꯁꯤꯟꯕ
monkey	ꯌꯣꯡ
month	ꯊꯥ
moody	ꯋꯥꯈꯜ ꯂꯨꯅ ꯈꯟꯖꯤꯟꯒꯟꯕ
mood	ꯋꯥꯈꯜꯒꯤ ꯃꯇꯧ
moon	ꯊꯥ
moral	ꯆꯨꯝꯃꯤ ꯂꯥꯜꯂꯤ ꯍꯥꯏꯕꯒꯤ ꯋꯥꯈꯜꯂꯣꯟ
moreover	ꯑꯗꯨꯝ ꯑꯣꯏꯅꯃꯛ
more	ꯑꯍꯦꯟꯕ
morning	ꯑꯌꯨꯛ
mortgage	ꯕꯟꯙꯥꯟ ꯊꯝꯕ
mostly	ꯑꯌꯥꯝꯕꯅ
most	ꯑꯌꯥꯝꯕ
mother	ꯃꯃꯥ
motion	ꯂꯦꯡꯕ
motivation	ꯏꯊꯤꯜ ꯄꯤꯕ
mountain	ꯆꯤꯡꯁꯥꯡ
mouse	ꯎꯆꯤ
mouth	ꯆꯤꯟꯕꯥꯟ
movement	ꯂꯦꯡ ꯑꯣꯠꯄ
move	ꯂꯦꯡꯕ
movie	ꯃꯤꯠꯀꯤ ꯀꯨꯃꯍꯩ
mrs	ꯁ꯭ꯔꯤꯃꯇꯤ
much	ꯑꯌꯥꯝꯕ
mud	ꯂꯩꯈꯣꯝ
mug	ꯀꯞ ꯑꯆꯎꯕ
muscle	ꯇꯣꯡꯁꯥ
museum	ꯃꯤꯌꯨꯖꯤꯌꯝ
mushroom	ꯆꯦꯡꯒꯨꯝ
music	ꯏꯁꯩ ꯅꯣꯡꯃꯥꯏ
must	ꯁꯣꯏꯗꯅ ꯑꯣꯏꯒꯗꯕ
mute	ꯃꯈꯣꯜ ꯊꯣꯛꯇꯕ
mutual	ꯃꯈꯣꯏ ꯃꯁꯦꯜ
My dear	ꯑꯩꯍꯥꯈꯀꯤ ꯅꯨꯡꯁꯤꯔꯕꯤ
my friend	ꯑꯩꯍꯥꯛꯀꯤ ꯃꯔꯨꯞ
My hovercraft is full of eels	ꯑꯩꯍꯥꯛꯀꯤ ꯍꯣꯕꯔꯀ꯭ꯔꯥꯐ ꯑꯁꯤ ꯉꯥꯔꯤꯜꯅ ꯊꯜꯂꯦ
my love	ꯑꯩꯒꯤ ꯅꯨꯡꯁꯤꯕ
my name is	ꯑꯩꯍꯥꯛꯀꯤ ꯃꯤꯡ ꯑꯁꯤ
my pleasure	ꯑꯩꯍꯥꯛꯀꯤ ꯅꯨꯡꯉꯥꯏꯖꯕ
myself	ꯑꯩꯍꯥꯡ ꯏꯁꯥꯃꯛ
mysterious	ꯉꯛꯅꯤꯡꯉꯥꯏ ꯑꯣꯏꯕ
mystery	ꯑꯉꯛꯄ ꯊꯧꯗꯣꯛ
myth	ꯊꯥꯖꯅꯗꯨꯅ ꯂꯥꯛꯂꯕ ꯋꯥꯔꯤ
my	ꯑꯩꯍꯥꯛꯀꯤ
nail	ꯈꯨꯖꯤꯟ
naive	ꯆꯝꯖꯕ
name	ꯃꯤꯡ
narrative	ꯁꯝꯂꯞꯄ ꯋꯥꯔꯣꯜ
narrow	ꯈꯨꯕ
nasty	ꯂꯨꯗꯕ
nationality	ꯂꯩꯕꯥꯛ ꯑꯃꯒꯤ ꯅꯥꯒꯔꯤꯛ ꯑꯣꯏꯕꯒꯤ ꯊꯥꯛ
national	ꯂꯩꯕꯥꯛꯀꯤ
native	ꯌꯦꯜꯍꯧꯉꯩꯗꯒꯤ ꯂꯩꯔꯛꯂꯕ ꯃꯤ
natural	ꯃꯍꯧꯁꯥ
nature	ꯃꯍꯧꯁꯥ
nausea	ꯀꯣꯛ ꯉꯥꯎꯕ
nearby	ꯑꯅꯛꯄꯗ ꯂꯩꯕ
nearly	ꯅꯛꯅꯕ
near	ꯑꯅꯛꯄꯗ
neat	ꯂꯨꯅꯥꯟꯕ
necessary	ꯃꯊꯧ ꯇꯥꯕ
necklace	ꯂꯤꯛ
neck	ꯉꯛꯁꯝ
need	ꯄꯥꯝꯕ
negative	ꯐꯠꯇꯕ
neglect	ꯊꯣꯁꯥꯗꯕ
negotiate	ꯋꯥꯔꯤ ꯁꯟꯗꯥꯏꯅꯕ
neighborhood	ꯀꯩꯔꯣꯏ ꯂꯩꯀꯥꯏ
neighbor	ꯌꯨꯝꯂꯣꯟꯅꯕ
neither	ꯑꯃꯠꯇ ꯑꯣꯏꯗꯕ
nephew	ꯏꯆꯤꯜ ꯏꯅꯥꯎꯒꯤ ꯃꯆꯥꯅꯨꯄꯥ
nerd	ꯍꯤꯔꯝ ꯑꯃꯗ ꯍꯩ ꯁꯤꯡꯕ ꯑꯗꯨꯕꯨ ꯈꯨꯅꯥꯏꯒ ꯆꯨꯟꯅꯗꯕ ꯃꯤꯑꯣꯏ
nervous	ꯆꯃꯝꯅꯕ
nest	ꯃꯍꯨꯝ
network	ꯃꯁꯥ ꯃꯌꯥꯝ
net	ꯂꯥꯡ
neutral	ꯀꯅꯥ ꯑꯃꯊꯇꯒꯤ ꯃꯤꯆꯪ ꯑꯣꯡꯗꯕ
never give up	ꯍꯟꯕ ꯅꯥꯏꯗꯕ
nevermind	ꯀꯔꯤꯃꯠꯇ ꯈꯜꯂꯨꯅꯨ
never mind	ꯀꯔꯤꯝꯇ ꯈꯂꯂꯨꯅꯨ
nevertheless	ꯃꯗꯨ ꯑꯣꯏꯔꯕ ꯐꯥꯎꯕꯗ
never	ꯑꯣꯏꯊꯣꯛꯂꯔꯣꯏꯗꯕ
news	ꯏ ꯄꯥꯎ
new	ꯑꯅꯧꯕ
next to	ꯍꯦꯛ ꯃꯊꯪꯗ
next	ꯃꯊꯪ
nice to meet you	ꯑꯗꯣꯝꯒ ꯊꯦꯡꯅꯕꯁꯤ ꯅꯨꯡꯉꯥꯏ
nice	ꯐꯖꯩ
niece	ꯏꯆꯤꯜ ꯏꯅꯥꯎꯒꯤ ꯃꯆꯥꯅꯨꯄꯤ
nightmare	ꯃꯪꯂꯥꯛꯅꯕ
night	ꯅꯨꯃꯤꯗꯥꯡ
nineteen	ꯇꯔꯥꯃꯥꯄꯜ
ninety	ꯝꯔꯤꯐꯨꯇꯔꯥ
nine	ꯃꯥꯄꯜ
nobody	ꯀꯅꯥ ꯅꯠꯇꯕ
noise	ꯅꯤꯜ ꯈꯣꯡꯕ
noisy	ꯂꯥꯡꯕ
none	ꯑꯃꯠꯇ ꯅꯠꯇꯦ
noon	ꯅꯨꯃꯤꯠ ꯌꯨꯡꯕ
nope	ꯅꯠꯇꯦ
no problem	ꯀꯔꯤꯁꯨ ꯀꯥꯏꯗꯦ
normal	ꯃꯍꯧꯁꯥꯒꯨꯝꯕ
north	ꯑꯋꯥꯡ
nor	ꯅꯠꯇꯕ
nose	ꯅꯥꯇꯣꯟ
nostalgic	ꯊꯥꯏꯅꯒꯤ ꯊꯧꯗꯣꯛ ꯅꯤꯡꯁꯤꯡꯕ
not bad	ꯐꯠꯇꯕ ꯑꯣꯏꯗꯦꯅ
noted	ꯈꯪꯖꯤꯜꯂꯦ
note	ꯈꯪꯖꯤꯟꯒꯗꯕ
nothing	ꯀꯔꯤꯝꯇ ꯅꯠꯇꯕ
noticed	ꯎꯈ꯭ꯔꯕ
notice	ꯈꯪꯍꯟꯕ
Not now	ꯍꯧꯖꯤꯈ ꯅꯠꯇꯦ
not yet	ꯍꯧꯖꯤꯛ ꯐꯥꯎꯕꯒꯤ ꯑꯣꯏꯗ꯭ꯍꯔꯤ
not	ꯅꯠꯇꯕ
nouns	ꯃꯃꯤꯡ ꯈꯪꯅꯕ
noun	ꯅꯥꯎꯟ
novel	ꯑꯅꯧꯕ
november	ꯅꯕꯦꯝꯕꯔ
nowadays	ꯍꯧꯖꯤꯛꯀꯥꯟ
no way	ꯄꯥꯝꯕꯩ ꯂꯩꯇꯕ
now	ꯍꯧꯖꯤꯛ
No	ꯅꯠꯇꯦ
nuisance	ꯑꯌꯦꯠꯄ ꯄꯤꯕ
null	ꯑꯃꯠꯇ ꯑꯣꯏꯗꯕ
number	ꯃꯁꯤꯡ
numb	ꯀꯔꯤꯃꯠꯇ ꯐꯥꯎꯗꯕ
nurse	ꯅꯔ꯭ꯁ
nutrition	ꯃꯆꯤ ꯑꯣꯏꯕ
nut	ꯕꯗꯥꯝ
oath	ꯋꯥꯁꯛ
obesity	ꯀꯥ ꯍꯦꯟꯅ ꯅꯣꯏꯕ
obey	ꯍꯥꯏꯕ ꯏꯅꯕ
objective	ꯋꯥꯈꯜ ꯆꯨꯝꯕ
object	ꯄꯣꯠꯂꯝ
obligation	ꯏꯅꯗꯕ ꯌꯥꯗꯕ
obscure	ꯈꯪꯗ꯭ꯔꯤꯕ
observation	ꯌꯦꯡꯁꯤꯟꯕꯒꯤ ꯊꯧꯑꯣꯡ
observe	ꯌꯦꯡꯁꯤꯟꯕ
obsessed	ꯀꯥ ꯍꯦꯟꯅ ꯈꯟꯖꯤꯟꯕ
obsession	ꯀꯥ ꯍꯦꯟꯅ ꯈꯟꯖꯤꯟꯕ
obsolete	ꯆꯠꯅꯗ꯭ꯔꯕ
obstacle	ꯑꯄꯟꯕ
obtained	ꯐꯪꯂꯕ
obtain	ꯐꯪꯕ
obviously	ꯁꯣꯏꯗꯅ ꯑꯣꯏꯔꯕ
obvious	ꯁꯣꯏꯗꯕ
occasionally	ꯃꯔꯛ ꯃꯔꯛꯇ
occupation	ꯁꯤꯟꯐꯝ
occupied	ꯊꯕꯛ ꯆꯤꯟꯕ
occurred	ꯊꯣꯛꯈ꯭ꯔꯕ
occurs	ꯊꯧꯗꯣꯛ ꯊꯣꯛꯄ
occur	ꯊꯣꯛꯄ
ocean	ꯑꯄꯥꯛꯄ ꯁꯃꯨꯗ꯭ꯔ
october	ꯑꯣꯛꯇꯣꯕꯔ
odds	ꯇꯣꯉꯥꯟꯕꯁꯤꯡ
odd	ꯇꯣꯉꯥꯟꯅ ꯇꯥꯕ
of course	ꯍꯣꯏ
offensive	ꯁꯥꯎꯅꯤꯡꯍꯟꯕ
offer	ꯄꯤꯕ
office	ꯂꯣꯏꯁꯉ
often	ꯇꯠꯇꯅ
oh really	ꯑꯣ ꯑꯁꯦꯡꯕ
oil	ꯊꯥꯎ
okay baby	ꯌꯥꯔꯦ ꯆꯥꯟꯅꯕꯤ
okay dear	ꯌꯥꯔꯦ ꯅꯨꯡꯁꯤꯕꯤ
okay honey	ꯌꯥꯔꯦ ꯅꯨꯡꯁꯤꯕꯤ
okay my love	ꯑꯩꯒꯤ ꯅꯨꯡꯁꯤꯕꯤ ꯌꯦꯔꯦ
okay	ꯑꯣꯀꯦ
ok dear	ꯍꯣꯏ ꯅꯨꯡꯁꯤꯕꯤ
ok honey	ꯌꯥꯔꯦ ꯅꯨꯡꯁꯤꯕꯤ
ok my love	ꯌꯥꯔꯦ ꯑꯩꯍꯥꯛꯀꯤ ꯅꯨꯡꯁꯤꯕꯤ
ok	ꯑꯣꯀꯦ
old	ꯑꯔꯤꯕ
once	ꯑꯃꯨꯛꯈꯛ
one language is never enough	ꯂꯣꯜ ꯑꯃꯈꯛꯅ ꯀꯩꯗꯧꯅꯨꯡꯗ ꯑꯄꯦꯟꯕ ꯑꯣꯏꯗꯦ
one	ꯑꯃ
onion	ꯇꯤꯜꯍꯧ
only	ꯈꯛꯇ
open	ꯍꯥꯡꯗꯣꯛꯄ
