abandoned	ފަޅު
typical	އާންމު
ugly	ހުތުރު
ultimate	އެންމެ ފަހު
umbrella	ކުޑަ
unable	ނުވުން
uncle	ބޮޑު ބޭބެ
unconscious	ހޭނެތުން
underneath	އަޑީގައި
underrated	އަގުކުޑަކޮށްފަ
understand	ފަހުމްވުން
understood	ފަހުމްވުން
under	އަޑީގައި
unfortunately	ކަންދިމާކުރިގޮތުން
uniform	ޔުނީފޯމް
unique	ތަފާތު
unit	ޔުނިޓް
university	ޔުނިވަރސިޓީ
unknown	ނޭނގޭ އެއްޗެއް
unless	ނޫނީ
until	ވަންދެން
unusual	އާދަޔާ ޚިލާފު
update	އަޕްޑޭޓް
upgrade	އަޕްގްރޭޑް
upset	ހިތްހަމަނުޖެހުން
up to you	ތިބާގެ މައްޗަށް
up	މަތި
urban	ރަށްފުށު
urgent	ވަރަށް އަވަސް
urge	ކަމެއް ކުރަން ބޭނުންވުން
used	ބޭނުންކޮށްފައި
useful	ބޭނުންތެރި
useless	ބޭކާރު
use	ބޭނުންކުރުން
usually	އާންމުކޮށް
usual	އާންމުކޮށް
us	އަހަރެމެން
utility	ޔޫޓިލިޓީ
vacation	ދަތުރު
vaccination	ވެކްސިން ޖެހުން
vaccine	ވެކްސިން
vacuum	ވެކިއުމް
vague	ނުސާފު
valid	ސައްޙަ
valley	ވެލީ
valuable	އަގުހުރި
value	އަގު
variety	ތަފާތު ވައްތަރު
various	އެކި ބާވަތުގެ
vary	ތަފާތުވާ
vase	ވާސް
vast	ފުޅާ
vegetables	ތަރުކާރީ
vegetable	ތަރުކާރީ
vehicle	ދުއްވާއެއްޗެހި
vendor	ވެންޑަރ
venom	ވިހަ
venture	ވެނޗުއަރ
venue	ތަން
verify	ކަށަވަރުކުރުން
versatile	ބޭނުންތެރި
version	ވަރޝަން
vertical	ދިގަށް
very good	ވަރަށް ރަނގަޅު
very	ވަރަށް
vessel	ވެސަލް
via	މެދުވެރިކޮށް
vibes	ވައިބްސް
vibe	ވައިބް
vicious	އަނިޔާވެރި
victim	އަނިޔާ ލިބުނު ފަރާތް
video	ވިޑިއޯ
view	މަންޒަރު
village	ރަށްފުށު
villain	ވިލަން
vinegar	ރާހުތް
vintage	ވިންޓޭޖް
violence	އަނިޔާ
violent	އަނިޔާވެރި
viral	ވައިރަލް
virgin	ވަރޖިން
virtual	މަސްނޫއީ
virtue	ވަރޗޫ
vision	ވިޝަން
visit	ޒިޔާރަތްކުރުން
visual	ފެންނަ
vital	މުހިންމު
vivid	ސާފުނޫން
vocabulary	ބަސްކޮށާރު
voice	އަޑު
void	ހުސްބައި
volume	އަޑު
volunteer	ވޮލަންޓިއަރ
vomit	ހޮޑު
vulnerable	ނާޒުކު
wages	އުޖޫރަ
wage	ވޭޖް
waist	އުނަގަނޑު
waiter	ވެއިޓަރު
waiting	މަޑުކުރުން
wait	މަޑުކޮށްލާ
wake up	ހޭލުން
wake	ހޭލުން
walking	ހިނގަނީ
walk	ހިނގުން
wallet	ވޮލެޓް
wall	ފާރު
wander	މަންޒިލެއް ނެތި އުޅުން
wanna	ބޭނުން
wanted	ބޭނުންވެފައިވުން
want	ބޭނުން
wardrobe	އަންނައުނު ލާ އަލަމާރި
warehouse	ވެއަރހައުސް
warm	ތާފަނާ
warning	އިންޒާރު
warn	އިންޒާރުދިނުން
warrior	ހަނގުރާމަވެރިޔާ
war	ހަނގުރާމަ
wash	ދޮތުން
waste	އުކާލާ ތަކެތި
watch	ބެލުން
watermelon	ކަރާ
water	ފެން
wave	ރާޅު
way	ގޮތް
weakness	ބަލިކަން
weak	ވަރުދެރަ
wealthy	މުއްސަނދި
wealth	މުދާ
we are	އަހަރެމެންނަކީ
wearing	ލުން
wear	ލުން
weather	މޫސުން
we can	އަހަރުމެންނަށް ވާނެ
wedding	ކައިވެނި
Wednesday	ބުދަ ދުވަސް
weed	ވިނަ
weekend	ހަފްތާ ބަންދު
week	ހަފްތާ
weight	ބަރުދަން
weird	އާދަޔާ ޚިލާފު
welcome	މަރުޙަބާ
welfare	ވެލްފެއަރ
well done	ވަރަށް ފުރިހަމަ
Well	ވަޅު
went	ދިޔުން
west	ހުޅަނގު
wet	ތެތް
we	އަހަރެމެން
whale	ބޮޑުމަސް
what about you	ދެން ތިބާޔޯ
what are you doing now	ތިބާ މިހާރު ކީއްކުރަނީ
what are you doing right now	މިވަގުތު ތިބާ ތިކުރަނީ ކޮން ކަމެއް
what are you doing	ތިބާ ކީއްކުރަނީ
what do you do for a living	ޢާމްދަނީ ހޯދުމަށް ކުރަނީ ކޮން މަސައްކަތެއް
what do you do	ތިބާ ކުރަނީ ކޮން ކަމެއް
what do you mean	ތިބާ ތިބުނީ ކީކޭ
what do you want	ތިބާ ބޭނުންވަނީ ކޯންޗެއް
whatever	ކޮންމެގޮތެއްވިޔަސް
what happened	ކިހިނެއްވީ
what is this	މިއީ ކޮންއެއްޗެއް
what is your job	ތިބާގެ ވަޒީފާއަކީ ކޮބާ
what is your name	ތިބާގެ ނަމަކީ ކޮބާ
what is	އެ އެއްޗަކީ
what's up	ކޮންކަމެއް އޮތީ
what's your name	ތިބާގެ ނަމަކީ ކޮބާ
what	ކޯއްޗެއް
wheat	ގޮދަން
wheel	ފުރޮޅު
whenever	ކޮންމެއިރަކު
when	ކޮންއިރަކު
where are you from	ތިބާއަކީ ކޮންތަނެއްގެ މީހެއް
where are you now	މިހާރު ތިހިރީ ކޮންތާކު
where are you	ތިބާ ކޮންތާކު ތިހިރީ
whereas	އެހެން އެކަން އޮތްއިރު
where do you live	ކޮންތާކު ތިބާ އުޅެނީ
where is	ކޮބާ
where	ކޮންތާކު
whether	ވިޔަސް
which	ކޮންއެއްޗެއް
while	ކަމެއް ހިނގަމުންދާ އިރު
whisper	ނޭވާ އަޑުން ވާހަކަ ދެއްކުން
whistle	ތުބުންފުމުން
white	ހުދު
who are you	ތިއީ ކާކު
who is this	މިއީ ކާކު
who is	އެމީހަކީ
whole	އެއްކޮށް
whom	އެމީހެއްގެ
whose	އެމީހެއްގެ
who	ކާކު
why not	ކީއްވެ ނުވާންވީ
why	ކީއްވެ
wicked	ނުބައި
wide	ފުޅާ
widow	ހުވަފަތް
width	ފުޅާމިން
wife	އަންހެނުން
wild	ވައިލްޑް
willing	ކަމެއްކުރުމަށް އެދުން
will	ކަމެއް ކުރުމަށް  ބޭނުންވާ ހިތްވަރު
window	ކުޑަދޮރު
windy	ވައިޖެހޭ
wind	ވައި
wine	ރާ
winter	ފިނިމޫސުން
win	މޮޅުވުން
wipe	ފޮހެލުން
wire	ވަޔަރު
wisdom	ބުއްދި
wise	ޙިކްމަތްތެރި
wish you all the best	ތިބާއަށް ހުރިހާ ކާމިޔާބީއެއްވެސް ލިބުމަށް އެދެން
wish	އުންމީދު
witch	ސިހުރުހަދާ މީހާ
withdrawal	ނެގުން
withdraw	ނެގުން
within	ތެރެއިން
without	ނުލާ
with	އެކު
witness	ހެކިވެރިޔާ
witty	އުފާވެރި
wolf	ހިޔަޅު
woman	އަންހެނުން
women	އަންހެނުން
wonderful	އަޖައިބު ކުރުވަނިވި
wonder	އަޖައިބު
won't	ނުވާނެ
won	މޮޅުވުން
wood	ވަކަރު
wool	ވޫލް
words	ބަސްތައް
word	ބަސް
working	މަސައްކަތްކުރުން
work out	ކަސްރަތުކުރުން
work	މަސައްކަތް
world	ދުނިޔެ
worm	ފަނި
worn	ބާވެފައި
worried	ހާސްވުން
worry	ފިކުރު
worse	އެންމެ ނުބައި
worship	އަޅުކަން ކުރުން
worst	އެންމެ ނުބައި
worth it	އެކަށީގެންވޭ
worthy	އަގުހުރި
worth	އަގުހުރި
would	ކުރެވިދާނެ
wound	ހަލާކުވެފައިވާތަން
Wow	އާޗާ
wrap	އޮޅުން
wrath	ކޯފާ
wrist	އަތުކުރި
Write here	މިތާގަ ލިޔޭ
write	ލިޔުން
writing	ލިޔުން
written	ލިޔެވިފައި
wrong	ނުބައި
wrote	ލިޔުން
yard	ޔާޑް
yawn	އާފުރުން
Yeah	އާނ
years	އަހަރުތައް
year	އަހަރު
yeast	ޔީސްޓް
yellow	ރީނދޫ
yell	ހަޅޭއްލެވުން
yes baby	އާނ ލޯބިވާ
yes dear	ޔެސް ޑިއަރ
yes honey	އާ ލޯބިވާ
yes my love	އާނ ލޯބިވާ
yes of course	އާނ ހަމަ އަސްލުވެސް
yesterday	އިއްޔެ
Yes	އާނ
yet	އަދި
yield	މޭވާ
you are beautiful	ތިބާ ވަރަށްރީތި
you are so beautiful	ތިބާ ހާދަ ރިއްޗޭ
you are welcome	މަރުޙަބާ
you are	ތިބާ އަކީ
you can	ތިބާއަށް ވާނެ
You know	ތިބާއަށް އިނގޭތަ
young	ޅަ
you're welcome	މަރުޙަބާ
you’re welcome	ތިބާއަށް މަރުޙަބާ
yourself	ތިބާ
your welcome	މަރުޙަބާ
your	ތިބާގެ
youth	ޒުވާން
you too	ތިބާވެސް
you	ތިބާ
yummy	މީރު
zero	ސުމެއް
