a	éí
sixteen	hastą́ą́tsʼáadah
sixty	hastą́diin
size	aniłtsooígíí
skill	honaanish ájiłʼínígíí
skills	naanish bee jilínígíí
skin	akágí
skinny	ałtsʼóózí
skip	bitis hodeeshzhiizh
skirt	tłʼaakał
sky	yá
slave	naalteʼí
sleep	awosh
sleeping	awosh
sleepy	bił jinízin
sleeve	agaanzis
slice	bidoolgizh
slide	ilzhoł
slightly	tʼáá hazhóóʼígo
slim	ałtsʼóózí
slip	deeztéél
slope	hodínéeʼą́h
slot	halgizhgo hazʼą́
slow	tʼáá hazhóóʼógo
slowly	tʼáá hazhóóʼígo
small	ałtsʼíísí
smart	ayóo hwił ééhozin
smell	ajiłchinígíí
smile	yidloh
smoke	łid
smooth	dilkǫǫh
snack	yistʼéí
snail	chʼosh
snake	naʼashǫ́ʼii
snap	tʼáá hooshchʼįʼ kʼéʼaltǫʼ
snow	zas
snow	yas
so	ákogo
so cute	ayóóʼánoolnin
so far	kʼad hoolzhishdi
soak	nástłééʼ
soap	táláwosh alá bee tánágisígíí
sober	doo bitah hoozdoh da
sober	doo adlą́ą da
soccer	jooł nibéʼaleesí
social	diné bił naʼadáh
society	diné kééhatʼį́įgi
socks	kétiil
soft	yilzhóólí
soft	dishoh
software	béésh łichíiʼii nitsékeesí bił hadadilyaaígíí
soil	łeezh
sold	nahaazniiʼ
sold out	ałtsoh nahaazniiʼ
soldier	silaołtsooí
sole	akétłʼááh
solid	nitłʼiz
solution	bee hashtʼe hodooníłígíí
solution	bee hazhóʼó ádoolníłígíí
solve	hashtʼe nályaa
some	łaʼ
somebody	tʼáá háíshį́į́
somehow	haashį́į́ yitʼé
someone	tʼáá háíshį́į́
something	tʼáadooleʼé
sometimes	łahda
song	sin
soon	hodíinaʼgo
sophisticated	tʼáá íiyisíí bohónéedzą́
Sorani	Iraq Dineʼé Bizaad
sore	nidajildoh
sore throat	adáyiʼ hodiniih
sorrow	doo iłhózhǫ́ǫ da
Sorry	bee shá náhoołʼaah
sort	ałąąh nehaʼnííł
sought	haʼdéestʼį́į́ʼ
sought	haʼnitáh
soul	hwiiʼsizíinii
soulmate	diné háʼátʼéhígíí
sound	diitsʼaʼí
soup	atooʼ
sour	dichʼííʼ
source	tʼáá haʼátʼííshį́į́ bee ahodooníłígíí
south	shádiʼááh
space	hazʼą́ądi
space	hazʼą́ągi
spam	haneʼ doo yáʼátʼéhígíí
span	hahoozhiizh dóó niléí ałtsohjįʼ
Spanish	Naakai
spare	tʼáá bilááh yidziihígíí
spare	ánásdziid
speak	yájiłtiʼ
special	tʼáá sahdii átʼéhígíí
species	daniinánígíí
specific	tʼáá sahdii átʼéhígíí
spectacular	hwił nizhónígo jinééłʼį́įʼ
speech	haneʼ bee haʼadziih
speechless	chʼééh hajidziih
speed	tsxį́įłgo yiwołígíí
spell	saad naadzoh
spend	adeeshłííł
spend	íidoolííł
spent	choozʼįįd
spicy	dichííʼ
spike	dah deeshzhah
spin	náábał
spinach	waaʼ
spirit	honiłchʼih
spit	zhééʼ
splendid	nizhóní
split	ałtsʼááʼnil
spoil	dííłdzid
spoil	diikʼǫsh
spoiled	dííłdzid
spoiled	dííkʼǫsh
spontaneous	tʼáadoo hazhóʼó baa nitsáháskézí tʼáadooleʼé ajiłlééhgo
spoon	béésh adeeʼ
spot	hazʼánígi
spot	hazʼą́ągi
spouse	bił hizhdiʼnáanii
spread	nídidzííd
spring	daan
square	dikʼą́
squeeze	ałchʼįʼ ajileeh
squid	naʼashjéʼii łóóʼ
squirrel	dlǫdiłgai
st	atiin -  street
stab	baaʼaalgeed
stable	łį́į́ʼ bighan
stable	łį́į́ʼ yiiʼ sizíní
stack	yistłʼin
staff	naalnishí
stage	ałkééʼ dah honiʼą́ągo biyiʼ hoolzhishígíí
stain	bąąh silį́į́ʼ
stairs	bikááʼ háádaʼaldahígíí
stake	tsin doodago béésh bił adaʼalkaałí
stalk	atsiin
stall	neʼadzaago
stamp	bee ídaʼiiljahí
stamp	bee akʼiniʼiiʼnííł
stand	sizį́h
standard	atʼéhígíí
standard	ádaatʼéhígíí
star	sǫʼ
start	hahalzhíísh
started	bee hahoolzhiizh
starving	dichin hwiinidzin
state	bee haʼadziih
state	nitsaago bił hahoodzoh
statement	haʼoodzííʼ
station	bił hazʼą́ągi
statue	tʼáá haʼátʼííshį́į́ tsin bee bééʼalyaago
status	bee ił hazʼánígíí
stay	tʼáá kǫ́ǫ́h
stay safe	ádaaʼáholyą́
steady	doo nahaʼnáa da
steak	béégashii bitįʼ sitʼéhígíí
steal	anitʼį́į́ʼ
steam	siil
steel	béésh
steep	niinah
stem	atsiin
step	niʼdeeltáál
stick	tsin
stiff	dah nitłʼiz
still	tʼahdii
sting	yishchʼííʼ
stingy	aajíchxįʼ
stir	bił naʼatsih
stock	béeso bąąh alʼínígíí
stolen	neestʼį́į́ʼ
stomach	abid
stone	tsé
stood	yiizįʼ
stool	bikááʼ dah asdáhí ałtsʼóózígíí
stop	neʼ adzaa
storage	tʼáadooleʼé sinilí góneʼ
store	naalyéhí báhooghan
storm	niłtsą́h
story	haneʼ
stove	bikááʼ chʼiyáán alʼíní
stove	béésh biiʼ kǫʼí
straight	kʼézdon
straightforward	tʼáá kʼéhasdon náasjįʼ
strain	bilááh áálzingo
strange	tʼóó haashį́į́ yitʼé
stranger	doo adééhojilzingóó
stranger	diné doo bééhojizinígíí
strategy	haitʼéego naanish ádoolníłígíí
straw	tó bee yidlání
strawberry	dahwozh
streak	naajin
stream	tó nilį́
street	atiin
strength	adziil
stress	hodaʼdiiłʼáhígíí
stretch	naatsʼǫǫd
strict	bee jizį́h
strike	asdzih
string	tłʼóół ałtsʼóózígíí
strip	noodǫ́ǫ́z
strive	bikáh ajitʼį́
stroke	dił yiyilii atsiighaʼ yiih yigháahgo
strong	bidziil
struck	azhdzííłtsʼin
structure	hadítʼéhígíí
structure	tʼáá haʼátʼííshį́į́ alyááígíí
struggle	bee achʼįʼ nahwiiʼná
struggling	hachʼįʼ nahwiiʼnáago
stubborn	doo nibíʼdidzil da
stuck	nizhdineedzáh
student	ółtaʼí
study	óhooʼaah
study	naʼalkaah
studying	óhooʼaah
stuff	tʼáadooleʼé
stunning	bikee jideesyis
stupid	diigis
style	hazhdítʼéhígíí
subject	baa yátiʼígíí
subject	baa hwiinítʼínígíí
submission	íizhniizįįhgo
submit	yah aaʼnil
submit	yah aaltsooz
substance	tʼáá haʼátʼííshį́į́ bee alyaaígíí
substance	tʼáá haʼátʼííshį́į́ bił alyaaígíí
substitute	bitsáskʼeh iiyá
subtle	nanitłʼahgo baa honítʼiʼ
succeed	biʼąh jiyáago
success	naanish ályaaígíí
successful	tʼáá haʼátʼííshį́į́ yáʼátʼéehgo ájooliiłígíí
successful	tʼáá haʼátʼííshį́į́ biʼązhdiigháahgo
such	díigi ątʼéhígíí dah
such as	díigi átʼé
suck	yiłtʼoʼ
sudden	tʼáá hooshchʼįʼ
suddenly	tʼáá hooshchʼįʼ
suffer	tiʼhooʼnííh
suffering	achʼįʼ nahwiiʼnáh
sufficient	tʼáá bíighah
sugar	ashįįh łikan
suggest	bee haʼoodzííʼ
suggestion	saad bee haʼoodzííʼ
suit	ééʼ
suitable	beełtʼé
suitcase	hxeeł biih náʼniłí
suitcase	azis hxééł biih náʼniłí
sum	ałhíidzoh
summary	haneʼ baa náhaneʼígíí
summer	shį́
summit	niinah bitis góʼąąh
sun	jóhonaaʼáí
sunday	Damóo
sunny	adinídíín
sunset	eʼeʼaah
sunshine	adinídíín
super	yéego nizhóní
superior	aláahdi dah sidáhígíí
superior	aláahdi átʼéhígíí
supervisor	diné bá nidaʼanishí
supper	yéego nizhóní
supply	bee áhodooníłígíí
support	bee íighah asdzį́h
suppose	ákotʼéego yiʼátʼé
supposed	daatsʼíhígíí
sure	aooʼ
surface	bikáaʼdi
surface	bikáaʼgi
surge	tʼáá naʼnileʼdii dego kódzaago
surgery	atsʼíís naalgizhgo binaʼanishígíí
surname	yizhí náás yilyą́łígíí
surprise	doo hwił bééhozingóó
surprised	doo jijólíígóó ádzaa
surprised	tʼáadoo hooyání adzaa
surrender	neʼnizhníyá
surrounding	anaagóó áhootʼéhígíí
surveillance	tʼáá ayídíjįʼ nélʼį́
survey	nidaʼídikid bee naʼalkaahígíí
survive	yisdáh jiiyá
suspect	hwaaʼayohoolniiʼ
suspect	ayohoojooliiʼ
suspended	atsʼá biʼilniiʼ
suspended	atsánáltʼeʼ
suspicious	tʼáá haʼátʼííshį́į́ baa nijólíh
sustain	siiʼhasin
sustainability	tʼááłáhígi átʼéego siłkidgo
sustainable	tʼááłáhígi siłkidígíí
swag	tʼáá haʼátʼííshį́į́ neestʼį́įgo nídiilyáhígíí
swallow	ajilneeh
swallow	iiłneeh
swap	ałnááʼooʼnil
swear	tʼáá adzaagóó tʼáá naʼnileʼdii yátiʼ
swear	tʼáá adzaagóó yátiʼ
sweat	jiditłéeʼgo
sweat	tó hxąąh haatiłígíí
sweater	ééʼnaatsʼǫǫdii dintánígíí
sweep	ałhxąh nahashóóh
sweet	łikan
sweet dreams	naʼiizeeł baa hózhónígíí baa nidiyííyił
sweet tooth	łikání tʼéíyá yidą́
sweetheart	awééʼ
swell	niichaad
swelling	niichaad
swim	naʼalkǫ́ǫ́ʼ
swimming	naʼałkǫ́ǫ́ʼ
swing	dah nalchʼąął
switch	bee nídiiltłiʼí
swollen	niichaad
sword	bééshtsoh
symbol	bee íʼdiidlííd
symbol	bee ééhozinígíí
sympathy	hwił haahojoobaʼgo
symptoms	bee éédahozinígíí
system	ádaatʼéego bee áhootʼéhígíí
table	bikááʼ adání
tackle	bił ajidiłgo
tag	naaltsoos bąąh dah siláhígíí
tail	atseeʼ
take	nizhdiiʼaah
take away	niwohjįʼ yiʼááł
take care	ádaaʼáhayą́
take off	bikʼeetʼą́h
taken	nídiilyá
talk	yátiʼ
talkative	haʼdiłchʼał
tall	nineez
tap	naniltąsh
tape	bee ałhídaʼdiiljeehí
target	bikʼeh niitʼánígíí
task	naanish
taste	ajilniihígíí
tasty	jilniih
taught	naʼneestą́ą́ʼ
tea	chʼil ahwéhí
teach	naʼnitin
teacher	báʼóltaʼí
team	ahił dajilį́h
team	ahił dajilį́įgo
tear	yizdlad
tears	nákʼeeshtoʼ
tease	dloh hwidichííd
technology	béésh łichíiʼii bee naʼanish
teeth	awooʼ
tell	baa haneʼ
tell me	shił holneʼ
temper	áhachxįʼ
temperature	niłchʼih naʼałkidígíí
temple	tʼáá haʼátʼííshį́į́ bichʼįʼ tsohodizinígíí
temple	tʼáá haʼátʼííshį́į́ biyiʼ tsohodizinígíí
temporary	tʼóó hónishgháníjįʼ
ten	neeznáá
ten thousand	neeznáádimííl
tenant	diné hooghan yiiʼ bighanígíí
tenant	diné kéyah bikááʼ kééhatʼínígíí
tend	átʼéhígi átʼéego
tendency	áhootʼéego
tendency	ahoonííł
tender	ditʼóódí
tense	dashnitłʼizgo
tense	hadoh nidaaskidígíí
tension	atah hótłʼiz
tension	tʼáá dashnitłʼiz
tent	nibaal
tentative	shąʼshin dooleeł daatsʼí
term	bee ałghaʼdeestʼánígíí
terms	bee aghaʼdeetʼánígíí
terrible	baaʼih
terrific	nizhóní
territory	kéyah
test	bee íʼneelʼąąh
text	saad naasdzooígíí
thank	ahxéheeʼ
thank you	ahxéheeʼ
Thank you for your patience while we investigate shipment	Bił ádaʼalyaaígíí neilkaah bibaʼ nanináhígíí baaʼahxééniidzin
Thank you for your patience while we investigate shipment	Bił ádaʼalyaaígíí neilkaah bináh nanináhígíí baaʼahxééniidzin
thank you so much	nitsaago ahxéheeʼ
thank you very much	nitsaago ahxéheeʼ
thanks	baaʼahxééhwiinidzin
thanks	ahxéheeʼ
Thanks for using our app	nihi app choiníłʼínígíí baaʼahxééhniidzin
that	niléí
that is	díí éí
that's good	eii nizhóní
the	díí
theft	aniʼííʼ
their	daabí
them	bí
theme	binahjįʼ nitsáhákeesígíí
themselves	tʼáá bí
then	íídą́ą́ʼ
theory	díigi áhootʼįįd shąʼshin hwiinidzinígíí
theory	díigi adzaa shąʼshin hwiinidzinígíí
there	dząądi
there are	kǫ́ǫ́h éí
there is	akǫ́ǫ́h
therefore	biniinaago
these	díidígii
they	bi
they are	bí éí
thick	ditą́
thief	aniiʼįįįhį́
thigh	atłaakááʼ
thin	ałtʼą́ą́ʼí
thing	tʼáadooleʼé
things	tʼáadooleʼé
think	baa nitsáhákees
third	tááʼ góneʼ
thirsty	dibááʼ hasin
thirteen	tááʼtsʼáadah
thirty	tádiin
this	díí
this is	díí éí
thorough	tʼáá ałtsohjįʼ
thoroughly	yéego
those	niléí
though	ákoh
thought	nitsáhaskééz
thoughtful	ayóo nitsáhákees
thoughts	nitsáháskééz
thousand	dimííl
thread	bee náʼalkadí
threat	saad bee ineeshił
threaten	honeeshił
three	tááʼ
threshold	chʼéʼatiin biyaa sitánígíí
thrilled	hwił hózhǫ́
thrive	biká ajitʼį́h
throat	azágí
through	binikáh
throughout	tʼáá biyiʼ hoolzhish
throw	eeltsʼid
thumb	alátsoh
thunder	niʼdiʼníh
Thursday	Damóodóó Dį́ʼí Jį́h Nidaʼanish
Thursday	Dį́ʼí Jį́h Nidaʼanish
thus	díígi átʼéego
tick	chʼosh
tide	tó yilkʼoł
tidy	hashtʼe hólzin
tie	beʼastłʼǫ́
tiger	náshdóítsoh noodǫ́zígíí
tight	niłdzil
Tigrinya	Ethiopia Dineʼé Bizaad
time	oolkił
time	oolkiłí
timid	doo adaijódlíi da
tiny	ałyáázhí
tip	chʼíhootʼánígíí
tips	hwił chʼíhwiitaah
tire	chidí bikeeʼ
tired	chʼééh deeyá
tissue	naaltsoos bee áditʼoodí ałtʼą́ʼígíí
title	bee wójíhígíí
to	-dę́ę́ʼ
to	-jįʼ
to	-góó
to be	atʼéego
toast	bááh yideezí
today	díí jį́h
toddler	awééʼ
toes	kézhoozh
together	tʼáá átʼé
together	tʼáá ałhiiʼjįʼ
toilet	niiʼoh góneʼ bikááʼ dah naʼnidaahí
told	baa hóóneʼ
told	bee haʼoodzííʼ
tolerance	tʼáá bíighah dooleeł
tolerate	bee hojisą́
tomato	chʼil łichíʼí
tomorrow	yiskʼą́ągo
tongue	atsooʼ
tonight	díí tłʼééʼ
too	ałdóʼ
took	eelyá
tool	bee nidaʼanishí
tools	bee nidaʼanishí
tooth	awooʼ
top	hódahdi
topic	baa yátiʼígíí
topic	baa hwiinítʼínígíí
torn	yizdlad
torture	diné tiʼbijiiłníihgo
total	tʼáá átʼégo
touch	biʼdinih
touch	yidilnih
tough	nanitłʼah
tough	nitłʼiz
tour	tʼáá haʼátʼííshį́į́ bitaaʼ adáago danélʼį́h
toward	bichʼįʼjigo
towards	bichʼįʼ
towel	beʼaditʼoodí
town	kintah
toxic	bááhadzid
trace	akékʼeh nátʼą́ą́ʼ nináʼalkaah
trace	akékʼeh naʼadzoh
track	nijiłkaah
trade	ałnááʼilyé
tradition	óʼoolʼįįł
traditional	óʼoolʼįįł
traffic	chidí ałnáʼatʼį́
trail	jáadee bee atiin
train	kǫʼnaʼałbąąsii
train	naʼnitin
training	binaʼniltin
trait	ajítʼéhígíí
traits	ajítʼéhígíí
transfer	łahjigo biʼilnííh
transition	nááná łahgo bił éʼelyaa
translate	łaʼ nááná saad bee haneʼ alʼínígíí
transparent	binígháh hootʼį́
transport	tʼáá haʼátʼííshį́į́ nááná łahgo ilnééh
transportation	bee chʼaanaʼadáhí
trap	bee ódleehí
trash	tsʼiilzéí
trauma	yéego achʼįʼ anáhatʼihgo
travel	chʼaanaʼadáh
tray	bee naʼakáhí
treasure	naadeełí
treat	tʼáadooleʼé
treatment	ąąh áʼalʼį́
tree	tʼiis
tree	gad
tremendous	bohónéedzánígi átʼéego alyaa
trend	hoolzhish bikʼeh tʼáá haʼátííshį́į́ łahgo áánííł
trial	nibíʼnitaahgo chooʼį́h
trick	inaʼadloʼ
tried	bizhneeztą́ą́ʼ
trigger	habijiiswod
trim	belzhééh
trip	chʼaanaʼadáh
trouble	isdzih
trouble	nanitłʼago izdzih
trousers	tłʼaajįʼééʼ
truck	chidí
truck	chidítsoh
true	tʼáá anííh
true	tʼáá aníinii
trunk	sitsʼaaʼ
trust	baʼahódlí
truth	tʼáá aníinii
truth	tʼáá anínígíí
try	nabiʼnítaah
Tsonga	South Africa Dineʼé
tube	bee altʼoodí
Tuesday	Damóodóó Naaki Jį́h Nidaʼanish
Tuesday	Naaki Jį́h Nidaʼanish
tuition	béeso óltaʼ bikʼéh siláhígíí
turkey	tązhii
turn	náʼoogiz
turtle	chʼééhdigháhii
tutor	óhooʼaah yee ákaʼanálwoʼí
twelve	naakitsʼáadah
twenty	naadiin
twenty-one	naadinlaʼ
Twi	Ghanadi Dineʼé
twice	naakidi
twist	ałkʼídeesdiz
two	naaki
type	ádaatʼéhígíí
typical	tʼáá haashį́į́ jitʼéego binahjįʼ bee hwééhozin
ugly	baaʼih
ultimate	akéedi adzaaígíí
umbrella	bee chahaʼohí
unable	doo bíighah da
uncle	shidaʼ
uncle	shiyáázh
unconscious	doo hwił ééhozin da
under	biyaadi
underneath	biyaadi
underrated	doo ilį́įgo baa nitsáhákees da
understand	bikʼiʼdiitįįh
understood	akʼiʼdiitįįh
unfortunately	doo bíighah da silį́į́
uniform	ééʼ naanish biniiyé bee háázhdiitʼįįhígíí
unique	tʼáá sahdii átʼé
unit	tʼááłahjįʼ átʼéego siʼą́
university	hódahgo bidziilgo óltaʼígíí
unknown	doo bééhozin da
unless	áko nidi
until	áko índa
unusual	ákotʼée łeh
up	dego
up to you	tʼáá ni bee nóholnííh
update	háádilyaa
upgrade	nináneelʼį́įgo bee náás anáánályaa
upon	baa hoolzhiizhgo
upset	naahxǫʼ
urban	kintah binaadi
urge	bee jigod
urgent	tsxį́įłgo bee áhodooníłígíí
us	nihí
use	chooʼį́h
used	choozʼįįd
useful	chooʼínígíí
useless	tʼáadoo bee chǫǫʼíní da
usual	łeh
usually	łeh
utility	tʼáá haʼátʼííshį́į́ chodaaʼínígíí
vacation	chʼaanaʼadáh
vaccination	azeeʼ bił aaʼadaʼatsiígíí
vaccine	azeeʼ bił aaʼadaʼatsii
vacuum	tsxiilzéí náyiiláhí
vague	doo hazhóʼó yitʼį́į da
valid	tʼáá anii átʼé
valley	dzigai
valuable	ilį́
value	ilį́
variety	tʼáá dikwíigo shį́į́ ałʼąą ádaatʼéego
various	ałąąh átʼéhígíí
vary	lahda ákótʼée łeh
vase	hashtłʼish ásaaʼ
vast	tʼáá kóhoniłtéelgo hazʼánígíí
vegetable	chʼil naniseʼ daadánígíí
vegetables	chʼil naniseʼ daadánígíí
vehicle	chidí
vendor	baa naʼiiniihí
venom	naʼashǫ́ʼii bizhééʼ
venture	tʼáá baa hastiʼ nidi ajilééh
venue	ałhah azlį́įgi
venue	ałhah azlį́įdi
verify	bee bééhoozįįh
versatile	tʼáadooleʼé biʼnildíih
version	ádaatʼéhígíí
vertical	sizį́įgo
very	tʼáá íiyisíí
very good	yéego nizhóní
very good	yéego yaʼátʼééh
vessel	tsinaaʼeełítsoh
vessel	tsinaaʼeełí nitsxaazígíí
via	beego
vibe	hatah áhootʼéhígíí
vibes	atah áhosinígíí
vicious	doo aajistiʼ da
victim	tiʼbiʼdilínígíí
video	naalnidí
view	nélʼį́h
village	diné kééhatʼínígi
villain	diné doo yáʼátʼéhígíí
vinegar	akʼah díkʼǫ́zhígíí
vintage	ádą́ą́ʼ yihahgo wáán ályaaígíí
violence	tʼáá tiʼjidoolíiłgo nijigháh
violence	dziil hwiinidzin
violent	tʼáá tíʼdoolníiłgo
viral	naałniih
virgin	doo aadi adleehgóógo
virtual	béésh łichíiʼii biyiʼjįʼ ahxił haneʼ
virtue	hweʼoodląʼ bee jizínígíí
vision	anááʼ bee hootʼínígíí
visit	aaʼídáh
visit	aaʼídzáh
visual	anáá bee nélʼį́
vital	tʼáá aníinii
vivid	tʼáá íiyisíí yitʼį́
vocabulary	saad bóhooʼaahígíí
voice	hwiinééʼ
void	bikʼih iidzoh
volume	tʼáá haʼátʼííshį́į́ íitsʼaʼígíí bee naagiz
volunteer	tʼáá ákaʼiilyeedí
volunteer	ákaʼiilyeedí
vomit	kwiih
vulnerable	doo nitłahgóó haahonítʼiʼ
wage	béeso naanish bitsʼą́ą́dóó alʼínígíí
wages	naanish bitsʼą́ą́dóó béeso ádaalʼínígíí
waist	awoozhnííʼ
wait	ałtsé
waiter	abaʼsidáhí
waiting	abaʼjizdáh
wake	jidéezʼį́į́ʼ
wake up	chʼénádzid
walk	jooghááł
walking	joogááł
wall	aniʼáh
wallet	béeso bizis
wander	tʼóó nahgóó nijighá
wanna	jinízin
want	jinízin
wanted	nidzin
war	anaʼ hazlį́į́ʼ
wardrobe	bee intéhí
warehouse	bee nidaʼanishí báhooghan
warm	honeezilí
warm	yilzíílí
warm	sizilí
warn	bee ił haneʼ
warning	baaʼákozhnízin biniiyé ił haneʼí
warrior	naabaahii
was	ńtʼę́ę́ʼ
wash	táájigis
wash	taʼadigis
waste	nichxǫ́ʼí
watch	nélʼį́
water	tó
watermelon	chʼééjiyáán
wave	yilkʼoł
wave	dzoołhxał
way	hoołʼaah
we	nihi
we are	nihí éí
we can	nihí éí
weak	doo niłdzil da
weakness	doo bichʼįʼ haʼahónínígíí
wealth	ajitʼį
wealthy	ajitʼį́h
wear	bee naʼadáh
wearing	yee naaghá
weather	niłchʼih ałʼąą ánaaʼníłígíí
wedding	iigeh
Wednesday	Tágí Jį́h Nidaʼanish
Wednesday	Damóodóó Tágí Jį́h Nidaʼanish
weed	chʼil deeníní
week	damóo
weekend	Damóo Yázhí dóó Damóo
weight	aniłdásígíí
weird	tʼáá haashį́į́ yitʼé
welcome	yaʼátʼééh wóshdę́ę́ʼ
welcome	woshdę́ę́ʼ
welfare	bee ákaʼanídaʼawoʼí
Well	nizhóní
Well	yaʼátʼééh
well done	nizhónígo ályaa
went	niséyá
were	nítʼę́ę́ʼ
west	eʼeʼaah
wet	ditłééʼ
whale	łóóʼtsoh
what	haʼátʼíí
what	haʼátʼíísh
what about you	nishąʼ
what are you doing	Haʼátʼíí baa naniná
what are you doing	Haʼátʼíish baa naniná
what are you doing now	kʼad haʼátʼíí baa naniná
what are you doing now	kʼad haʼátʼíish baa naniná
what are you doing right now	kʼad shąʼ haʼátʼíí baa nininá
what do you do	haʼátʼíish aniłį́h
what do you do for a living	haʼátʼíish ninaanish aniłʼį́h
what do you do for a living	haʼátʼíish bee akʼinidídáh
what do you mean	haʼátʼíí yee tʼáá bidiníh
what do you mean	haʼátʼíish tʼáá bidiníh
what do you want	haʼátʼíish nínínzin
what happened	haash hoodzaah
what happened	haash hóótʼįįd
what is	atʼéhígíí
what is this	díí haʼátʼíish átʼé
what is your job	haʼátʼíish ninaanish
what is your name	nizhiʼ haash yitʼé
what is your name	haash yinilyé
what's up	haʼátʼíish
what's your name	haash yinílyé
whatever	tʼáá haʼátʼííshį́į́
wheat	dah díníisą́h
wheel	chidí bikeeʼ
wheel	akeeʼ
when	hahgo
whenever	tʼáá hahgo shį́į́
where	háadi
where	háadish
where are you	háadish naniná
where are you from	Haadę́ę́ʼ nininá
where are you from	Haadę́ęsh naniná
where are you now	kʼad háadish nininá
where are you now	kʼad háadi naniná
where do you live	háadish kééhonítʼį́h
where do you live	háadish nighan
where is	háadi
whereas	iiją́ą́shį́į́ eii
whether	áko shį́į́
which	háídígíí
while	-go
whisper	tʼáá hazhóóʼígo yátiʼ
whistle	tsisǫ́ǫ́s
white	łigai
who	Háísh
who	háí
who are you	háísh anitʼį́
who is	háíshį́į́
who is this	díí shąʼ háísh átʼį́h
whole	tʼáá nítéénéeʼgo
whole	tʼáá siʼą́ą́ nítʼę́ę́ʼ
whom	háíshį́į́
whose	háísh
why	haʼátʼíish biniinaa
why	haʼátʼíish biniiyé
why not	haʼátʼíísh biniinaa dooda
wicked	hweʼiiníziin
wide	niteel
widow	bił hizhdiʼnáanii ádin yileehgo
width	aniłtélígíí
wife	eʼasdzáá
wild	doo yizhǫǫh da
will	dooleeł
willing	áhwiinidzinígíí
win	oozbą́h
wind	níyol
window	tsésǫʼ
windy	níyol
wine	wáán
wine	tó diłhxił siʼnaaʼiiłáhí
winter	hai
wipe	yitʼood
wire	bééshtsʼósí
wisdom	hwił ééhosinígíí
wise	yéego ił ééhozin
wish	laanaa
wish you all the best	nikʼih hojidlį́į dooleeł
witch	diné beʼiiníziin
with	bił
withdraw	nátʼą́ą́ʼ adzaa
withdrawal	bitsʼádzoh
withdrawal	bitsʼáʼniłgo
within	biyiʼdę́ę́ʼ
without	tʼáágééd
witness	bíínáłígíí
witty	maʼazhdilį́h
wolf	maʼiitsoh
woman	asdzání
women	asdzání
won	oozbą́h
won't	dooda
wonder	taʼdidááh
wonderful	nizhóní
wood	chizh
wood	tsintah
wool	dibé bighaaʼ
word	saad
words	saad wóltaʼí
work	naanish
work out	átah hodilzéí
work out	naʼádiltsʼǫǫd
working	nidaʼanish
world	tʼáá náhwiizáán nítʼę́ę́ʼ
world	nahasdzáán
worm	chʼosh
worn	tʼáá yéego neezhaazh
worried	baa haneʼ
worry	baa hóneʼ
worse	yéego doo áhodzaa da
worship	bichʼįʼ tsohodizin
worst	yéego doo ákodzaa da
worth	ilį́
worth it	bíighah
worthy	ilį́
would	dooleeł
wound	łóód
Wow	sxih
wrap	bikʼíʼdeesdiz
wrath	yéego háháchxįʼgo
wrist	alátsíín
write	naʼadzoh
Write here	kweʼé
writing	saad naadzoh
written	naasdzoh
wrong	doo ákotée da
wrote	naasdzoh
yard	hooghan bineʼdę́ę́ʼ hazʼánígíí
yard	tááʼ adéeseezgo
yawn	nízhdiichʼah
Yeah	bíighah
Yeah	tʼáá áko
year	yihahígíí
years	nináhahááh
yeast	dah díníisą́h
yell	jidilwosh
yellow	łitso
Yes	Aooʼ
yes baby	aooʼ, awééʼ
yes dear	aooʼ, awééʼ
yes honey	aooʼ, shichʼooníh
yes my love	aooʼ shichʼooníh
yes of course	aooʼ, tʼáá áko
yesterday	adą́ą́dą́ą́ʼ
yet	tʼahdii
yield	tʼóó biyó neʼ adzaa
you	ni
you are	ni éí
you are beautiful	ayóóʼáníínilnin
you are beautiful	nízhóní
you are so beautiful	yéego nízhónį
you are welcome	ni ałdóʼ wóshdę́ę́ʼ
you are welcome	ni ałdóʼ yáʼátʼééh
you can	ni éí
You know	nił bééhozin
you too	ni ałdóʼ
you're welcome	ni ałdóʼ ahxéheeʼ
young	anii naagháh
your	ni
your welcome	ni ałdóʼ yaʼátʼééh
yourself	tʼáá hó
youth	nooséłí
you’re welcome	ni ałdóʼ yáʼátééh
yummy	łikan
zero	ádin
