ⴰ	a
ⴽⵔⵢⵓ	Krio
ⵛⵕⴻⴷ	label
ⴰⵣⵎⵓⵍ	label
ⴰⵅⴻⴷⴷⵉⵎ	labor
ⴰⵅⴻⴷⴷⵉⵎ	labour
ⴷⴻⵔⵓⵙ	lack
ⴰⵙⴻⵍⵍⵓⵎ	ladder
ⵜⴰⵎⴻⵟⵟⵓⵜ	lady
ⵜⴻⵥⵥⴻⵍ	laid
ⴰⵀⴻⵍⵎⵉⵎ	lake
ⵉⵣⵉⵎⴻⵔ	lamb
ⴰⵇⵓⴹⴰⵔ	lame
ⵜⴰⴼⵜⵉⵍⵜ	lamp
ⵢⴻⵀⵡⴰ	land
ⵜⴰⵔⴰⴽⴰⵍⵜ	landscape
ⵜⵓⵜⵍⴰⵢⵜ	language
ⵉⵔⴻⴱⴱⵉ	lap
ⵡⴻⵙⵉⵉ	large
ⴰⵏⴻⴳⴳⴰⵔⵓ	last
ⵜⴰⴳⴳⴰⵔⴰ ⵎⴰⵛⴰ ⵎⴰⵞⵉ ⴷ ⵜⵉⵏ ⵎⴻⵇⵇⵔⴻⵏ	last but not least
ⵏⴻⴽⵡⴰ	last name
ⵉⵄⴻⵟⵟⴻⵍ	late
ⵜⴰⴳⴰⵔⴰ	lately
ⵜⵉⵛⴽⵉ	later
ⵓⵏⴳⴰⵍ	latest
ⴰⵏⴻⴳⴰⵔⵓ	latter
ⵜⴰⴹⵙⴰ	laugh
ⵜⴻⵜⵜⴰⴹⵙⴰ	laughing
ⵜⴰⴹⵙⴰ	laughter
ⴰⵙⵏⵓⵍⴼⵓ	launch
ⴰⵙⵙⵉⵔⴻⴷ	laundry
ⴰⵙⴰⴹⵓⴼ	law
ⵜⴰⵣⵣⵍⴰ	lawn
ⴰⴱⵓⴳⴰⵟⵓ	lawyer
ⵙⵙⴻⵔⵙ	lay
ⵜⵉⵙⵙⵉⵜ	layer
ⴰⵙⵏⴰⵣⴻⵍ	layout
ⴰⴼⴻⵏⵢⴰⵏ	lazy
ⴰⵙⴼⴻⵍ	lead
ⴰⵇⴻⵔⵔⵓ	leader
ⵜⴰⴼⵔⵉⵡⵜ	leaf
ⵜⵏⴻⴳⴳⵉ	leak
ⵜⵜⵙⴻⵏⵏⵉⴷⴻⵖ	lean
ⵏⴻⴳⴳⴻⵣ	leap
ⵢⴻⵍⵎⴻⴷ	learn
ⴰⵍⵎⴰⴷ	learning
ⵢⴻⴽⵔⴰ	lease
ⵎⴰⴷⵔⵓⵙ	least
ⴰⴳⵍⵉⵎ	leather
ⵢⴻⴷⴷⴻⵔ	leave
ⵢⴻⵊⵊⴰ	leave
ⵉⵣⴻⵔⴼⴰⵏ	leaves
ⵢⴻⵙⵙⴰⵡⴹⴻⵏ	led
ⴰⵣⴻⵍⵎⴰⴹ	left
ⴰⴹⴰⵔ	leg
ⴰⵎⵓⵔ	legacy
ⵍⵇⴰⵏⵓⵏ	legal
ⵜⵎⵓⵛⵓⵀⴰ	legend
ⵜⴰⵙⴰⴷⵓⴼⵜ	legit
ⵍⵉⵙⵜⴰⵄ	leisure
ⵔⴻⴹⵍⴻⵖ	lend
ⵜⴻⵖⵣⵉ	length
ⴷⴰⵡ	less
ⵜⴰⵎⵙⵉⵔⵜ	lesson
ⴰⵙ ⴷⵯⵢⴻⴵⴵ	let
ⵜⴰⴱⵔⴰⵜ	letter
ⵜⴰⵃⵍⴰⵡⴰⵜⵜ	lettuce
ⴰⵙⵡⵉⵔ	level
ⴰⵏⴰⵎⵎⵓⴷ	leverage
ⴰⵙⴻⵍⴽⴻⵎ	liability
ⵜⴰⵙⴻⵔⴽⴰⵏⵜ	library
ⵎⵛⴻⵃ	lick
ⵙⴽⴻⵔⴽⴻⵙ	lie
ⵜⵉⵙⴽⴻⵔⴽⴰⵙ	lies
ⵜⵓⴷⴻⵔⵢ	life
amessawen	lift
ⴷⴷⴻⵎ	lift
ⵢⴻEⵡⴰ	light
ⵜⴰⴼⴰⵜ	light
ⵍⴱⵔⴻⵇ	lightning
ⴰⵎ	like
ⴰⵀⴰⵜ	likely
ⴰⴽⴽⴻⵏ ⴷⴰⵖⴻⵏ	likewise
ⴰⵣⵉⵔⵉⴳ	line
ⵍⵉⵏⴳⴰⵍⴰ	Lingala
ⵢⴻⵇⵇⴻⵏ	link
ⵉⵣⴻⵎ	lion
ⵉⵎⴻⵏⴳⵉ	liquid
ⵓⵎⵓⵖ	list
ⵙⵙⴻⴼⵍⴻⴷ	listen
ⴰⵙⵎⴻⵃⵙⴻⵙ	listening
ⵙ ⵡⴰⵡⴰⵍ	literally
ⵜⴰⵙⴻⴽⵍⴰ	literature
ⵓⵔ ⵜⵜⴹⴻⴳⴳⵉⵔ ⵜⵓⵔⵙⴰⴹ	litter
ⵛⵡⵉⵟ	little
ⵢⴻⴷⴷⴻⵔ	live
ⵢⴻⵣⴷⴻⵖ	live
ⵜⴰⵙⴰ	liver
ⵜⵓⴷⴻⵔⵜ	lives
ⵜⵓⴷⴻⵔⵜ	living
ⵜⵎⴻⵙⵔⵉⵜ	living room
ⴰⵃⴻⵍⴱⵓⴱⵓ	lizard
ⵜⵄⴻⴱⴱⴰ	load
ⴰⵖⵔⵓⵎ	loaf
ⴰⵔⴻⴹⴹⴰⵍ	loan
ⵏ ⵜⵎⵓⵔⵜ	local
ⴰⵎⴽⴰⵏ	location
ⵜⵙⴻⴽⴽⴰⵕⵜ	lock
ⴰⵙⴻⴱⴷⴻⴷ	lockdown
ⵉⵣⵇⵓⵔⴻⵏ	log
ⵉⵙⴻⴹⵙⴰⵢ ⴰⵟⴰⵙ	lol
ⵡⴻⵃⴷⴻⵙ	lonely
ⵖⴻⵣⴰⵉⴼⴻⵏ	long
ⴰⵛⵃⴰⵍ ⴰⵢⴰ ⵓⵔ ⴽⵯⵏⴻⵣⵔⵉ	long time no see
ⵎⵓⵇⵇⴻⵍ	look
ⴰⴽⴻⵔⵓⵙ	loop
ⵙⴻⵄⵔⴻⵇ	loose
ⵙⵉⴷⵉ	lord
ⵢⴻⵙⵔⵓⵃ	lose
ⵍⴻⵅⵚⴰⵔⴰ	loss
ⵉⴹⴰⵄ	lost
ⴰⵟⴰⵙ	lot
ⵄⴻⴽⴽⴰⵢ	loud
ⵜⴰⵎⴻⵙⵔⵉⵜ	lounge
ⵢⴻⵃⵎⴻⵍ	love
ⵃⴻⵎⵎⵍⴻⵖⵯⴽⴻⵎ	love you
ⵜⵓⵛⴱⵉⵃⵜ	lovely
ⴷⴻⵔⵓⵙ	low
ⵔⵅⵉⵙⵉⵜ	lower
ⵢⴻⵚⴼⴰⵏ	loyal
ⵓⵏⵚⵉⵃ	loyalty
ⵣⵣⵀⴻⵕ	luck
ⵣⵣⵀⴻⵔ	lucky
ⵍⵓⴳⴰⵏⴷⴰ	Luganda
ⵉⴼⴻⵛⴽⴰ	luggage
ⵜⴰⵃⵊⵓⵔⵜ	lump
ⵉⵎⴻⴽⵍⵉ	lunch
ⵜⵓⵔⵉⵏ	lungs
ⴰⵍⴰⵎⴻⵖ	luxury
ⵍⴻⴽⴷⴻⴱ	lying
ⵜⴰⵎⴰⵛⵉⵏⵜ	machine
ⵢⴻⵎⵅⴻⵍ	mad
ⵎⴰⵙⵙⴰ	madam
ⵢⴻⵜⵜⵡⴰⵅⴻⴷⵎⴻⵏ	made
ⵜⴰⵃⴰⵏⵓⵜ	magazine
ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ	magnificent
ⵜⴰⵇⴻⴷⴷⴰⵛⵜ	maid
ⵏⴻⵜⵜⴰ ⵉⴷ ⴷ ⵙⴻⵃ	main
ⴰⵃⴰⴼⴻⵔ	maintain
ⴰⵙⴻⵃⴱⵉⴱⴻⵔ	maintenance
ⵎⴰⵜⵉⵍⵉ	Maithili
ⵎⴻⵇⵇⴻⵔ	major
ⵜⵓⴳⴻⵜ	majority
ⴰⴳⴳ	make
ⵢⴻⵜⵜⴻⵣⵔⵉⵔⵉ	make up
ⴰⵔⴳⴰⵣ	male
ⴰⵎⵙⴻⵏⵣⵉ	mall
ⴰⵎⴷⴰⵏ	man
ⴰⵇⵙⴻⵎⵀⴻⵍ	manage
ⴰⵙⴻⵖⵜⵉ	management
ⴰⵏⴻⵎⵀⴰⵍ	manager
ⴰⵡⴰⵍⴻⵏ	mandatory
ⵙⴻⵏⴽⴻⴷ	manifest
ⵏⴰⵡⴻⵍ	manipulate
ⵜⵉⴽⵍⵉ	manner
ⵙ ⵓⴼⵓⵙ	manual
ⴰⵟⴰⵙ	many
ⴰⵟⴰⵙ ⵏ ⵡⵓⵙⵙⴰⵏ ⵏ ⵍⴼⴻⵔⵃ	many many happy returns of the day
ⵎⴰⵖⵔⴻⵙ	march
ⵔⵔⵉⴼ	margin
ⴰⵍⵣⵓⵣ	market
ⵣⵣⵡⴰǧ	marriage
ⵢⴻⵣⵡⴻⴵ	married
ⵜⴰⴳⴻⵍⵎⵓⵙⵜ	mask
ⵜⴰⵥⴰⵢⵜ	mass
ⴰⵎⴻⵇⵇⵔⴰⵏ	massive
ⴰⵙⴻⵍⵎⴰⴷ	master
ⵢⴻⵇⵇⴻⵏ	match
ⴰⵎⴻⴷⴷⴰⴽⴻⵍ	mate
ⴰⵍⵍⴰⵍ	material
ⵜⵓⵙⵏⴰⴽⵜ	math
ⵜⴰⵏⴳⴰ	matter
ⴰⵃⵙⴻⴱ	matter
ⴰⵙⵜⴻⵇⵙⵉ	matter
ⴰⵏⴻⵥⴰⵥ	maturity
ⵢⵣⵎⴻⵔ	may
ⴰⵀⴰⵜ	maybe
ⵏⴻⴽⵏⵉ	me
ⵓⵍⴰ ⴷ ⵏⴻⴽⴽ	me too
ⵜⵉⵔⴻⵎⵜ	meal
ⴰⵏⴰⵎⴻⴽ	mean
ⴰⵍⴻⵎⵎⴰⵙ	mean
ⴰⵏⴰⵎⴻⴽ	meaning
ⴷ ⵜⴰⵍⵍⴻⵍⵜ	means
ⵢⴻⵇⵙⴻⴷ	meant
ⵙⵢⵉⵏ	meanwhile
ⵇⵉⵙⵙ	measure
ⴰⵃⴻⵣⵣⴻⴱ	measures
ⴰⴽⵙⵓⵎ	meat
ⵜⴻⵙⵏⴰⵊⵢⴰ	medical
ⴷⴷⵡⴰ	medicine
ⴰⵃⴻⴱⴱⴻⵔ	meditation
ⴰⴻⴳⴻⵏ	medium
ⵎⵍⴰⵍ	meet
ⵜⵉⵎⵍⵉⵍⵉⵜ	meeting
ⵎⵉⵜⴻⵍⵓⵏ	Meiteilon
ⵉⴼⴻⵙⵙⵉ	melt
ⵛⴼⴰⵡⴰⵜ	memories
ⵜⴰⴽⴰⵜⵓⵜ	memory
ⴰⵏⴻⵍⵍⴰⵢ	mental
ⵢⴻⴱⴷⴻⵔ	mention
ⵢⴻⴱⴷⴻⵔⵯⴷ	mentioned
ⴰⵙⴻⵍⵎⴰⴷ	mentor
ⴰⵎⵣⴻⵏⵣⵉ	merchant
ⵕⵕⴻⵃⵎⴰ	mercy
ⴽⴰⵏ	merely
ⴰⵙⴻⴳⴳⴰⵙ ⴰⵎⴻⴳⴳⴰⵣ	merry christmas
ⴰⵅⵔⴰⴱ	mess
ⴰⵡⴰⵍ	message
ⵢⴻⵜⵛⵛⵡⵉⵍ	messy
ⴰⵎⵖⵓⵣ	metal
ⵜⵉⴽⵍⵉ	method
ⵉⵖⴻⵔⴷⴰⵢⴻⵏ	mice
ⴰⵍⴻⵎⵎⴰⵙ	middle
ⵏⵙⴰⴼ ⵢⵉⴹ	midnight
ⴰⵀⴰⵜ	might
ⴰⵍⴻⵙⵙⴰⵙ	mild
ⵜⴰⵖⵙⴻⵔⵜ	milestone
ⴰⵙⴻⵔⴷⴰⵙⵉ	military
ⴰⵢⴻⴼⴽⵉ	milk
ⴰⵎⴻⵍⵢⵓⵏ	million
ⵅⴻⵎⵎⴻⵎ	mind
ⵜⴰⵏⴻⵍⴰⵢⵜ	mindset
ⴰⵎⵖⵉⵣ	mine
ⴰⵢⵍⴰⵯⵡ	mine
ⵔⵡⵉ	mingle
ⴰⵎⴻⵛⵜⵓⵃ	minor
ⴷⵇⵉⵇⴰ	minute
ⴷⵇⴰⵢⴻⵇ	minutes
ⵍⴱⴻⵕⵀⴰⵏ	miracle
ⵍⴻⵎⵔⵉ	mirror
ⴰⵎⴳⴰⵔⴰⴷ	miscellaneous
ⴰⵎⴻⵏⵛⵓⴼ	mischievous
ⴰⵇⵍⴰⵇⴰⵍ	miserable
ⵍⵃⵉⴼ	misery
ⵜⵜⵓ	miss
ⵛⴻⴷⵀⴰⵖⵯⴽⴻⵎ	miss you
ⵉⵅⵓⵚⵚ	missing
ⵜⵓⵖⴷⴰⴹⵜ	mission
ⴰⴳⵓ	mist
ⵜⵓⵛⵛⴹⴰ	mistake
ⵎⵉⵣⵓ	Mizo
ⴰⵙⴰⵡⴰⵍ	mobile
ⴰⵇⴻⵊⵊⴻⵎ	mock
ⴰⵎⵓⴷⴻⵎ	model
ⵙⵍⵓⴽⴽⴻⵣ	moderate
ⴰⵎⵏⴰⵣⴰⵍ	moderate
ⴰⵎⴰⵢⵏⵓⵜ	modern
ⵉⵎⵙⴻⵜⵃⵉ	modest
ⴰⵎⵛⵓⵎ	moist
ⴰⵙⴻⴱⵣⴻⴳ	moisture
ⵢⴻⵊⵊⵓⵏⵊⴻⵕ	mold
ⵜⴰⴼⵓⵢⵜ	mole
ⵢⴻⵎⵎⴰ	mom
ⵜⴰⵙⵡⵉεⵜ	moment
arim	monday
ⵉⴷⵔⵉⵎⴻⵏ	money
ⴰⵙⵎⴻⵍ	monitor
ⵉⴱⴽⵉ	monkey
ⴰⴳⴳⵓⵔ	month
ⵜⴻⴱⵉⵄⴰ	mood
ⴰⵎⴻⵏⵛⵓⴼ	moody
ⴰⴳⵓⵔ	moon
ⵜⴰⵖⴰⵔⴰ	moral
ⵓⴳⴰⵔ	more
ⵢⴻⵔⵏⴰ	moreover
ⵜⴰⵚⴻⴱⵃⵉⵜ	morning
ⵕⴻⵀⵏ	mortgage
ⵓⴳⴰⵔ	most
ⵙ ⵓⵎⴰⵜⴰ	mostly
ⵜⴰⵢⴻⵎⴰⵜ	mother
ⴰⵀⵓⵣⵣⵓ	motion
ⵍⵃⵉⵔ	motivation
ⴰⴷⵔⴰⵔ	mountain
ⴰⵖⴻⵔⴷⴰⵢ	mouse
ⵉⵍⵉ	mouth
ⴷⴷⵓ	move
ⴰⵎⵓⵙⵙⵓ	movement
ⴰⵙⴰⵔⵓ	movie
ⵎⴰⵙⵙⴰ	mrs
ⴰⵟⴰⵙ	much
ⴰⵍⵓⴹ	mud
ⵜⵉⵙⴽⵉ	mug
ⴰⵥⴻⴽⴽⴰ	muscle
ⴰⵙⴰⵍⴰⵢ	museum
ⴰⴳⴻⵔⵙⴰⵍ	mushroom
ⴰⵥⴰⵡⴰⵏ	music
ⵢⵍⴰⵇ ⴰⴷ	must
ⴷ ⴰⵙⵓⵙⵎⴰⵏ	mute
ⴰⵎⴳⴰⵔⴰⴷ	mutual
ⵯⵉⵡ	my
ⴰⵢ ⴰⵃⴱⵉⴱⵯⵉⵡ	My dear
ⴰⵎⴷⴰⴽⴻⵍⵯⵉⵡ	my friend
ⴰⴹⵓⵯⵉⵏⵓ ⵢⴻⵛⵛⵓⵔ ⴷ ⵉⵣⴻⵔⴼⴰⵏ	My hovercraft is full of eels
ⵜⴰⵢⵔⵉⵯⵡ	my love
ⵉⵙⴻⵎⵯⵉⵡ	my name is
ⴷ ⵍⴼⴻⵔⵃⵯⵉⵡ	my pleasure
ⵉⵎⴰⵏⵯⵉⵡ	myself
ⴰⴷⵔⵓⴳ	mysterious
ⵜⵉⵎⴻⵙⵀⵙⴻⵍⵜ	mystery
ⵜⴰⵎⴰⵛⴰⵀⵓⵜ	myth
ⴰⵛⵛⴰⵔⴻⵏ	nail
ⴰⴱⵓⵀⴰⵍ	naive
ⵉⵙⴻⵎ	name
ⴰⵃⴽⴰⵢ	narrative
ⴷⴻⵢⵉⵇ	narrow
ⴰⵎⵛⵓⵎ	nasty
ⴰⵖⴻⵍⵏⴰⵡ	national
ⵜⴰⴳⴷⵓⴷⴰ	nationality
ⴰⵏⴻⵙⵍⵉ	native
ⵏ ⵓⵎⴰⵜⴰ	natural
ⴰⴳⴰⵎⴰ	nature
ⵢⴻⵜⵜⴻⵎⵄⵓⵊⵊⵓⵜ	nausea
ⵇⵔⵉⴱ	near
ⴷⴻⴳ ⵜⴰⵎⴰ	nearby
ⵇⵔⵉⴱ	nearly
ⵣⴻⴷⵉⴳ	neat
ⵢⴻⵙⵙⴻⴼⴽ	necessary
ⴰⵎⴳⵔⴻⴷ	neck
ⵜⴻⵣⵔⴰⵔⵜ	necklace
ⵙⵉⵙⴻⵔ	need
ⵏ ⴷⵉⵔⵉ	negative
ⵙⵜⴻⵀⵣⵉ	neglect
ⴰⵎⵛⴰⵡⴰⵕ	negotiate
ⴰⵏⴰⵔⴰⴳ	neighbor
ⴰⴳⵎⴰⵎ	neighborhood
ⵓⵍⴰ ⴷ ⵢⵉⵡⴻⵏ	neither
ⵎⵉⵙ ⵏ ⴳⴻⵎⴰ	nephew
ⵍⵡⴻⵙⵡⴰⵙ	nerd
ⵢⴻⴼⵇⴻⵄ	nervous
ⴰⴳⵏⵉⵏ	nest
ⵉⵏⵜⴻⵔⵏⴻⵜ	net
ⵉⵙⵉⵔⴻⴳ ⴰⵙⴻⴽⴷⴰⵏ	network
ⴰⵔⴰⵡⵙⴰⵏ	neutral
ⵓⵔⵊⵓⵏ	never
ⵡⴻⵔǧⵉⵏ ⴰⴷ ⵜⴰⵢⵙⴻⴹ	never give up
ⵓⵔ ⵜⵜⵯⵜⴻⵡⵇⵉⵄ ⴰⵔⴰ	never mind
ⵓⵔ ⵜⵜⵯⵜⴻⵡⵇⵉε ⴰⵔⴰ	nevermind
ⵖⴰⵙ ⴰⴽⴽⴻⵏ	nevertheless
ⴰⵎⴰⵢⵏⵓⵜ	new
ⵉⵎⴰⵢⵏⵓⵜⴻⵏ	news
ⵡⵉⵏ ⵉ ⴷⵯⵉⵜⴻⴷⵓⵏ	next
ⵜⴰⵎⴰ ⵏ	next to
ⵢⴻⵍⵀⴰ	nice
ⴼⴻⵔⵃⴻⵖ ⵉⵎⵉ ⴷ ⵏⴻⵎⵍⴰⵍ	nice to meet you
ⵉⵍⵍⵉⵙ ⵏ ⴳⵎⴰ	niece
ⵉⴷ	night
ⵢⵉⵔ ⵜⴰⵔⴳⵉⵜ	nightmare
ⵜⵥⴰⵜ	nine
ⵎⵔⴰⵡ ⴷ ⵜⵥⴰ	nineteen
ⵜⵥⴰ ⵏ ⵜⵎⴻⵔⵡⵉⵏ	ninety
ⴰⵍⴰ	No
ⵓⵍⴰⵛ ⵓⴳⵓⵔ	no problem
ⵓⵍⴰⵛ ⵡⴰⵎⴻⴽ	no way
ⵓⵍⴰ ⵢⵉⵡⴻⵏ	nobody
ⵍⵃⴻⵙⵙ	noise
ⵢⴻⵙⵖⵉⵔⵔⵓ	noisy
ⵓⵍⴰⵛ	none
ⵜⴰⵎⴻⴷⴷⵉⵜ	noon
ⴰⵍⴰ	nope
ⵓⵍⴰ	nor
ⴷ ⴰⵢⴻⵏ ⵉⵍⵀⴰⵏ	normal
ⴰⴳⴰⴼⴰ	north
ⵉⵏⵣⴻⵔ	nose
ⵜⴰⵎⴷⴰⵏⵉⵜ	nostalgic
ⵅⴰⵜⵉ	not
ⵅⴰⵟⵉ.	not at all
ⵓⵔ ⴷⵉⵔⵉⵯⵜ ⴰⵔⴰ	not bad
ⵎⴰⵛⵉ ⵜⵓⵔⴰ	Not now
ⵎⴰⵣⴰⵍ	not yet
ⵜⵉⵏⵇⵉⴹⵉⵏ	note
ⵢⵓⵔⴰ	noted
ⵓⵍⴰⵛ	nothing
ⴰⵙⴻⴱⵜⴻⵔ	notice
ⵉⴳⴻⵔ ⵜⴰⵎⴰⵡⵜ	noticed
ⵉⵙⴻⵎ	noun
ⵏⴻⴽⵡⴰⵜ	nouns
ⵓⵏⴳⴰⵍ	novel
ⵡⴰⵎⴱⴻⵔ	november
ⵜⵓⵔⴰ	now
ⴰⵙⵙⵯⴰ	nowadays
ⵛⵛⵎⴰⵜⴰ	nuisance
ⵓⵍⴰⵛ	null
ⵢⴻⴷⴷⵓⴱⴱⴻⵣ	numb
ⵓⵟⵟⵓⵏ	number
ⵜⴰⴼⴻⵔⵎⵍⵉⵜ	nurse
ⵜⴰⵇⵓⵇⴻⵜ	nut
ⵜⴰⵎⴻⵙⴽⵓⵢⵜ	nutmeg
ⵓⵞⵞⵉ	nutrition
ⵜⴰⴳⴳⴰⵍⵉⵜ	oath
ⴰⴱⴻⵏⵜⴻⵔ	obesity
ⴰⴷ ⵢⴰⵖ ⴰⵡⴰⵍ	obey
ⵜⴰⵖⴰⵡⵙⴰ	object
ⵉⵙⵡⵉ	objective
ⵜⵜⵡⴰⵃⴻⵜⵜⴻⵎ	obligation
ⵉⵙⵓⵍⵍⴻⵙ	obscure
ⴰⵏⵙⴼⵇⴻⴷ	observation
ⵢⴻⵜⵜⵡⴰⵍⵉ	observe
ⵢⴻⵟⵟⴻⴼⵯⵉⵜⵜ	obsessed
ⵢⴻⵙⵍⴻⴱ	obsession
ⵢⴻⵇⴷⵉⵎ	obsolete
ⵓⴳⵓⵔ	obstacle
ⵢⴻⵡⵡⵉ	obtain
ⵢⴻⵡⵡⵉⵯⴷ	obtained
ⵉⴱⴰⵏ	obvious
ⵉⴱⴰⵏ	obviously
ⵜⵉⴽⵡⴰⵍ	occasionally
ⴰⵍⴻⵜⵀⵉ	occupation
ⵢⴻⵟⵟⴻⴼ	occupied
ⴷⵯⵢⴻⴹⵔⴰⵏ	occur
ⵢⴻⴹⵔⴰⵏ	occurred
ⵢⴻⴹⵔⴰ	occurs
ⵓⴳⴰⵔⴰⵡ	ocean
ⵜⵓⴱⴻⵔ	october
ⴰⵎⵓⵔ	odd
ⵉⵎⴻⵍⵍⵉⵍⴻⵏ	odds
ⵏ	of
ⵉⴱⴰⵏ	of course
ⵢⴻⴼⴼⴻⵖ	off
ⵉⵊⴻⵔⵔⴻⵃ	offensive
ⴻⴼⴽ	offer
ⵜⴻⵙⵔⴻⵇⵇⴻⵙⵜ	office
ⵜⵓⵏⵚⵉⴱⵜ	official
ⵙ ⵡⴰⵟⴰⵙ	often
ⴰⵀ	Oh
ⵢⴰⵀ ⴷ ⵜⵉⴷⴷⴻⵜ	oh really
ⵣⵣⵉⵜ	oil
ⵢⴻⵔⴱⴰⵃ	ok
ⵢⴻⵔⴱⴰⵃ ⴰ ⵜⴰεⵣⵉⵣⵜ	ok dear
ⵢⴻⵔⴱⵃ ⴰ ⵢⴰⵃⴱⵉⴱ	ok honey
ⵉⵀ ⴰ ⵜⴰⵢⵔⵉⵯⵡ	ok my love
ⴰⵏⵄⴰⵎ	okay
ⵢⴻⵔⴱⴰⵃ ⴰ ⵍⴰεⵣⵉⵣⴻⵔ	okay baby
ⵉⵀⵉ ⴰⵢ ⴰⵃⴱⵓⴱ	okay dear
ⵊⴻⵔⴱⴻⵃ ⴰⵢ ⴰⵃⴱⵉⴱ	okay honey
ⵉⵀ ⴰ ⵜⴰⵢⵔⵉⵯⵡ	okay my love
ⴰⵇⴷⵉⵎ	old
ⵖⴻⴼ	on
ⵢⵉⵡⴻⵏ	once
ⵢⵉⵡⴻⵏ	one
ⵢⵉⵡⴻⵜ ⵏ ⵜⵓⵜⵍⴰⵢⴻⵜ ⵓⵜⴻⴽⴼⵉ ⴰⵔⴰ	one language is never enough
ⴰⵥⴰⵍⵉⵎ	onion
oⵏⵍⴰⵢⵏ	online
ⵙⵉⵡⴰ	only
ⵢⴻⵍⴷⵉ	open
ⵜⴰⵎⵀⴻⵍⵜ	operation
ⵜⴰⵎⵓⵖⵍⵉ	opinion
ⵜⵉⴳⵏⴰⵜⵉⵏ	opportunities
ⵜⴰⴳⵏⵉⵜ	opportunity
ⵎⴳⴰⵍ	opposite
ⴷ ⵡⵉⵏ ⵢⴻⵙⵄⴰⵏ ⴰⵙⵉⵔⴻⵎ	optimistic
ⴰⴼⵔⴰⵏ	option
ⵓⵎⴰⴹⴳⵉⵔ	optional
ⵏⴻⵖ	or
ⴰⵛⵉⵏⵉ	orange
ⵙⵓⵜⴻⵔ	order
ⴰⵎⴰⴳⵔⵓ	ordinary
ⵜⵓⴷⴷⵙⴰ	organization
ⴰⵙⴽⴰⵏ	orientation
ⴰⵏⴻⵚⵍⵉ	origin
ⵜⴰⵏⴻⵚⵍⵉⵜ	original
ⵓⵔⵎⵓ	Oromo
ⴰⴳⵓⵊⵉⵍ	orphan
ⵡⵉⵢⴰⴹ	other
ⵎⴰ ⵓⵍⴰⵛ	otherwise
ⵢⴻⵙⵙⴻⴼⴽ	ought
ⴰⵢⵍⴰⵯⵏⵏⴻⵖ	our
ⵜⴰⵙⵡⵉεⵜⵯⵏⵏⴻⵖ: ⴰⴷ ⴷⵯⵏⴻⵔⵔ ⴰⴽⴽ ⵎⴻⴷⴷⴻⵏ, ⴷⵉ ⵢⴰⵍ ⴰⵎⴽⴰⵏ ⴰⴷ ⴼⴻⵀⵎⴻⵏ ⴰⵎⴰⴹⴰⵍ ⵓ ⴰⴷ ⴷⵯⵙⴱⴻⴳⴳⵏⴻⵏ ⵉⵎⴰⵏⵯⵏⵙⴻⵏ ⴷⴻⴳ ⵜⵓⵜⵍⴰⵢⵉⵏ.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
ⵜⴰⵙⵡⵉεⵜⵯⵏⵏⴻⵖ: ⴰⴷ ⵏⵀⴻⴳⴳⵉ ⵉⵙⴰⵍⵍⴻⵏ ⵏ ⵓⵎⴰⴹⴰⵍ ⵓ ⴰⴷ ⵜⴻⵏⵯⵏⴻⵔⵔ ⴷ ⵡⵉⴷ ⵢⴻⵜⵜⵡⴰⴼⴻⵏ ⴰⴽⴽ ⴷⴻⴳ ⵓⵎⴰⴹⴰⵍ.	Our mission: to organize the world's information and make it universally accessible and useful.
ⴱⴻⵔⴰ	out
ⴰⴳⴻⵎⵎⵓⴹ	outcome
ⵓⵙⴻⵍⵙⵓ	outfit
ⴰⵢ ⴷⵯⵢⴻⴼⴼⵖⴻⵏ	outgoing
ⵜⴰⵎⴻⵣⵜ	outlet
ⵜⵓⵣⵣⴻⵢⴰ	outline
ⴱⴻⵕⵕⴰ	outside
ⵉⴳⴻⵔⵔⴻⵣ	outstanding
ⵓⴼⴰⵔⵏⵓ.	oven
ⴰⴼⵯⵉⵜ	over
ⴷⵉⵏⵏⴰ	over there
ⵙ ⵓⵎⴰⵜⴰ	overall
ⵢⴻⵖⵍⴻⴱ	overcome
ⵢⴻⵜⵅⴻⵎⵎⵉⵎ ⴰⵟⴰⵙ	overthinking
ⵢⴻⵞⵞⵓⵕ	overwhelmed
ⵏⵖⴻⴷ	overwhelming
ⵜⵜⴰⵍⴰⵙⴻⵖ	owe
ⴱⵓⵔⵓⵔⵓ	owl
ⵙⵄⵓ	own
ⵙⵄⵉ	own
ⴱⴰⴱⵯⵉⵙ	owner
ⴰⵣⴳⴻⵔ	ox
ⵜⵉⴽⵍⵉ	pace
ⴰⵒⴰⴽⵉ	pack
ⵓⴽⴻⵔⵔⵓⴷ	package
ⵢⴻⵜⵜⵡⴰⵅⴻⵍⵍⵚⴻⵏ	paid
ⵍⴻⵇⵔⵉⵃ	pain
ⵢⴻⵙⴱⴻⵖ	paint
ⵜⵙⴻⴱⵖⴻⴹ	painting
ⵜⴰⵢⵓⴳⴰ	pair
ⵉⵛⴻⵃⴻⴱ	pale
ⵜⴻⵥⵥⴰ	palm
ⵜⴰⵃⴱⵓⵍⵜ	pan
