тӀэкӀу	a little
щӀагъ	underneath
пщӀэ хуэфащэ хуэмыщӀын	underrated
къыбгурыӀуэн	understand
къызгурыӀуащ	understood
жагъуэ зэрыхъунщи	unfortunately
зэрылажьэ щыгъын	uniform
зым хуэмыдэ	unique
зы	unit
еджапӀэ нэхъыщхьэ	university
мыцӀыху	unknown
армырамэ	unless
япэ	until
зыми емыщхь	unusual
и щхьэ	up
уэращ унафэ зыщӀыр	up to you
гъэщӀэрэщӀэн	update
щӀэращӀэ	update
егъэфӀэкӀуэн	upgrade
нэщхъей	upset
къалэдэс	urban
къыхуеджэн	urge
гухэлъ	urge
щӀэх	urgent
дэ	us
къэгъэсэбэпыныгъэ	use
къэгъэсэбэпын	use
къигъэсэбэпащ	used
сэбэп	useful
мыхьэнэншэ	useless
къызэрыгуэкӀ	usual
куэдрэ	usually
сэбэп хъуныгъэ	utility
зыгъэпсэхугъуэ	vacation
вакцинацэ	vaccination
вакцинэ	vaccine
вакуум	vacuum
хэлъагъукӀыгъуей	vague
пэж дыдэу щыӀэ	valid
псыхъуэ	valley
лъапӀэ	valuable
лъапӀэныгъэ	value
гъэлъэпӀэн	value
зэмылӀэужьыгъуэ	variety
зэмылӀэужьыгъуэ	various
зэщхьэщыкӏын	vary
вазэ	vase
бгъуэ	vast
хадэхэкӀ	vegetable
хадэхэкӀ	vegetables
зэрызекӀуэ	vehicle
сатуущӀэ	vendor
тыкуэнтет	vendor
щхъухь	venom
предприятэ	venture
ӀуэхущӀапӀэ	venture
ӀуэхущӀапӀэ	venue
лъэщапӀэ	venue
къэпщытэн	verify
куэд зылэжь	versatile
лӀэужьыгъуэ	version
занщӀэу дэкӀуей	vertical
икъукӀэ	very
сыту фӀыт	very good
щыкъу	vessel
зэрыхузэфӀэкӀ	via
атмосферэ	vibe
нэрымылъагъу къару	vibes
бзаджэ	vicious
щхьэузыхь	victim
видео	video
теплъэ	view
къуажэ	village
лейзехьэ	villain
бзаджащӀэ	villain
серчэ	vinegar
винтажнэ	vintage
залымыгъэ	violence
лъэщыгъэкӀэ къызэфӀэгъэкӀа хъу	violent
вируснэ	viral
зыри зэмыӀуса	virgin
къыпщыхъу	virtual
фӀагъ	virtue
лъагъуныгъэ	vision
къекӀуэлӀэн	visit
кӀуэн	visit
плъагъу	visual
гъащӀэм щиӀэ мыхьэнэ	vital
лыд	vivid
псалъалъэ	vocabulary
макъ	voice
нэщӀ	void
мардэ	volume
пщалъэ	volume
объем	volume
езым и фӀэфӀыныгъэкӀэ Ӏуэху гуэр зыщӀэ	volunteer
къыхэчын	vomit
къэжьыныгъэ	vomit
тӀасхъапӀэ	vulnerable
лэжьапщӀэ	wage
улахуэ	wages
бгы	waist
ежьэн	wait
щхьэгъэрыт	waiter
пэплъэ	waiting
ежьэ	waiting
къэгъэушын	wake
къэушын	wake up
къэкӀухьын	walk
дэрэжэгъуэ	walk
къэкӀухьыныгъэ	walking
блын	wall
ахъшалъэ	wallet
гъуэщэн	wander
ухуей	wanna
хуеин	want
хуейт	wanted
зауэ	war
шкӀаф	wardrobe
гъэтӀылъыпӀэ	warehouse
хуабэ	warm
гъэхуэбэн	warm
хъыбар егъэщӀэн	warn
хъыбар егъэщӀэныгъэ	warning
зауэлӀ	warrior
щыӀащ	was
тхьэщӀын	wash
къыдэхуахэр	waste
хьэулей щӀын	waste
кӀэлъыпъын	watch
псы	water
хъарбыз	watermelon
толъкъун	wave
гъуэгу	way
дэ	we
дэ дыщытщ	we are
дэ тхуэщӀэнущ	we can
къарууншэ	weak
къарууншагъэ	weakness
къулеягъ	wealth
къулей	wealthy
щыгъэгъын	wear
хуэпа	wearing
щӀыуэпс	weather
хьэгъуэлӀыгъуэ	wedding
Бэрэжьей	Wednesday
удзыжь	weed
тхьэмахуэ	week
щыдэс	weekend
зыгъэпсэхугъуэ	weekend
хьэлъагъ	weight
тегъэхьэлъэн	weight
гъэщӀэгъуэн	weird
телъыджэ	weird
къеблагъэ	welcome
псэукӀэ зэпэщ	welfare
Хъарзынэ	Well
Тэмэм	Well
лэжьыгъэ фӀы дыдэ	well done
кӀуащ	went
щыӀахэщ	were
къухьэпӀэ	west
псыӀэ	wet
джей	whale
сыт	what
уэ-щэ	what about you
сыт уэ пщӀэр	what are you doing
сыт уэ иджыпсту пщӀэр	what are you doing now
сыт уэ иджыпсту дыдэ пщӀэр	what are you doing right now
сыт блэжьыр	what do you do
сыт уэ ахъшэ къызэрыблэжьыр упсэун щхьа	what do you do for a living
сыт жыпӀэм къибгъэкӀыр	what do you mean
сыт уэ узыхуейр	what do you want
сыт къэхъуар	what happened
сыту щыт	what is
сыт мыр	what is this
сыт уи лэжьыгъжм и мыхьэнэр	what is your job
хэт уи цӀэр	what is your name
дауэ ущыт	what's up
хэт уэ уицӀэр	what's your name
дапхуэдэри	whatever
дэтхэнэри	whatever
гуэдз	wheat
шэрхъ	wheel
дапщэщ	when
дапщэщ	whenever
даӀэ	where
дэнэ ущыӀэ	where are you
дэнэ ущыщ	where are you from
дэнэ ущыӀэ иджыпсту	where are you now
дэнэ ущыпсэур	where do you live
дэнэ щыӀэ	where is
абы щыгъуэ сыт	whereas
пӀэрэ	whether
дэтхэнэр	which
узыншэу	while
апщӀэндэху	while
Ӏущащэ	whisper
фиин	whistle
хужь	white
хэт	who
ухэт уэ	who are you
хэт щыт	who is
хэт мыр	who is this
псо	whole
хэт	whom
хэт ей	whose
сыт щхьэ	why
сыт щӀэхьэуэр	why not
Ӏей	wicked
ябгэ	wicked
бгъуэ	wide
фызабэ	widow
бгъуагъ	width
щхьэгъусэ	wife
емылыдж	wild
Ӏэл	wild
щыӀэнущ	will
хуитыныгъэ	will
хуей	willing
текӀуэн	win
жьы	wind
щхьэгъубжэ	window
жьыкъепщэ	windy
шагъыр	wine
щӀымахуэ	winter
лъэщӀын	wipe
гъущӀ кӀапсэ	wire
Ӏущагъ	wisdom
Ӏущ	wise
зыгуэрым хуеин	wish
хуеиныгъэ	wish
нэхъыфӀ дыдэкӀэ сыпхохъуахъуэ	wish you all the best
уд	witch
и гъусэу	with
къеджэжын	withdraw
кӏэух псальэ	withdrawal
и кӀуэцӀым	within
кӀэлъыплъын	witness
щыхьэт	witness
акъыл жан	witty
дыгъужь	wolf
цӀыхубз	woman
фыз	woman
бзылъхугъэ	women
текӀуащ	won
щыӀэнукъым	won't
телъыджэлажьэ	wonder
телъыджэ	wonderful
жыг	wood
цы	wool
псалъэ	word
псалъэхэр	words
лэжьэн	work
лэжьыгъэ	work
зыгъэсэн	work out
лажьэ	working
дуней	world
мамыр	world
хьэмбылу	worm
куэдрэ ящыгъа	worn
пӀейтӀея	worried
гузэвэн	worry
нэхъ Ӏей	worse
щхьэщэ щӀын	worship
Ӏей дыдэ	worst
уасэ	worth
абы и уасэ	worth it
зыхуэфащэ	worthy
уӀэгъэ	wound
Уа	Wow
зэгъэдзэкӀын	wrap
губжь	wrath
Ӏэпщэ	wrist
тхэн	write
Мыбдеж къитхэ	Write here
пощт	writing
ятха	written
пцӀы	wrong
итхащ	wrote
пщӀантӀэ	yard
хущхьэ	yawn
хущхьэн	yawn
НтӀэ	Yeah
илъэс	year
илъэсхэр	years
щӀакхъуэгъэтэдж	yeast
кӀиин	yell
гъуэжь	yellow
НтӀэ	Yes
нтӀэ, псэм хуэдэ	yes baby
нтӀэ, лъапӀэ	yes dear
нтӀэ, лъапӀэ	yes honey
нтӀэ, си лъагъуныгъэ	yes my love
нтӀэ, дауикӀ	yes of course
дыгъуасэ	yesterday
иджыри	yet
етын	yield
уэ	you
уэ ущытщ	you are
уэ удахэщ	you are beautiful
уэ сыту удахэ	you are so beautiful
кхъыӀэ	you are welcome
уэ пхуэщӀэнущ	you can
Уэ бощӀэ	You know
уэри	you too
кхъыӀэ	you're welcome
щӀалэ	young
ууей	your
кхъыӀэ	your welcome
сэ	yourself
щӀалэгъуэ	youth
кхъыӀэ	you’re welcome
ӀэфӀ	yummy
нол	zero
зыри	zero
