a	Langai
squirrel	kadu hka
stab	n hkyi hte galun ai
stable	ngang kang ai
stable	gumra lawng
stack	yihku bum sumpum
staff	bungli galaw masha
stage	pin ra
stage	nau ra
stage	pan ra
stain	tsi chya ai
stairs	lakang ninggam ni
stake	dumlawng ai
stake	dumlawng gumhpraw
stall	seng gat sum
stamp	hkin dit ai
stamp	laika dazik
stamp	dazik
stand	tsap ai
standard	tsang
standard	madang
star	shagan
start	hpang ai
started	hpang dat sai
starving	lu sha shakyet ai
starving	shakyet ai
starving	hku
state	mungdaw
statement	ndau shabra laika
station	wanleng daru
station	dabang
statue	hkrang sumla
statue	gawng ngu sumla
status	madang
stay	nga ai
stay safe	shinglum hkra nga u
steady	ding ngam re ai
steady	dingyang re ai
steak	shan kangau
steal	lagu ai
steam	kabaw ai
steam	salu
steel	hpri gang
steep	n hkap ai
steep	tsing tawn ai
steep	kadawng ai
stem	hpun mat
step	shing kawt ai
step	lagaw lahkam
step	lakang n gam
stick	kap ai
stick	shakap ai
stick	shingna
stiff	yak ai
stiff	ting ting hkang hkang re ai
still	zim ai
still	zim zam re ai
sting	balen na ai
stingy	byet chyi ai
stingy	ma ji ai
stir	shalut ai
stir	shalawn ai
stir	shalau ai
stock	arai
stock	lu sha kyem da ai lam
stolen	lagu la da ai
stomach	shat kan
stomach	kan
stone	n lung tawng
stood	tsap ai
stool	lahkum
stool	hkyi
stool	maza
stop	hkring ai
stop	sa ai
storage	gunrai tawn da shara
store	kyem da ai
store	zing da ai
storm	nbung laru
story	maumwi
story	nta htap
stove	nra wan dap
straight	ading sha
straight	dingding
straight	dingyang
straightforward	asan sha
strain	jen
strange	lak lai ai
stranger	tsa sam
strategy	zai ladat
straw	yi hku
streak	ka ka re ai
stream	hka shi
street	lam
street	hkrun
strength	atsam
strength	lapyin
stress	myit ba ai
stress	myit pu ai
stretch	lata ladawn ai
strict	laja lana
strike	abrep
strike	dup
strike	yaw
string	sumri
string	tsam
strip	hpyi gaw kau ai
strive	da ting shakut ai
strive	shakut shaja ai
stroke	masawp ai
strong	akam asham
strong	ngang ngang
strong	ngang kang
struck	adit kau da ai
struck	kahpret kau da ai
struck	abyen kau da ai
structure	hkrang
struggle	shakut shaja ai
struggling	shakut shaja sha taw ai lam
stubborn	masin ja ai
stubborn	baw ja ai
stuck	adawng taw ai
student	jawng ma
study	hka ja ai
studying	hka ja taw ai
stuff	arung arai
stunning	hkring taw ai
stupid	anya ai
stupid	angawk ai
style	lai masa
style	lai kasi
style	sateng
subject	ginlam
submission	madat mara ai lam
submit	tang madun ai
submit	asum jaw ai
submit	mara ai
substance	ra hkyak dik ai daw
substance	atawng apa
substitute	malai
substitute	malai bang ai rai
subtle	nya ai
subtle	kya ai
succeed	awng dang ai
succeed	hkaw hkam aya hkap la ai
succeed	hkring htawng daraw la ai
success	awng dang ai
successful	awng dang ai
such	ndai zawn re
such as	zawn re
suck	chyup ai
suck	hkam la ai
sudden	ma ja
sudden	a kajawng sha
sudden	kalang ta
suddenly	a kajawng sha
suddenly	kajawng kaja
suffer	hkam mana ai
suffer	hkam sha ai
suffering	hkrum sha nga ai
suffering	jamjau jamhkau chyum sha ai lam
sufficient	wanwang
sufficient	grung ai
sugar	jum dwi
suggest	hpaji jaw ai
suggestion	hpaji jaw ga
suggestion	hpaji jaw lam
suit	hking
suit	htap htuk ai
suit	htuk manu ai
suitable	htap htuk ai
suitable	htuk manu ai
suitcase	bu hkawm rai sadek
sum	yawng pawng
sum	pawng ai
summary	gadun dawk
summary	ginchyum
summer	ginhtawng ta
summit	mahtaw n chyun
summit	bum pungding
sun	jan
sunday	majoi shani
sunday	laban shani
sunny	jan ja ai
sunset	jan shang ten
sunshine	jan shingkan
super	grau ai
super	grau htum ai
superior	grau ai
superior	grau ai masha ntsa na masha kaba
supervisor	reng hkang ai wa
supervisor	up hkang yu ang ai wa
supper	n yup shi yang sha ai shana shat
supply	karum jaw ai
supply	karum ningtum
support	karum ai
support	karum ning tum
suppose	myit nawn ai
supposed	zawn nawn ai
supposed	myit nawn ai
sure	teng ai
surface	ndun
surge	hka leng
surge	taleng ai
surgery	kadoi ga tsi mawan lam
surgery	kadoi ga tsi hpa ji
surname	htinggaw mying
surprise	shamau kau ai
surprise	mau ai
surprise	a kajawng sha byin ai
surprised	shamau kau ai
surprised	mau shangun ai
surprised	a kajawng sha byin ai
surrender	asum hkam ai
surrender	ninghtoi shang ai
surrender	laknak jahkrat ai
surrounding	makau grup yin
surrounding	gurp grup wang da ai
surveillance	u lam lam tawn ai lam
surveillance	tsan tsan kaw n na yu tawn ai lam
survey	sawk sagawn ai lam
survive	tawt lai lu ai
suspect	ntsen ai
suspended	jahkring da ai
suspicious	rai na shadu ai
suspicious	ntsen ai
sustain	bau tawn ai
sustain	madi shadaw ya ai
sustain	hkrum sha ai
sustainability	hkrung grin hkra galaw ai lam
sustainable	hkrung gin ai
swag	lagu la ai rai
swallow	hka rai
swap	gunrai shada galai ai
swear	dagam ai
swear	dang ai
swear	dagam ga sadi la ai
sweat	salat
sweat	salat pru ai
sweater	salat hkam palawng
sweep	ding ye ye ai
sweep	ding ye
sweet	dwi ai
sweet dreams	Yup mang tsawm mu u ga
sweetheart	sumtsaw
swell	bum ai
swelling	ladau taw ai
swelling	bum taw ai
swim	hka hpung yawt ai
swimming	hka hpung yawt taw ai
swing	kawat
swing	n goi
swing	goiwat
switch	galai ai
swollen	bum wa ai
swollen	ladau wa ai
sword	lau nhtu
symbol	masat
symbol	kum la
symbol	masat dingsat
sympathy	matsan dum ai lam
symptoms	kumla
system	lai len
system	masa
system	htu jat
table	sha ku
tackle	ahkrak la ai
tackle	lit la ai
tag	masat
tail	n mai
tail	mai
take	la ai
take away	la mat ai
take away	la sa mat ai
take care	shapan
take care	gawn
take off	pyen lung mat ai
take off	tsan kau ai
take off	hprawng ai
taken	shaw kau sai
taken	shaga mat ai
taken	la kau sai
talk	tsun shaga ai
talkative	grai jawp jin ai
talkative	n gup nlem ai
tall	galu ai
tap	kahtawk ai
tape	ahpa re ai sumri
tape	sumri chyahpa
target	yaw shada ai
target	ban dung
task	magam
task	lit
taste	namta
taste	chyim yu ai
taste	namchyim
tasty	namchyim rawng ai
taught	sharin ya ai
taught	kang ai
taught	matsun madun ai
tea	hpa lap
teach	sharin achyin ya ai
teacher	Saranum
teacher	Sara
team	hpung kaji
team	hpung
tear	shep
tear	myi pri si
tear	je ai
tears	myi pri si
tease	hkawt chyai ai
tease	shatsang chyai ai
technology	jak hpaji
teeth	wa
tell	tsun ai
tell me	ngai hpe tsun dan rit
temper	myit masin
temper	hpri shaja ai
temperature	kahtet shadang
temple	nawku nta
temple	nawku jawng
temporary	jahkring jahkra
ten	shi masum
ten thousand	mun mi
tenant	shap galaw ai wa
tenant	shap nga ai wa
tend	uphkang ai
tend	rem ai
tendency	byin wa mai ai masa
tender	wawp
tender	kya ai
tense	ding kren ai
tense	aten ladaw
tension	shingjawng ai lam
tension	myit bu ba ai lam
tent	janghpang nbung jawng ginsum
tentative	chyam yu mai ai
tentative	chyam yu ai
term	gasi ga ngau
term	aten ladaw
terms	ga masat
terms	aten ladaw
terms	ga hkin dat
terrible	Hkrit kajawng hpa
terrible	kahpra hpa
terrific	hkrit tsang hpa
territory	madu ai shara
test	chyam ai
text	ga madung
text	ru di laika
text	lakap laika
than	hta grau
thank	chyeju
thank you	Chyeju kaba sai
Thank you for your patience while we investigate shipment	Ya na zawn anhte jep joi(dinglik) taw ai ten hta myit galu galang hte la ya taw ai majaw chyeju dum sai.
thank you so much	grai chyeju kaba sai yaw
thank you very much	grai chyeju kaba sai
thanks	Chyeju kaba sai
Thanks for using our app	Anhte na lamang hpe lang ya ai majaw chyeju dum sai
that	Dai
that is	dai re
that is	dai she rai
that's good	dai hkrak nga ai
that's good	hkrak ai
the	Dai
theft	la gu la gut a mu
their	shanhte na
them	shanhte
theme	ga matsun
theme	ga baw
themselves	shanhte hkum shanhte
then	dai ngut ai hpang
then	dai hpang
theory	myit masa
theory	myit jasat
there	dai shara e
there	dai kaw
there are	dai kaw gaw
there is	dai kaw gaw
therefore	dai majaw
these	ndai ni
they	Shanhte
they are	Shanhte gaw
thick	htat ai
thief	lagut
thigh	magyi
thin	hpa ai
thin	a hpa
thing	arai
things	arai
think	sawn ai
think	myit ai
third	masum hta na langai
third	masum lang na
thirsty	gara
thirsty	hpang gara ai
thirteen	shi masum
thirty	sum shi
this	ndai
this is	ndai gaw
thorough	azing ayang
thorough	tsep kawp re ai
thoroughly	npawt ndung hkren
thoroughly	azin ayang
thoroughly	atsawm sha
those	dai ni
though	Shadu ai
though	ning mu
thought	Myit ai lam
thought	Mu mada lam
thought	Ning mu
thoughtful	atsawm myit yu n na galaw chye ai
thoughts	myit jasat
thoughts	myit mang ai lam
thousand	hking
thread	htut
threat	hkrit shama ai
threaten	sharim ai
threaten	jahkrit shama ai
threaten	shagyeng ai
three	masum
threshold	chyinghka hki bawng
threshold	chyinghka npawt nhpang
thrilled	n shung si hpri
thrilled	ma ja grai kabu ai lam
thrive	sharing
throat	yuhkraw
through	lai ai
throughout	lam dingtung
throw	kabai bun ai
throw	kabai ai
thumb	lata yung nu
thunder	mu ngoi nsen
thunder	mu
thunder	mu ngoi ai
Thursday	Bat mali ya
thus	dai majaw
tick	wa hkali
tick	magra
tick	atek ngoi nsen
tide	hka hpung rawt
tide	hka kanawng
tidy	ai
tie	hkang
tie	gyit ai
tie	dun ai
tiger	sharaw
tight	hkak ai
time	aten
timid	n wam ai
timid	hkrit kaya ai
timid	a gam ai
tiny	kaji dik ai
tip	ningdung
tips	ga nchyan
tips	ga nchyan tsun dan ai
tire	pu mat ai
tire	ba ai
tired	ba ai
tired	pu ba ai
tissue	mawm
title	gabaw
to	de
to	dai de
to be	byin na matu
to be	na matu
toast	ka kang ai
toast	tsa lu saw ai
today	dai ni
toddler	ma zawn agang hkawm ai
toes	lagaw latsawng
together	jawm
together	rau
toilet	namdum
told	tsun dan kau da ai
tolerance	hkam sharing ai lam
tolerate	hkam sharang ai
tomato	ba hkri si
tomorrow	hpawt de
tongue	shinglet
tonight	dai na
too	mung
took	la ai
tool	lakung lakap
tools	lakung lakap ni
tooth	wa
top	ndung
top	ntsa
topic	gabaw
torn	shep kau ai
torn	je kau ai
torture	zing ri ai
torture	adip arip di ai
total	yawng hpawn
total	gumhpawn
total	yawng ma hkra
touch	kahtawk
touch	adawk
tough	greng ai
tour	bu hkawm ai
tour	mung jawt hkawm ai
toward	de
towards	hpang de
towel	hka shin hpajet
town	mare
toxic	gung
toxic	ntuk
trace	hkan sagawn yu ai
trace	tam sagawn yu ai
track	lam matsun
trade	galai ai
trade	hpaga ga ai
tradition	ji woi masa
tradition	htung lai masa
traditional	htung hkring
traffic	hpaga ga ai lam
trail	garawt dun mat wa ai
trail	hkan nang ai
train	shakung ai
train	jahpat ai
train	wan leng
training	wunkat
trait	lai
trait	lak lai ai sat lawat
traits	lai
traits	lak lai ai sat lawat
transfer	galai kau ai
transfer	shara htawt ai
transition	galai la ai lam
transition	galai mat ai lam
translate	ga gale ai
translate	laika gale ai
transparent	asan sha mu lu ai
transport	htaw hting let ai
transport	htaw wa htaw sa ai
transportation	htaw wa htaw sa lam
trap	chyinghtep mahkam
trash	maza
trash	shanut shanawng
trauma	ningma hkang
trauma	ningma
travel	hkawm ai
tray	ka htang
treasure	sut gan
treat	lanu lahku ai
treat	daw jaw ai
treatment	htawk la ai
treatment	tsi tsi hkam la ai
tree	hpun
tremendous	grai hkrit tsang hpa re ai
tremendous	manu mana kaba ai
trend	lam
trend	masa lam
trial	tara jeyang ai lam
trick	hpaji daw ai lam
trick	hkalem sha ai
tried	pu ai
tried	ba ai
trigger	mawng ai
trim	mawn shatsawm ai
trim	hkrawt kau ai
trip	hkrun lam kadun
trouble	manghkang
trouble	mayak
trousers	bu hkra
trousers	labu galu
truck	mawdaw kaba
truck	gun rai shada galai ai lam
true	jaw ai
true	teng ai
trunk	hpun nu
trust	kam sham ai
truth	teng man lam
try	shakut ai
tube	ting rat
tube	byawng
Tuesday	bat lahkawng ya
tuition	hpaji sharin ya ai lam
turkey	u magwi
turmeric	namchying
turn	gale ai
turn	kayin ai
turtle	taubren
tutor	hpaji kasi madun sara
twelve	shi lahkawng
twenty	hkun
twenty-one	hkun langai
twice	htam lahkawng
twist	manai ai
twist	sumri manai makai di ai
two	lahkawng
type	hpan
typical	zawn re
typical	kaja
ugly	ntsam ai
ugly	ahtat awat
ultimate	jahtum na daw dan ga
ultimate	hpang jahtum na
umbrella	jawng
unable	n byin lu ai
unable	n dang di lu ai
uncle	tsa ba
uncle	Wa ba
uncle	Wa di
unconscious	n dum hprang ai myit
unconscious	n dum myit
under	npu e
under	kata
underneath	lawu kaw
underneath	npu kaw
underrated	manu shading mala la nlaw ai
understand	hkawn hkrang ai
understand	chye na ai
understood	chye na lu sai
unfortunately	nmyit mada ai sha
uniform	bu hpun hking
uniform	maren re ai
uniform	laksan hking
unique	lak lai
unit	shing tai yu nit
unit	kasi
unit	langai
university	dakasu jawng
unknown	nchye ai
unknown	nchye la lu ai
unless	nrai yang
until	nre shi yang
unusual	shawoi hte nbung ai
up	lahta
up	ntsa
up to you	Nang na myit sha re
update	madang dep
upgrade	madang shatsaw ya ai
upon	ntsa kaw
upon	lahta de
upset	myit yawn ai
upset	myit npyaw ai
urban	mare kaba
urge	shadut
urgent	larau ladau
urgent	hkrak hkrak
us	anhte
use	lang ai
use	jai lang ai
used	akyu jashawn ai
used	jai lang ai
used	asung jashawn ai
useful	akyu rawng ai
useless	lachyum npru ai
useless	akyu nrawng ai
usual	tut galaw nga ai
usually	shawoi
utility	akyu jashawn ai lam
vacation	n gun awai ai
vaccination	makawp tsi htu ai lam
vaccine	tsi mawan
vacuum	kaman hpat wat
vague	ndan leng ai
vague	npra ai
valid	tara shang
valley	kadit laying
valley	hka raw
valuable	manu dan ai
valuable	manu rawng ai
value	manu
value	manu tawn ai
variety	hpan
various	sumhpa
various	hkum sumhpa
vary	nbung ai
vary	shai ai
vase	nampan kawk
vast	shara dam ai
vast	law htam ai
vast	dam lada ai
vegetable	nam law nam lap ni
vegetables	namlaw namlap hte seng ai
vehicle	jak rai
vendor	sut ai wa
venom	tuk
venom	ntuk
venture	sakdan galaw ai lam
venture	nhkrit ntsang galaw ai bungli
venture	asak dan nna galaw ai
venue	hkrum zup shara
venue	ginsup shingjawng shara
verify	teng ai lam hpe chye na matu jep ai
version	ga gale tawn ai lam
version	ga gale tawn ai laika
very	grai
very good	grai hkrak sai
vessel	hka li
vessel	li
via	lai n na
via	lai kau n na
vibe	makau grup yin
vibes	makau grup yin
vicious	grai matse ai
vicious	hka mara da chye ai
vicious	grai n hkru ai
victim	tsin yam hkrum masha
video	sumla hkrung
view	ningmu
view	mu mada ai
village	buga
villain	grai n hkru nshawp ai wa
vinegar	ntsin hkri
vintage	tsabi si di ai ten
violence	kashun kashe re ai lam
violent	laja lana re ai
violent	kashun kashe re ai
viral	ana kanu
virgin	ajet re ai
virgin	hkawn sek
virtual	na daram
virtue	shaman chyeju lu ai lam
virtue	nden
virtue	sari sadang
vision	shingran mu ai
vision	shingran
visit	sa du yu ai
visit	sa hkawm ai
visual	mu lu ai lam
visual	mu mada ai hte seng ai
vital	manu dan ai
vital	reng
vivid	dan leng ai
vivid	lachyum dan leng ai
vocabulary	ga jahpan
voice	mahku
voice	ga nsen
void	kaman re ai
void	hpa mung n nga ai
volume	laika bap
volume	hkrang masat
volunteer	san san karum ai wa
vomit	madawn ai
vulnerable	hkra machyi loi ai
vulnerable	hkam sha loi ai
vulnerable	byin loi ai
wage	shabrai
wages	shata shabrai
wages	shabrai
waist	mashi
waist	nshang
waist	ginshang
wait	Jahkring mi
wait	Naw lat u
waiter	hpajau wa
waiting	la taw ai
waiting	a la dingda nga ai
wake	yup hprang ai
wake	rawt ai
wake	jasu ai
wake up	rawt ai
walk	lam hkawm ai
walking	lam hkawm taw ai
wall	shakum
wallet	tingsan
wallet	htung pa
wander	jawt hkawm ai
wander	wam hkawm ai
wanna	mayu ai
want	ra ai
want	ra marin ai
wanted	ra sharawng ai
war	majan
war	gasat gala majan
wardrobe	bu hpun palawng sumpu
warehouse	rai htun da ai shara
warehouse	rai mahkawng da ai shara
warm	lum ai
warn	sadi jaw ai
warning	sadi jaw ai lam
warrior	hpyen la
warrior	gasat gala hpyen la
wash	hkrut ai
wash	kashin ai
waste	ayai
waste	maza
watch	la yu taw ai
watch	sin
water	hka
watermelon	gin hkyau si
wave	lata wak ai
wave	hka leng
wave	lata dingsi ai
way	lam
way	mahkrun
we	Anhte
we are	Anhte gaw
we can	Anhte dang di lu ai
weak	gawng kya ai
weakness	gawng kya ai lam
wealth	nga mu nga mai ai lam
wealth	lu su
wealthy	sut su ai
wealthy	sut ring chying ai
wear	dagraw
wear	hpun ai
wearing	gali da ai
wearing	bu hpun sumraw da ai
weather	du hkra ladaw
wedding	hkungran poi
Wednesday	bat masum ya
weed	tsing
week	bat
weekend	laban bat kru ya hte sanit ya nhtoi
weight	dingdaw yu ai
weight	shen yu ai
weight	namnak ai
weird	grai nhkrak ai
welcome	Hkap tau la ga ai
welfare	ngwi pyaw hkam kaja ai lam
Well	Kaja sai
Well	hkrak sai
well done	grai hkrak sai
went	sa ai
were	rai ma ai
west	sinna
wet	madi ai
whale	nga magwi
what	Hpa rai?
what about you	nang gaw gara hku rai?
what are you doing	Nang hpa galaw taw ai rai?
what are you doing now	Nang hpa galaw taw ai rai?
what are you doing right now	Nang ya hpa baw glaw taw ai rai?
what do you do	nang hpa galaw ai
what do you do for a living	Nang hpa baw kan bau bungli galaw ai rai?
what do you mean	Hpa lachyum rai?
what do you mean	Nang hpa tsun mayu ai rai?
what do you want	Nang hpa ra ai rai?
what happened	hpa byin mat ai rai?
what is	hpa baw rai?
what is this	ndai hpa baw rai?
what is your job	Nang na bungli gaw hpa rai?
what is your name	Nang na mying hpa rai?
what's up	hpa baw?
what's your name	Nang na mying gara hku nga ai rai?
what's your name	Nang na mying hpa rai?
whatever	hpa mi rai rai
wheat	hkaulan
wheel	gayin shakyi ai
wheel	leng
when	Galoi ?
whenever	hpa mi rai rai
where	Gara kaw rai?
where	Ganang?
where are you	Nang gara kaw rai?
where are you from	Nang gara kaw na rai?
where are you now	nang ya gara kaw rai?
where do you live	Nang gara kaw nga ai ngai?
where is	gara kaw?
whereas	majaw
whereas	raiyang
whether	nrai
whether	rai
which	gara?
while	Aten hta
while	Aten e
while	Dai ten laman
whisper	kahte tsun ai
whisper	kadum ai
whistle	lahpyaw hpyaw ai
white	a hpraw
who	Kadai ta?
who	Kadai rai?
who are you	nang kadai rai?
who is	kadai rai?
who is this	Ndai wa kadai rai?
whole	tup
whole	yawng
whom	kadai hpe?
whose	kade na?
why	Hpa majaw rai?
why not	hpa na nre na
wicked	nshawp ai
wicked	nhkru ai
wide	dam ai
wide	dam lada ai
widow	gaida jan
widow	gaida
width	nda
wife	ningrum ningtau jan
wife	madu jan
wild	shazai
wild	namshan
wild	matse
will	matsun maroi
will	sana
willing	byin mayu ai
willing	galaw mayu ai
willing	mayu ai
win	dang ai
wind	nbung
wind	nbung bung ai
window	hku wawt chyinghka
window	hku wawt
windy	nbung laja ai
wine	tsabyi ntsin
wine	tsabyi jahku
winter	kashung ta
wipe	katsut kau ai
wipe	arut kau ai
wire	sin yu sumri
wire	hpri sumri
wisdom	nyan marai
wisdom	zai
wisdom	hpaji hparat
wise	htauli htaula rawng ai
wish	kam ai
wish	kyu hpyi ai
wish you all the best	Nang na shawnglam a matu a kyu hpyi ya ai
witch	hpyi
with	dai hte
with	rau
withdraw	gun la ai
withdraw	dawm la ai
withdrawal	shaw la ai
withdrawal	shabai la kau ai
within	lapran
without	nlawm ai sha
witness	sakse
witty	sha a chyoi hpa chye ai
wolf	chyahkyawn
woman	nu num
women	kanu num ni
won	dang ai
won't	na nre
wonder	mau ai
wonderful	mau hpa
wood	hpun
wool	sagu mun
word	ga
words	ga si ni
work	bungli
work	galaw
work out	galaw ai
working	galaw taw ai
working	di taw ai
world	mungkan ga
worm	latung
worm	shingtai
worn	bu hpun sumraw ai
worried	makran
worried	myit tsang ai
worry	myit ru ai
worry	myit tsang ai
worse	hpyang ai
worse	n kaja ai
worship	nawku daw jau ai lam
worst	hpyang dik htum
worst	nkaja dik htum
worth	ging
worth	dan
worth	gingdan
worth it	dan ai
worth it	ging dan ai
worthy	manu dan ai
worthy	gingdan ai
would	na re
would	na ra ai
wound	hpye ai lam
wound	ning ma
wrap	shinggrum ai
wrap	gayawp tawn ai
wrap	jahpun ai
wrath	sinpawt la htet ai
wrath	n yun
wrist	lata lahkre
write	ka ai
Write here	Ndai kaw ka jahkrat rit
writing	laika ka masa
writing	ka tawn ai laika
written	laika ka da ai
written	ka da ai
wrong	shut ai
wrote	ka kau da ai
wrote	laika ka kau da ai
yard	sun wang
yard	dawng lahkawng shading
yawn	kaham ai
Yeah	Re ai
Yeah	Rai sa
year	shaning
year	ning
years	shaning ni
yeast	matsi
yell	jahtau marawn ai
yell	jahtau ai
yellow	ahtoi nsam awng ai
yellow	ahtoi nsam
Yes	Mai sa
yes baby	re ai tsawra
yes dear	re ai n ja e
yes honey	re tsaw
yes my love	re tsawra
yes of course	re teng ai
yes of course	she rai
yesterday	mani
yet	ya du hkra
yet	ya
yield	sun
you	Nang
you are	nang gaw
you are beautiful	Nang grai tsawm ai
you are so beautiful	Nang grai tsawm htap ai yaw
you are welcome	hpa nra ai
you can	nang dang di ai
You know	Nang chye ai i?
you too	nang mung maren yaw
you're welcome	hpa nra ai
young	hkalung ai
young	nun ai
your	Nang na
yourself	na hkum nang
youth	ramrawt
youth	ram ma
you’re welcome	hpa nra ai
yummy	mu dik ai
zero	kaman
