a little	тӀэкӀу
underneath	щӀагъ
underrated	пщӀэ хуэфащэ хуэмыщӀын
understand	къыбгурыӀуэн
understood	къызгурыӀуащ
unfortunately	жагъуэ зэрыхъунщи
uniform	зэрылажьэ щыгъын
unique	зым хуэмыдэ
unit	зы
university	еджапӀэ нэхъыщхьэ
unknown	мыцӀыху
unless	армырамэ
until	япэ
unusual	зыми емыщхь
up	и щхьэ
up to you	уэращ унафэ зыщӀыр
update	гъэщӀэрэщӀэн
update	щӀэращӀэ
upgrade	егъэфӀэкӀуэн
upset	нэщхъей
urban	къалэдэс
urge	къыхуеджэн
urge	гухэлъ
urgent	щӀэх
us	дэ
use	къэгъэсэбэпыныгъэ
use	къэгъэсэбэпын
used	къигъэсэбэпащ
useful	сэбэп
useless	мыхьэнэншэ
usual	къызэрыгуэкӀ
usually	куэдрэ
utility	сэбэп хъуныгъэ
vacation	зыгъэпсэхугъуэ
vaccination	вакцинацэ
vaccine	вакцинэ
vacuum	вакуум
vague	хэлъагъукӀыгъуей
valid	пэж дыдэу щыӀэ
valley	псыхъуэ
valuable	лъапӀэ
value	лъапӀэныгъэ
value	гъэлъэпӀэн
variety	зэмылӀэужьыгъуэ
various	зэмылӀэужьыгъуэ
vary	зэщхьэщыкӏын
vase	вазэ
vast	бгъуэ
vegetable	хадэхэкӀ
vegetables	хадэхэкӀ
vehicle	зэрызекӀуэ
vendor	сатуущӀэ
vendor	тыкуэнтет
venom	щхъухь
venture	предприятэ
venture	ӀуэхущӀапӀэ
venue	ӀуэхущӀапӀэ
venue	лъэщапӀэ
verify	къэпщытэн
versatile	куэд зылэжь
version	лӀэужьыгъуэ
vertical	занщӀэу дэкӀуей
very	икъукӀэ
very good	сыту фӀыт
vessel	щыкъу
via	зэрыхузэфӀэкӀ
vibe	атмосферэ
vibes	нэрымылъагъу къару
vicious	бзаджэ
victim	щхьэузыхь
video	видео
view	теплъэ
village	къуажэ
villain	лейзехьэ
villain	бзаджащӀэ
vinegar	серчэ
vintage	винтажнэ
violence	залымыгъэ
violent	лъэщыгъэкӀэ къызэфӀэгъэкӀа хъу
viral	вируснэ
virgin	зыри зэмыӀуса
virtual	къыпщыхъу
virtue	фӀагъ
vision	лъагъуныгъэ
visit	къекӀуэлӀэн
visit	кӀуэн
visual	плъагъу
vital	гъащӀэм щиӀэ мыхьэнэ
vivid	лыд
vocabulary	псалъалъэ
voice	макъ
void	нэщӀ
volume	мардэ
volume	пщалъэ
volume	объем
volunteer	езым и фӀэфӀыныгъэкӀэ Ӏуэху гуэр зыщӀэ
vomit	къыхэчын
vomit	къэжьыныгъэ
vulnerable	тӀасхъапӀэ
wage	лэжьапщӀэ
wages	улахуэ
waist	бгы
wait	ежьэн
waiter	щхьэгъэрыт
waiting	пэплъэ
waiting	ежьэ
wake	къэгъэушын
wake up	къэушын
walk	къэкӀухьын
walk	дэрэжэгъуэ
walking	къэкӀухьыныгъэ
wall	блын
wallet	ахъшалъэ
wander	гъуэщэн
wanna	ухуей
want	хуеин
wanted	хуейт
war	зауэ
wardrobe	шкӀаф
warehouse	гъэтӀылъыпӀэ
warm	хуабэ
warm	гъэхуэбэн
warn	хъыбар егъэщӀэн
warning	хъыбар егъэщӀэныгъэ
warrior	зауэлӀ
was	щыӀащ
wash	тхьэщӀын
waste	къыдэхуахэр
waste	хьэулей щӀын
watch	кӀэлъыпъын
water	псы
watermelon	хъарбыз
wave	толъкъун
way	гъуэгу
we	дэ
we are	дэ дыщытщ
we can	дэ тхуэщӀэнущ
weak	къарууншэ
weakness	къарууншагъэ
wealth	къулеягъ
wealthy	къулей
wear	щыгъэгъын
wearing	хуэпа
weather	щӀыуэпс
wedding	хьэгъуэлӀыгъуэ
Wednesday	Бэрэжьей
weed	удзыжь
week	тхьэмахуэ
weekend	щыдэс
weekend	зыгъэпсэхугъуэ
weight	хьэлъагъ
weight	тегъэхьэлъэн
weird	гъэщӀэгъуэн
weird	телъыджэ
welcome	къеблагъэ
welfare	псэукӀэ зэпэщ
Well	Хъарзынэ
Well	Тэмэм
well done	лэжьыгъэ фӀы дыдэ
went	кӀуащ
were	щыӀахэщ
west	къухьэпӀэ
wet	псыӀэ
whale	джей
what	сыт
what about you	уэ-щэ
what are you doing	сыт уэ пщӀэр
what are you doing now	сыт уэ иджыпсту пщӀэр
what are you doing right now	сыт уэ иджыпсту дыдэ пщӀэр
what do you do	сыт блэжьыр
what do you do for a living	сыт уэ ахъшэ къызэрыблэжьыр упсэун щхьа
what do you mean	сыт жыпӀэм къибгъэкӀыр
what do you want	сыт уэ узыхуейр
what happened	сыт къэхъуар
what is	сыту щыт
what is this	сыт мыр
what is your job	сыт уи лэжьыгъжм и мыхьэнэр
what is your name	хэт уи цӀэр
what's up	дауэ ущыт
what's your name	хэт уэ уицӀэр
whatever	дапхуэдэри
whatever	дэтхэнэри
wheat	гуэдз
wheel	шэрхъ
when	дапщэщ
whenever	дапщэщ
where	даӀэ
where are you	дэнэ ущыӀэ
where are you from	дэнэ ущыщ
where are you now	дэнэ ущыӀэ иджыпсту
where do you live	дэнэ ущыпсэур
where is	дэнэ щыӀэ
whereas	абы щыгъуэ сыт
whether	пӀэрэ
which	дэтхэнэр
while	узыншэу
while	апщӀэндэху
whisper	Ӏущащэ
whistle	фиин
white	хужь
who	хэт
who are you	ухэт уэ
who is	хэт щыт
who is this	хэт мыр
whole	псо
whom	хэт
whose	хэт ей
why	сыт щхьэ
why not	сыт щӀэхьэуэр
wicked	Ӏей
wicked	ябгэ
wide	бгъуэ
widow	фызабэ
width	бгъуагъ
wife	щхьэгъусэ
wild	емылыдж
wild	Ӏэл
will	щыӀэнущ
will	хуитыныгъэ
willing	хуей
win	текӀуэн
wind	жьы
window	щхьэгъубжэ
windy	жьыкъепщэ
wine	шагъыр
winter	щӀымахуэ
wipe	лъэщӀын
wire	гъущӀ кӀапсэ
wisdom	Ӏущагъ
wise	Ӏущ
wish	зыгуэрым хуеин
wish	хуеиныгъэ
wish you all the best	нэхъыфӀ дыдэкӀэ сыпхохъуахъуэ
witch	уд
with	и гъусэу
withdraw	къеджэжын
withdrawal	кӏэух псальэ
within	и кӀуэцӀым
witness	кӀэлъыплъын
witness	щыхьэт
witty	акъыл жан
wolf	дыгъужь
woman	цӀыхубз
woman	фыз
women	бзылъхугъэ
won	текӀуащ
won't	щыӀэнукъым
wonder	телъыджэлажьэ
wonderful	телъыджэ
wood	жыг
wool	цы
word	псалъэ
words	псалъэхэр
work	лэжьэн
work	лэжьыгъэ
work out	зыгъэсэн
working	лажьэ
world	дуней
world	мамыр
worm	хьэмбылу
worn	куэдрэ ящыгъа
worried	пӀейтӀея
worry	гузэвэн
worse	нэхъ Ӏей
worship	щхьэщэ щӀын
worst	Ӏей дыдэ
worth	уасэ
worth it	абы и уасэ
worthy	зыхуэфащэ
wound	уӀэгъэ
Wow	Уа
wrap	зэгъэдзэкӀын
wrath	губжь
wrist	Ӏэпщэ
write	тхэн
Write here	Мыбдеж къитхэ
writing	пощт
written	ятха
wrong	пцӀы
wrote	итхащ
yard	пщӀантӀэ
yawn	хущхьэ
yawn	хущхьэн
Yeah	НтӀэ
year	илъэс
years	илъэсхэр
yeast	щӀакхъуэгъэтэдж
yell	кӀиин
yellow	гъуэжь
Yes	НтӀэ
yes baby	нтӀэ, псэм хуэдэ
yes dear	нтӀэ, лъапӀэ
yes honey	нтӀэ, лъапӀэ
yes my love	нтӀэ, си лъагъуныгъэ
yes of course	нтӀэ, дауикӀ
yesterday	дыгъуасэ
yet	иджыри
yield	етын
you	уэ
you are	уэ ущытщ
you are beautiful	уэ удахэщ
you are so beautiful	уэ сыту удахэ
you are welcome	кхъыӀэ
you can	уэ пхуэщӀэнущ
You know	Уэ бощӀэ
you too	уэри
you're welcome	кхъыӀэ
young	щӀалэ
your	ууей
your welcome	кхъыӀэ
yourself	сэ
youth	щӀалэгъуэ
you’re welcome	кхъыӀэ
yummy	ӀэфӀ
zero	нол
zero	зыри
