a	а
trauma	тунки
trauma	жагъаллъи
trauma	беки
travel	сапар бухьине
travel	дуниял сверизе ине
tray	тепси
tray	тӀибитӀараб гъадаро
tray	пандуз
treasure	хазина
treat	дару гьаби
treatment	дару
tree	гъветӀ
tremendous	цӀакъ кӀудияб
trend	мурад
trend	къасд
trial	суд
trick	махсараде кквезе
trick	рекӀкӀ гьабизе
trick	гуккизе
tried	свакарав
trigger	багъаризабулеб
trim	къокъ гьабизе
trip	сапар бухьине
trip	дуниял сверизе ине
trouble	рагьизе кколеб теориялъулаб яги практикияб суал
trousers	тӀажу
truck	грузовик
true	битӀараб жо
trunk	рохти
trust	божизе
truth	битӀараб жо
try	къасд гьабизе
try	хӀал бихьизе
try	жигар бахъизе
Tsonga	Тцонга
tube	рогӀоро
tube	труба
Tuesday	талат  къо
tuition	лъай кьей
tuition	цӀализари
turkey	турция
turmeric	куркума
turn	серизе
turtle	щурункъверкъ
tutor	цӀалулъ нахъа хутӀараб лъимадуе кумек гьабулев
twelve	анцӀила кӀиго
twenty	къого
twenty-one	двадцать один
Twi	Тви
twice	кӀицӀул
twist	кьуризабизе
twist	кьуризе
twist	хенезабизе
twist	сверизе
twist	сверизабизе
two	кӀиго
type	тайпа
typical	цого тайпаялъул
ugly	сурукъаб
ultimate	ахирияб
ultimate	ахирисеб
umbrella	чадир
unable	кувурев
uncle	имгӀал
unconscious	лъавудаса арав
under	гъоркь
underneath	тӀину
underrated	сан гьавичӀев
understand	бичӀине
understood	биччана
unfortunately	талихӀкъини
uniform	ретӀел
unique	нагагь гурони букӀунареб
unit	цойилаб
unit	цо
university	университет
unknown	щибали лъалареб
unless	гурони
unless	хутӀизегӀан
until	до
unusual	гӀадатияб гуреб
up	тӀад
up to you	ножоц бище
update	цӀигьабизе
upgrade	цӀилъизаби
upon	тӀасан
upset	къаридго
urban	шагьаралъул(аб)
urge	гъира базабизе
urgent	нахъ тӀамун тезе бегьулареб
urgent	хехаб
urgent	хӀалакараб
urgent	нахъбахъулареб
urgent	гӀедегӀараб
us	ниж
use	хӀалтӀизабизе
used	хӀалтӀизабураб
useful	хӀалтӀизабулеб
useless	пайда гьечӀеб
usual	ругьунаб
usually	гӀемерисеб мехалъ
utility	пайдаяб
utility	пайда бугеб
utility	хайир бугеб
utility	мунпагӀат бугеб
vacation	каникулал
vaccination	бацӀцӀин
vaccine	вакцина
vacuum	вакуум
vague	бичӀчӀулареб
valid	тӀокӀаб
valley	расалъи
valley	жаниблъи
valley	гӀурумухъ
valuable	къиматаб
value	къимат гьабизе
variety	релълъинчӀеб жоялъул гӀемерлъи
variety	батӀалъи
various	батӀи-батӀияб
vary	батӀалъи букӀине
vase	ваза
vast	кӀудияб
vegetable	овощ
vegetables	овощал
vehicle	транспорт
vendor	вичарухъан
venom	загьру
venture	хӀинкъи бугеб хӀалбихьи
venue	букӀине бугеб бакӀ
verify	хӀал бихьизе
versatile	гӀемерал рахъал жанире рачунеб
version	версия
vertical	тӀаса гъоркье битӀараб
very	цӀакъ
very	кутакалда
very good	кигӀан лъикӀ
vessel	гама
via	кумекгун
vibe	энергетика
vibes	энергетика
vicious	рахӀму гьечӀеб
vicious	гурхӀел гьечӀеб
victim	къурбанлъун ккарав
victim	къурбан
video	видео
view	къватӀисеб сурат
view	сипат
village	росу
villain	хӀарамзада
villain	квешлъи гьабулев чи
vinegar	къанцӀа
vintage	винтаж
violence	гӀакъуба
violence	зулму
violence	хӀал
violent	гурхӀел гьечӀев
viral	машгьурав
virgin	васлъи хвечӀев
virtual	виртуальный
virtue	лъикӀаб рахъ
vision	канлъи
vision	берзул нур
vision	бихьи
vision	канлъи бихьи
visit	щвезе
visual	берзулаб
vital	гӀумруялъе чара гьечӀеб
vivid	гвангъараб
vocabulary	рагӀабазул нахъретел
voice	гьаракь
void	чӀобоголъи
volume	объем
volunteer	кумекчи
vomit	лагӀизе бачӀин
vomit	лагӀи
vulnerable	загӀипаб
wage	хӀалтӀухъ мухь
wages	хӀалтӀухъ мухь
waist	Рачелкъай
wait	чӀа
waiter	официант
waiter	квен кьолев чи
waiting	балагьун чӀезе
wake	ккезабизе
wake	лъугьинабизе
wake	багъаризабизе
wake	бахъизабизе
wake	бижизабизе
wake up	рахъине
wake up	йахъине
wake up	вахъине
walk	илъанхъизе
walking	тира-сверизе илъанхъун
wall	къед
wallet	кошелек
wander	беччизе лъугьине
wanna	бокьун буго
want	бокьун буго
wanted	бокьун букӀана
war	рагъ
wardrobe	общественниял рукъзабахъ рачӀарал гӀадамазул пальто
wardrobe	гардероб
wardrobe	тӀагъур ва ц. цӀунулеб хасаб рукъ
warehouse	склад
warm	хин
warn	цебеккунго лъазаби
warning	цебеккунго лъазаби
warrior	рагъухъан
warrior	солдат
warrior	аскарияв
was	ваз
wash	чуризе
waste	хвезабизе
watch	балагьизе
water	лъин
watermelon	хъарпуз
wave	карачел
way	нух
we	ниж
we are	ниж
we can	нижеда кӀола
weak	тамахав
weakness	кутак гьечӀолъи
weakness	загӀиплъи
weakness	хӀал гьечӀолъи
wealth	бечелъи
wealthy	бечедаб
wealthy	рес бугеб
wear	ретӀизе
wearing	хӀал дагьлъизабулеб
wearing	чӀалгӀинабулеб
wearing	рухӀ лъугӀизабулеб
wearing	бизараб
wearing	чӀамучӀаб
wearing	сваказабулеб
weather	гьава-бакъ
wedding	ригьин
Wednesday	арбагӀ къо
weed	чӀар
week	кутак гьечӀолъи
week	загӀиплъи
week	хӀал гьечӀолъи
weekend	выходные
weight	бакӀлъи
weird	тамашаб
welcome	лъик вусаравӀйюсарай
welfare	рес буголъи
welfare	буголъи
welfare	бечелъи
Well	ну
well done	бахӀарчи
went	битӀизе
were	вэ
west	бакътӀерхь
west	бакътӀерхьул рахъ
wet	биччараб
whale	кит
what	щиб я
what about you	дур щиб бугеб
what are you doing	мун щабула вугевӀйигей
what are you doing now	мун щабула гьанже
what are you doing right now	щанчи мун щиж гьабуле вугев
what do you do	мун щижо гьабула вуге
what do you do for a living	дуца гӀарац кин гьабулеб
what do you mean	мун щибин
what do you want	дуе бокьун бугеб щиб?
what happened	щиб ккараб
what happened	щиб лъугьараб
what is	гьаб щиб
what is this	гьеб щиб
what is your job	мун щивлъун хӀалтӀула вугев
what is your name	дуда цӀар щиб
what's up	щибула вуге
what's your name	дуда цӀар щиб
whatever	щиб бугонини
wheat	ролъ
wheel	милик
wheel	чарх
wheel	гьакибер
wheel	гьоко
when	кида
whenever	кид бокьаниги
where	киб
where are you	мун кив вуге
where are you from	дун киса
where are you now	мун хӀанчи кий йигей
where are you now	мун хӀанчи кив вугев
where do you live	мун кив яшав гьабун вугев
where is	кибуге
whereas	доб мехалъ
whereas	гьеб мехалъ
whereas	гъоб мехалъ
whether	кин бугонини
which	кинаб
while	гьабсагӀат
whisper	щурщуди
whistle	гьиштӀи
white	хъахӀаб
who	щал
who are you	мун щив
who is	щив
who is this	гьев щив?
whole	сахабго
whom	лъие
whose	лъил
whose	сундул
why	щай
why not	щай гуре?
wicked	хьвада – чӀвадиялъул тӀалабазда данде кколареб
wicked	адаб-хъатир гьечӀеб
wicked	къабихӀаб
wide	гӀатӀидаб
wide	гӀебаб
widow	къоролай
width	гӀебаб
wife	чӀужу
wild	гӀалхулаб
will	вил
willing	бокьунбатани
win	бергьине
wind	гьури
window	горду
windy	гьоролаб
wine	чагъир
winter	хасел
wipe	баццине
wire	маххул квар
wisdom	бичӀчӀи буголъи
wisdom	гӀакълу
wisdom	гӀакъиллъи
wise	гӀакъилав
wise	гӀакъилай
wise	гӀакъилаб
wish	анищ
wish	мурад
wish	къасд
wish you all the best	гьарула нужее кинабго лъикъаб
witch	хъартай
with	с
withdraw	нахъе ахӀизе
withdrawal	тасса бахъи
within	гьоркьоб
without	гьечӀого
witness	нугӀ
witty	бегӀераб
witty	цӀодораб
wolf	бацӀ
woman	чӀужу
woman	чӀужугӀадан
women	чӀужугӀадан
won	бергьана
won't	букӀине гьечӀо
wonder	гӀажаибго
wonderful	гьайбатаб
wonderful	хӀайранлъизарулеб
wood	гъветӀ
wool	цӀира
wool	квас
wool	ябагъи
word	дуниял
words	рагӀаби
work	хӀалтӀи
work out	тренировка
work out	ругьун гьави
working	хӀалтӀулев
world	дуниял
worm	хӀапара
worm	борохь
worm	хӀутӀ
worm	къвекӀ
worn	хохораб
worn	басралъараб
worn	чӀикӀараб
worried	бихха-хочараб
worried	рахӀат хвараб
worry	ургъел гьабизе
worse	дагьабги квешаб
worship	бетӀер къули
worst	цӀакъго квешаб
worth	къимат
worth it	стоило того
worth it	кколани
worthy	мустахӀикъаб
worthy	рекъараб
would	вуд
wound	лъукъизе
wound	ругъун лъезе
Wow	ваув
wrap	гуризе
wrath	ццин
wrist	кверзул рищи
write	хъвазе
Write here	гьаниба хъвай
writing	кагъат
written	хъвана
wrong	мекъаб
wrote	хъвана
yard	гьитӀинаб байдан
yawn	гьакӀкӀадизе
Yeah	у
year	сон
years	сонал
yeast	речче
yeast	мач
yeast	цӀекӀлъун бахъин
yeast	цӀекӀлъи
yell	ахӀдезе
yell	чӀичӀидизе
yellow	тӀугьилаб
Yes	у
yes baby	у,лъимер
yes dear	у хирияв
yes honey	у,хирияй
yes my love	у дир рокьи
yes of course	у гьай-гьай
yesterday	сон
yet	еще
yield	гӀалах
yield	авлахъ
you	мун
you are	мун
you are beautiful	мун берцинав вуго
you are so beautiful	дур берцинлъи
you are welcome	ю а велком
you can	дуда кӀола
You know	дуда лъала
you too	мунги
you're welcome	дур хӀалалалъе
young	гӀолохъанав
your	дур
your welcome	мун вачӀине вокьарав вуго
yourself	дуцго
yourself	мунго
youth	гӀолохъанлъи
you’re welcome	пожалуйста
yummy	тату бугеб
yummy	тӀагӀам гьечӀеб
zero	ноль
