а	a
тунки	trauma
жагъаллъи	trauma
беки	trauma
сапар бухьине	travel
дуниял сверизе ине	travel
тепси	tray
тӀибитӀараб гъадаро	tray
пандуз	tray
хазина	treasure
дару гьаби	treat
дару	treatment
гъветӀ	tree
цӀакъ кӀудияб	tremendous
мурад	trend
къасд	trend
суд	trial
махсараде кквезе	trick
рекӀкӀ гьабизе	trick
гуккизе	trick
свакарав	tried
багъаризабулеб	trigger
къокъ гьабизе	trim
сапар бухьине	trip
дуниял сверизе ине	trip
рагьизе кколеб теориялъулаб яги практикияб суал	trouble
тӀажу	trousers
грузовик	truck
битӀараб жо	true
рохти	trunk
божизе	trust
битӀараб жо	truth
къасд гьабизе	try
хӀал бихьизе	try
жигар бахъизе	try
Тцонга	Tsonga
рогӀоро	tube
труба	tube
талат  къо	Tuesday
лъай кьей	tuition
цӀализари	tuition
турция	turkey
куркума	turmeric
серизе	turn
щурункъверкъ	turtle
цӀалулъ нахъа хутӀараб лъимадуе кумек гьабулев	tutor
анцӀила кӀиго	twelve
къого	twenty
двадцать один	twenty-one
Тви	Twi
кӀицӀул	twice
кьуризабизе	twist
кьуризе	twist
хенезабизе	twist
сверизе	twist
сверизабизе	twist
кӀиго	two
тайпа	type
цого тайпаялъул	typical
сурукъаб	ugly
ахирияб	ultimate
ахирисеб	ultimate
чадир	umbrella
кувурев	unable
имгӀал	uncle
лъавудаса арав	unconscious
гъоркь	under
тӀину	underneath
сан гьавичӀев	underrated
бичӀине	understand
биччана	understood
талихӀкъини	unfortunately
ретӀел	uniform
нагагь гурони букӀунареб	unique
цойилаб	unit
цо	unit
университет	university
щибали лъалареб	unknown
гурони	unless
хутӀизегӀан	unless
до	until
гӀадатияб гуреб	unusual
тӀад	up
ножоц бище	up to you
цӀигьабизе	update
цӀилъизаби	upgrade
тӀасан	upon
къаридго	upset
шагьаралъул(аб)	urban
гъира базабизе	urge
нахъ тӀамун тезе бегьулареб	urgent
хехаб	urgent
хӀалакараб	urgent
нахъбахъулареб	urgent
гӀедегӀараб	urgent
ниж	us
хӀалтӀизабизе	use
хӀалтӀизабураб	used
хӀалтӀизабулеб	useful
пайда гьечӀеб	useless
ругьунаб	usual
гӀемерисеб мехалъ	usually
пайдаяб	utility
пайда бугеб	utility
хайир бугеб	utility
мунпагӀат бугеб	utility
каникулал	vacation
бацӀцӀин	vaccination
вакцина	vaccine
вакуум	vacuum
бичӀчӀулареб	vague
тӀокӀаб	valid
расалъи	valley
жаниблъи	valley
гӀурумухъ	valley
къиматаб	valuable
къимат гьабизе	value
релълъинчӀеб жоялъул гӀемерлъи	variety
батӀалъи	variety
батӀи-батӀияб	various
батӀалъи букӀине	vary
ваза	vase
кӀудияб	vast
овощ	vegetable
овощал	vegetables
транспорт	vehicle
вичарухъан	vendor
загьру	venom
хӀинкъи бугеб хӀалбихьи	venture
букӀине бугеб бакӀ	venue
хӀал бихьизе	verify
гӀемерал рахъал жанире рачунеб	versatile
версия	version
тӀаса гъоркье битӀараб	vertical
цӀакъ	very
кутакалда	very
кигӀан лъикӀ	very good
гама	vessel
кумекгун	via
энергетика	vibe
энергетика	vibes
рахӀму гьечӀеб	vicious
гурхӀел гьечӀеб	vicious
къурбанлъун ккарав	victim
къурбан	victim
видео	video
къватӀисеб сурат	view
сипат	view
росу	village
хӀарамзада	villain
квешлъи гьабулев чи	villain
къанцӀа	vinegar
винтаж	vintage
гӀакъуба	violence
зулму	violence
хӀал	violence
гурхӀел гьечӀев	violent
машгьурав	viral
васлъи хвечӀев	virgin
виртуальный	virtual
лъикӀаб рахъ	virtue
канлъи	vision
берзул нур	vision
бихьи	vision
канлъи бихьи	vision
щвезе	visit
берзулаб	visual
гӀумруялъе чара гьечӀеб	vital
гвангъараб	vivid
рагӀабазул нахъретел	vocabulary
гьаракь	voice
чӀобоголъи	void
объем	volume
кумекчи	volunteer
лагӀизе бачӀин	vomit
лагӀи	vomit
загӀипаб	vulnerable
хӀалтӀухъ мухь	wage
хӀалтӀухъ мухь	wages
Рачелкъай	waist
чӀа	wait
официант	waiter
квен кьолев чи	waiter
балагьун чӀезе	waiting
ккезабизе	wake
лъугьинабизе	wake
багъаризабизе	wake
бахъизабизе	wake
бижизабизе	wake
рахъине	wake up
йахъине	wake up
вахъине	wake up
илъанхъизе	walk
тира-сверизе илъанхъун	walking
къед	wall
кошелек	wallet
беччизе лъугьине	wander
бокьун буго	wanna
бокьун буго	want
бокьун букӀана	wanted
рагъ	war
общественниял рукъзабахъ рачӀарал гӀадамазул пальто	wardrobe
гардероб	wardrobe
тӀагъур ва ц. цӀунулеб хасаб рукъ	wardrobe
склад	warehouse
хин	warm
цебеккунго лъазаби	warn
цебеккунго лъазаби	warning
рагъухъан	warrior
солдат	warrior
аскарияв	warrior
ваз	was
чуризе	wash
хвезабизе	waste
балагьизе	watch
лъин	water
хъарпуз	watermelon
карачел	wave
нух	way
ниж	we
ниж	we are
нижеда кӀола	we can
тамахав	weak
кутак гьечӀолъи	weakness
загӀиплъи	weakness
хӀал гьечӀолъи	weakness
бечелъи	wealth
бечедаб	wealthy
рес бугеб	wealthy
ретӀизе	wear
хӀал дагьлъизабулеб	wearing
чӀалгӀинабулеб	wearing
рухӀ лъугӀизабулеб	wearing
бизараб	wearing
чӀамучӀаб	wearing
сваказабулеб	wearing
гьава-бакъ	weather
ригьин	wedding
арбагӀ къо	Wednesday
чӀар	weed
кутак гьечӀолъи	week
загӀиплъи	week
хӀал гьечӀолъи	week
выходные	weekend
бакӀлъи	weight
тамашаб	weird
лъик вусаравӀйюсарай	welcome
рес буголъи	welfare
буголъи	welfare
бечелъи	welfare
ну	Well
бахӀарчи	well done
битӀизе	went
вэ	were
бакътӀерхь	west
бакътӀерхьул рахъ	west
биччараб	wet
кит	whale
щиб я	what
дур щиб бугеб	what about you
мун щабула вугевӀйигей	what are you doing
мун щабула гьанже	what are you doing now
щанчи мун щиж гьабуле вугев	what are you doing right now
мун щижо гьабула вуге	what do you do
дуца гӀарац кин гьабулеб	what do you do for a living
мун щибин	what do you mean
дуе бокьун бугеб щиб?	what do you want
щиб ккараб	what happened
щиб лъугьараб	what happened
гьаб щиб	what is
гьеб щиб	what is this
мун щивлъун хӀалтӀула вугев	what is your job
дуда цӀар щиб	what is your name
щибула вуге	what's up
дуда цӀар щиб	what's your name
щиб бугонини	whatever
ролъ	wheat
милик	wheel
чарх	wheel
гьакибер	wheel
гьоко	wheel
кида	when
кид бокьаниги	whenever
киб	where
мун кив вуге	where are you
дун киса	where are you from
мун хӀанчи кий йигей	where are you now
мун хӀанчи кив вугев	where are you now
мун кив яшав гьабун вугев	where do you live
кибуге	where is
доб мехалъ	whereas
гьеб мехалъ	whereas
гъоб мехалъ	whereas
кин бугонини	whether
кинаб	which
гьабсагӀат	while
щурщуди	whisper
гьиштӀи	whistle
хъахӀаб	white
щал	who
мун щив	who are you
щив	who is
гьев щив?	who is this
сахабго	whole
лъие	whom
лъил	whose
сундул	whose
щай	why
щай гуре?	why not
хьвада – чӀвадиялъул тӀалабазда данде кколареб	wicked
адаб-хъатир гьечӀеб	wicked
къабихӀаб	wicked
гӀатӀидаб	wide
гӀебаб	wide
къоролай	widow
гӀебаб	width
чӀужу	wife
гӀалхулаб	wild
вил	will
бокьунбатани	willing
бергьине	win
гьури	wind
горду	window
гьоролаб	windy
чагъир	wine
хасел	winter
баццине	wipe
маххул квар	wire
бичӀчӀи буголъи	wisdom
гӀакълу	wisdom
гӀакъиллъи	wisdom
гӀакъилав	wise
гӀакъилай	wise
гӀакъилаб	wise
анищ	wish
мурад	wish
къасд	wish
гьарула нужее кинабго лъикъаб	wish you all the best
хъартай	witch
с	with
нахъе ахӀизе	withdraw
тасса бахъи	withdrawal
гьоркьоб	within
гьечӀого	without
нугӀ	witness
бегӀераб	witty
цӀодораб	witty
бацӀ	wolf
чӀужу	woman
чӀужугӀадан	woman
чӀужугӀадан	women
бергьана	won
букӀине гьечӀо	won't
гӀажаибго	wonder
гьайбатаб	wonderful
хӀайранлъизарулеб	wonderful
гъветӀ	wood
цӀира	wool
квас	wool
ябагъи	wool
дуниял	word
рагӀаби	words
хӀалтӀи	work
тренировка	work out
ругьун гьави	work out
хӀалтӀулев	working
дуниял	world
хӀапара	worm
борохь	worm
хӀутӀ	worm
къвекӀ	worm
хохораб	worn
басралъараб	worn
чӀикӀараб	worn
бихха-хочараб	worried
рахӀат хвараб	worried
ургъел гьабизе	worry
дагьабги квешаб	worse
бетӀер къули	worship
цӀакъго квешаб	worst
къимат	worth
стоило того	worth it
кколани	worth it
мустахӀикъаб	worthy
рекъараб	worthy
вуд	would
лъукъизе	wound
ругъун лъезе	wound
ваув	Wow
гуризе	wrap
ццин	wrath
кверзул рищи	wrist
хъвазе	write
гьаниба хъвай	Write here
кагъат	writing
хъвана	written
мекъаб	wrong
хъвана	wrote
гьитӀинаб байдан	yard
гьакӀкӀадизе	yawn
у	Yeah
сон	year
сонал	years
речче	yeast
мач	yeast
цӀекӀлъун бахъин	yeast
цӀекӀлъи	yeast
ахӀдезе	yell
чӀичӀидизе	yell
тӀугьилаб	yellow
у	Yes
у,лъимер	yes baby
у хирияв	yes dear
у,хирияй	yes honey
у дир рокьи	yes my love
у гьай-гьай	yes of course
сон	yesterday
еще	yet
гӀалах	yield
авлахъ	yield
мун	you
мун	you are
мун берцинав вуго	you are beautiful
дур берцинлъи	you are so beautiful
ю а велком	you are welcome
дуда кӀола	you can
дуда лъала	You know
мунги	you too
дур хӀалалалъе	you're welcome
гӀолохъанав	young
дур	your
мун вачӀине вокьарав вуго	your welcome
дуцго	yourself
мунго	yourself
гӀолохъанлъи	youth
пожалуйста	you’re welcome
тату бугеб	yummy
тӀагӀам гьечӀеб	yummy
ноль	zero
