Langai	a
kompyuta lamang ni	software
ga	soil
dut kau sai	sold
dut shama kau sai	sold out
dut kau sai	sold out
hpyen la	soldier
lagaw lahpan	sole
marai langai sha	sole
tinang chyu sha	sole
ngang kang ai	solid
langai sha re ai	solid
atawng apa	solid
mahtai	solution
jahpra ai	solve
hpran ai	solve
Nkau mi	some
langai ngai	somebody
gara hku raitim	somehow
gara hku rai rai	somehow
langai ngai	someone
lama mi	something
lama ma	something
kalang lang	sometimes
kalang marang	sometimes
ningchyin	song
yungwi	song
mahkawn ga	song
kade n na yang	soon
prat dep ai	sophisticated
mahkrum madup law ai	sophisticated
Sorani	Sorani
wunma	sore
hpye ai	sore
yu hkraw machyi ai	sore throat
yu hkraw hpye ai	sore throat
yawn hkyen lam	sorrow
Grai agam sai	Sorry
Tawngban ai	Sorry
myit n pyaw sai	Sorry
Hpyi nyem sai	Sorry
hpan	sort
amyu lata ai	sort
baw	sort
sawk kau da ai	sought
tam kau da ai	sought
wenyi	soul
prat manang	soulmate
nsen	sound
mahku ngoi ai	sound
si mai	soup
si mai ntsin	soup
hkri ai	sour
daju	source
marum	source
dingda	south
hpat wat	space
gum chyan	span
lahkam mi	span
hkyem sa jaw ai	spare
malai	spare
tsun ai	speak
shaga ai	speak
alak mi re ai	special
myu hpan	species
hkrak tup	specific
grai yu htuk na zawn re ai	spectacular
manaw	speech
matsun	speech
tsun na ga n nga mat ai	speechless
hpa nchye tsun mat ai	speechless
lawan shadang	speed
gasi hti ai	spell
jai lang ai	spend
aten jahtum kau ai	spent
jai lang kau ai	spent
jap ai	spicy
masen ai	spike
hpri masen	spike
ri kaboi ai	spin
salau lap	spinach
wenyi	spirit
mayen	spit
mahtaw kau ai	spit
prat kau ai	spit
hkik hkam ai	splendid
kaprang ai	split
ga ai	split
lagu la ai	spoil
kashun la ai	spoil
jahten kau ai	spoil
gashun la ai rai	spoiled
gashun la ai	spoiled
lagu	spoiled
jahten kau ai	spoiled
shi hte shi byin sa ai	spontaneous
matut manoi byin taw ai	spontaneous
lakung	spoon
chyaw	spoon
shara	spot
madu jan	spouse
madu la	spouse
ningrum ningtau jan	spouse
ningrum ningtau wa	spouse
bra ai	spread
hka bawng	spring
hka hpawk	spring
Lap run ginhtawng ta	spring
htam lahkawng sawn hku	square
man bung lawk	square
manat ai	squeeze
nyap la ai	squeeze
shup la ai	squeeze
kadu hka	squirrel
n hkyi hte galun ai	stab
ngang kang ai	stable
gumra lawng	stable
yihku bum sumpum	stack
bungli galaw masha	staff
nau ra	stage
pin ra	stage
tsi chya ai	stain
lakang ninggam ni	stairs
dumlawng ai	stake
dumlawng gumhpraw	stake
gam bum	stalk
seng gat sum	stall
laika dazik	stamp
hkin dit ai	stamp
dazik	stamp
tsap ai	stand
tsang	standard
madang	standard
shagan	star
hpang ai	start
hpang dat sai	started
hku	starving
shakyet ai	starving
lu sha shakyet ai	starving
mungdaw	state
ndau shabra laika	statement
wanleng daru	station
dabang	station
gawng ngu sumla	statue
hkrang sumla	statue
madang	status
nga ai	stay
shinglum hkra nga u	stay safe
ding ngam re ai	steady
dingyang re ai	steady
shan kangau ju	steak
lagu ai	steal
kabaw ai	steam
salu	steam
hpri gang	steel
tsing tawn ai	steep
kadawng ai	steep
n hkap ai	steep
hpun mat	stem
lakang n-gam	step
shing kawt ai	step
lagaw lahkam	step
shingna	stick
kap ai	stick
shakap ai	stick
ting ting hkang hkang re ai	stiff
yak ai	stiff
zim zam re ai	still
naw	still
zim ai	still
balen na ai	sting
ma ji ai	stingy
byet chyi ai	stingy
shalau ai	stir
shalut ai	stir
shalawn ai	stir
lusha kyem da ai lam	stock
arai	stock
lagu la da ai	stolen
shat kan	stomach
kan	stomach
nlung tawng	stone
tsap ai	stood
lahkum	stool
maza	stool
hkyi	stool
sa ai	stop
hkring ai	stop
gunrai tawn da shara	storage
zing da ai	store
kyem da ai	store
nbung laru	storm
maumwi	story
nta htap	story
nra wan dap	stove
ading sha	straight
dingyang	straight
dingding	straight
asan sha	straightforward
jen	strain
lak lai ai	strange
tsa sam	stranger
zai ladat	strategy
yi hku	straw
ka ka re ai	streak
hka shi	stream
hkrun	street
lam	street
atsam	strength
lapyin	strength
myit ba ai	stress
myit pu ai	stress
lata ladawn ai	stretch
laja lana	strict
yaw	strike
dup	strike
abrep	strike
sumri	string
tsam	string
hpyi gaw kau ai	strip
shakut shaja ai	strive
da ting shakut ai	strive
masawp ai	stroke
ngang ngang	strong
ngang kang	strong
n-gun ja ai	strong
akam asham	strong
kahpret kau da ai	struck
abyen kau da ai	struck
adit kau da ai	struck
hkrang	structure
shakut shaja ai	struggle
shakut shaja sha taw ai lam	struggling
baw ja ai	stubborn
masin ja ai	stubborn
chyat ai	stuck
adawng taw ai	stuck
jawng ma	student
hka ja ai	study
hka ja taw ai	studying
arung arai	stuff
htoi tu tsawm ai	stunning
angawk ai	stupid
anya ai	stupid
sateng	style
lai kasi	style
lai masa	style
ginhpan	subject
ginlam	subject
madat mara ai lam	submission
asum jaw ai	submit
tang madun ai	submit
mara ai	submit
ra hkyak dik ai daw	substance
atawng apa	substance
malai	substitute
malai bang ai rai	substitute
kya ai	subtle
nya ai	subtle
hkaw hkam aya hkap la ai	succeed
awng dang ai	succeed
hkring htawng daraw la ai	succeed
awngdang ai	success
awng dang ai	successful
ndai zawn re	such
zawn re	such as
chyup ai	suck
hkam la ai	suck
kalang ta	sudden
a kajawng sha	sudden
ma ja	sudden
kajawng kaja	suddenly
a kajawng sha	suddenly
hkam sha ai	suffer
hkam mana ai	suffer
hkrum sha nga ai	suffering
jamjau jamhkau chyum sha ai lam	suffering
wanwang	sufficient
grung ai	sufficient
jum dwi	sugar
hpaji jaw ai	suggest
hpaji jaw lam	suggestion
hpaji jaw ga	suggestion
hking	suit
htuk manu ai	suit
htap htuk ai	suit
htuk manu ai	suitable
htap htuk ai	suitable
bu hkawm rai sadek	suitcase
pawng ai	sum
yawng pawng	sum
ginchyum	summary
gadun dawk	summary
ginhtawng ta	summer
mahtaw n chyun	summit
bum pungding	summit
jan	sun
laban shani	sunday
majoi shani	sunday
jan ja ai	sunny
jan shang ten	sunset
jan shingkan	sunshine
grau htum ai	super
grau ai	super
grau ai masha ntsa na masha kaba	superior
grau ai	superior
reng hkang ai wa	supervisor
up hkang yu ang ai wa	supervisor
n yup shi yang sha ai shana shat	supper
karum jaw ai	supply
karum ningtum	supply
karum ning tum	support
karum ai	support
madi shadaw ai	support
myit nawn ai	suppose
myit nawn ai	supposed
zawn nawn ai	supposed
teng ai	sure
ndun	surface
taleng ai	surge
hka leng	surge
kadoi ga tsi hpaji	surgery
kadoi ga tsi mawan lam	surgery
htinggaw mying	surname
a kajawng sha byin ai	surprise
shamau kau ai	surprise
mau ai	surprise
a kajawng sha byin ai	surprised
shamau kau ai	surprised
mau shangun ai	surprised
laknak jahkrat ai	surrender
ninghtoi shang ai	surrender
asum hkam ai	surrender
gurp grup wang da ai	surrounding
makau grup yin	surrounding
u lam lam tawn ai lam	surveillance
tsan tsan kaw n na yu tawn ai lam	surveillance
sawk sagawn ai lam	survey
tawt lai lu ai	survive
n tsen ai	suspect
jahkring da ai	suspended
n tsen ai	suspicious
rai na shadu ai	suspicious
madi shadaw ya ai	sustain
bau tawn ai	sustain
hkrum sha ai	sustain
hkrung grin hkra galaw ai lam	sustainability
hkrung gin ai	sustainable
lagu la ai rai	swag
hka rai	swallow
gunrai shada galai ai	swap
dagam ga sadi la ai	swear
dagam ai	swear
dang ai	swear
salat pru ai	sweat
salat	sweat
salat hkam palawng	sweater
ding ye	sweep
ding ye ye ai	sweep
dwi ai	sweet
Yup mang tsawm mu u ga	sweet dreams
ga ngwi ga pyaw shaga chye ai	sweet tooth
sumtsaw	sweetheart
bum ai	swell
bum taw ai	swelling
ladau taw ai	swelling
hka hpung yawt ai	swim
hka hpung yawt taw ai	swimming
n goi	swing
goiwat	swing
kawat	swing
galai ai	switch
bum wa ai	swollen
ladau wa ai	swollen
lau nhtu	sword
masat dingsat	symbol
masat	symbol
kum la	symbol
matsan dum ai lam	sympathy
kumla	symptoms
htu jat	system
lai len	system
masa	system
sha ku	table
ahkrak la ai	tackle
lit la ai	tackle
masat	tag
mai	tail
n mai	tail
la ai	take
la sa mat ai	take away
la mat ai	take away
sadi u yaw	take care
pyen lung mat ai	take off
hprawng ai	take off
raw kau ai	take off
tsan kau ai	take off
shaw kau sai	taken
shaga mat ai	taken
la kau sai	taken
tsun shaga ai	talk
n gup nlem ai	talkative
grai jawp jin ai	talkative
galu ai	tall
kahtawk ai	tap
ahpa re ai sumri	tape
sumri chyahpa	tape
yaw shada ai	target
ban dung	target
lit	task
magam	task
chyim yu ai	taste
namchyim	taste
namta	taste
namchyim rawng ai	tasty
sharin ya ai	taught
matsun madun ai	taught
kang ai	taught
hpa lap	tea
sharin achyin ya ai	teach
Sara	teacher
Saranum	teacher
hpung kaji	team
hpung	team
je ai	tear
myi pri si	tear
shep	tear
myi pri si	tears
hkawt chyai ai	tease
shatsang chyai ai	tease
jak hpaji	technology
wa	teeth
tsun ai	tell
ngai hpe tsun dan rit	tell me
hpri shaja ai	temper
myit masin	temper
kahtet shadang	temperature
nawku jawng	temple
nawku nta	temple
jahkring jahkra	temporary
shi	ten
mun mi	ten thousand
shap galaw ai wa	tenant
shap nga ai wa	tenant
rem ai	tend
uphkang ai	tend
byin wa mai ai masa	tendency
kya ai	tender
wawp	tender
ding kren ai	tense
aten ladaw	tense
myit bu ba ai lam	tension
shingjawng ai lam	tension
nbung jawng ginsum	tent
janghpang	tent
chyam yu ai	tentative
chyam yu mai ai	tentative
aten ladaw	term
gasi ga ngau	term
ga masat	terms
ga hkin dat	terms
aten ladaw	terms
kahpra hpa	terrible
Hkrit kajawng hpa	terrible
hkrit tsang hpa	terrific
madu ai shara	territory
chyam ai	test
ga madung	text
ru di laika	text
lakap laika	text
hta grau	than
chyeju	thank
Chyeju kaba sai	thank you
Ya na zawn anhte jep joi(dinglik) taw ai ten hta myit galu galang hte la ya taw ai majaw chyeju dum sai.	Thank you for your patience while we investigate shipment
grai chyeju kaba sai yaw	thank you so much
grai chyeju kaba sai	thank you very much
Chyeju kaba sai	thanks
Anhte na app hpe lang ya ai majaw chyeju dum sai	Thanks for using our app
Dai	that
dai re	that is
dai she rai	that is
dai hkrak nga ai	that's good
hkrak ai	that's good
Dai	the
la gu la gut a mu	theft
shanhte na	their
shanhte	them
ga baw	theme
ga matsun	theme
shanhte hkum shanhte	themselves
dai hpang	then
dai ngut ai hpang	then
myit jasat	theory
myit masa	theory
dai kaw	there
dai shara e	there
dai kaw gaw	there are
dai kaw gaw	there is
dai majaw	therefore
ndai ni	these
Shanhte	they
Shanhte gaw	they are
htat ai	thick
lagut	thief
magyi	thigh
hpa ai	thin
a hpa	thin
lasi ai	thin
arai	thing
arai	things
sawn ai	think
myit ai	think
masum lang na	third
masum hta na langai	third
hpang gara ai	thirsty
shi masum	thirteen
sum shi	thirty
ndai	this
ndai gaw	this is
azing ayang	thorough
tsep kawp re ai	thorough
azin ayang	thoroughly
npawt ndung hkren	thoroughly
atsawm sha	thoroughly
dai ni	those
raitim mung	though
Myit ai lam	thought
Ning mu	thought
Mu mada lam	thought
atsawm myit yu n na galaw chye ai	thoughtful
myit mang ai lam	thoughts
myit jasat	thoughts
hking	thousand
ri	thread
hkrit shama ai	threat
shagyeng ai	threaten
sharim ai	threaten
jahkrit shama ai	threaten
masum	three
chyinghka hki bawng	threshold
chyinghka npawt nhpang	threshold
n shung si hpri	thrilled
ma ja grai kabu ai lam	thrilled
amyu hpan	thrive
yuhkraw	throat
lai ai	through
lam dingtung	throughout
kabai ai	throw
kabai bun ai	throw
lata yung nu	thumb
mu	thunder
mu ngoi ai	thunder
mu ngoi nsen	thunder
Bat mali ya	Thursday
dai majaw	thus
magra	tick
atek ngoi nsen	tick
wa hkali	tick
hka kanawng	tide
hka hpung rawt	tide
san seng ai	tidy
hkang	tie
gyit ai	tie
dun ai	tie
sharaw	tiger
hkak ai	tight
Tigrinya	Tigrinya
aten	time
n wam ai	timid
a gam ai	timid
hkrit kaya ai	timid
kaji dik ai	tiny
ningdung	tip
ga nchyan tsun dan ai	tips
ga nchyan	tips
ba ai	tire
pu mat ai	tire
ba ai	tired
pu ba ai	tired
mawm	tissue
gabaw	title
dai de	to
de	to
byin na matu	to be
na matu	to be
tsa lu saw ai	toast
ka kang ai	toast
daini	today
ma zawn agang hkawm ai	toddler
lagaw latsawng	toes
rau	together
jawm	together
namdum	toilet
tsun dan kau da ai	told
hkam sharing ai lam	tolerance
hkam sharang ai	tolerate
ba hkri si	tomato
hpawt de	tomorrow
shinglet	tongue
daina	tonight
mung	too
la ai	took
lakung lakap	tool
lakung lakap ni	tools
wa	tooth
ntsa	top
ndung	top
ga baw	topic
je kau ai	torn
shep kau ai	torn
adip arip di ai	torture
zing ri ai	torture
yawng ma hkra	total
gumhpawn	total
yawng hpawn	total
adawk	touch
kahtawk	touch
greng ai	tough
yak hkak ai	tough
bu hkawm ai	tour
mung jawt hkawm ai	tour
shawng de	toward
de	toward
shawng de	towards
hka shin hpajet	towel
mare	town
ntuk	toxic
gung	toxic
tam sagawn yu ai	trace
hkan sagawn yu ai	trace
lam matsun	track
galai ai	trade
hpaga ga ai	trade
ji woi masa	tradition
htung lai masa	tradition
htunghking	traditional
mawdaw lam	traffic
hkan nang ai	trail
garawt dun mat wa ai	trail
wan leng	train
jahpat ai	train
shakung ai	train
wunkat	training
lai	trait
lak lai ai sat lawat	trait
lai	traits
lak lai ai sat lawat	traits
shara htawt ai	transfer
galai kau ai	transfer
galai la ai lam	transition
galai mat ai lam	transition
laika gale ai	translate
ga gale ai	translate
asan sha mu lu ai	transparent
htaw wa htaw sa ai	transport
htaw hting let ai	transport
htaw wa htaw sa lam	transportation
chyinghtep mahkam	trap
shanut shanawng	trash
maza	trash
ningma	trauma
ningma hkang	trauma
hkawm ai	travel
ka htang	tray
sut gan	treasure
lanu lahku ai	treat
daw jaw ai	treat
tsi lajang ai	treat
htawk la ai	treatment
tsi tsi hkam la ai	treatment
hpun	tree
manu mana kaba ai	tremendous
grai hkrit tsang hpa re ai	tremendous
masa lam	trend
lam	trend
tara jeyang ai lam	trial
hpaji daw ai lam	trick
hkalem sha ai	trick
ba ai	tried
pu ai	tried
mawng ai	trigger
hkrawt kau ai	trim
mawn shatsawm ai	trim
hkrun lam kadun	trip
mayak	trouble
manghkang	trouble
labu galu	trousers
bu hkra	trousers
mawdaw kaba	truck
gunrai htaw mawdaw	truck
gun rai shada galai ai lam	truck
teng ai	true
jaw ai	true
hpun nu	trunk
kam hpa ai	trust
kam ai	trust
teng man lam	truth
shakut ai	try
Tsonga	Tsonga
byawng	tube
ting rat	tube
bat lahkawng ya	Tuesday
hpaji sharin ya ai lam	tuition
u magwi	turkey
namchying	turmeric
kayin ai	turn
gale ai	turn
taubren	turtle
hpaji kasi madun sara	tutor
shi lahkawng	twelve
hkun	twenty
hkun langai	twenty-one
Twi	Twi
htam lahkawng	twice
sumri manai makai di ai	twist
manai ai	twist
lahkawng	two
hpan	type
kaja	typical
zawn re	typical
ahtat awat	ugly
n tsawm ai	ugly
hpang jahtum na	ultimate
jahtum na daw dan ga	ultimate
jawng	umbrella
n dang di lu ai	unable
n byin lu ai	unable
Wa di	uncle
Wa ba	uncle
tsa ba	uncle
n dum hprang ai myit malap ai	unconscious
n dum myit	unconscious
npu e	under
kata	under
npu kaw	underneath
lawu kaw	underneath
manu shading mala la nlaw ai	underrated
chye na ai	understand
hkawn hkrang ai	understand
chye na lu sai	understood
n myit mada ai sha	unfortunately
bu hpun hking	uniform
maren re ai	uniform
laksan hking	uniform
lak lai	unique
shing tai yu nit	unit
langai	unit
kasi	unit
dakasu jawng	university
nchye la lu ai	unknown
nchye ai	unknown
nrai yang	unless
n re shi yang	until
shawoi hte n bung ai	unusual
ntsa	up
lahta	up
Nang na myit sha re	up to you
madang dep	update
madang shatsaw ya ai	upgrade
ntsa kaw	upon
lahta de	upon
myit n pyaw ai	upset
myit yawn ai	upset
mare kaba	urban
shadut	urge
larau ladau	urgent
hkyak hkyak	urgent
anhte	us
lang ai	use
jai lang ai	use
akyu jashawn ai	used
jai lang ai	used
asung jashawn ai	used
akyu rawng ai	useful
akyu n rawng ai	useless
lachyum n pru ai	useless
tut galaw nga ai	usual
shawoi na zawn sha	usually
akyu jashawn ai lam	utility
n-gun awai ai	vacation
makawp tsi htu ai lam	vaccination
tsi mawan	vaccine
kaman hpat wat	vacuum
npra ai	vague
ndan leng ai	vague
tara shang	valid
hka raw	valley
kadit laying	valley
manu dan ai	valuable
manu rawng ai	valuable
manu tawn ai	value
manu dan ai	value
hpan	variety
hkum sumhpa	various
sumhpa	various
shai ai	vary
n bung ai	vary
nampan kawk	vase
shara dam ai	vast
dam lada ai	vast
law htam ai	vast
nam law nam lap ni	vegetable
namlaw namlap hte seng ai	vegetables
jak rai	vehicle
sut ai wa	vendor
tuk	venom
ntuk	venom
asak dan nna galaw ai	venture
sakdan galaw ai lam	venture
nhkrit ntsang galaw ai bungli	venture
hkrum zup shara	venue
ginsup shingjawng shara	venue
teng ai lam hpe chye na matu jep ai	verify
NAlam amyu myu	versatile
ga gale tawn ai lam	version
ga gale tawn ai laika	version
grai	very
grai hkrak sai	very good
hka li	vessel
li	vessel
lai kau nna	via
lai nna	via
makau grup yin	vibe
makau grup yin	vibes
grai matse ai	vicious
grai n hkru ai	vicious
hka mara da chye ai	vicious
tsin yam hkrum masha	victim
sumla hkrung	video
ningmu	view
mu mada ai	view
buga	village
grai n hkru nshawp ai wa	villain
ntsin hkri	vinegar
tsabi si di ai ten	vintage
kashun kashe re ai lam	violence
laja lana re ai	violent
kashun kashe re ai	violent
ana kanu	viral
ajet re ai	virgin
hkawn sek	virgin
na daram	virtual
sari sadang	virtue
nden	virtue
shaman chyeju lu ai lam	virtue
shingran mu ai	vision
shingran	vision
sa du yu ai	visit
sa hkawm ai	visit
mu lu ai lam	visual
mu mada ai hte seng ai	visual
reng	vital
manu dan ai	vital
lachyum dan leng ai	vivid
dan leng ai	vivid
ga nsen	voice
mahku	voice
hpa mung n nga ai	void
kaman re ai	void
laika bap	volume
hkrang masat	volume
san san karum ai wa	volunteer
madawn ai	vomit
hkra machyi loi ai	vulnerable
byin loi ai	vulnerable
hkam sha loi ai	vulnerable
shabrai	wage
shabrai	wages
shata shabrai	wages
ginshang	waist
nshang	waist
mashi	waist
Naw lat u	wait
Jahkring mi	wait
hpajau wa	waiter
la taw ai	waiting
a la dingda nga ai	waiting
jasu ai	wake
rawt ai	wake
yup hprang ai	wake
rawt ai	wake up
lam hkawm ai	walk
lam hkawm taw ai	walking
shakum	wall
tingsan	wallet
htung pa	wallet
wam hkawm ai	wander
jawt hkawm ai	wander
mayu ai	wanna
ra marin ai	want
ra ai	want
ra sharawng ai	wanted
gasat gala majan	war
majan	war
bu hpun palawng sumpu	wardrobe
rai mahkawng da ai shara	warehouse
rai htun da ai shara	warehouse
lum ai	warm
sadi jaw ai	warn
sadi jaw ai lam	warning
hpyen la	warrior
gasat gala hpyen la	warrior
hkrut ai	wash
kashin ai	wash
ayai	waste
shama ai	waste
maza	waste
la yu taw ai	watch
sin	watch
hka	water
gin hkyau si	watermelon
lata dingsi ai	wave
hka leng	wave
lata wak ai	wave
mahkrun	way
lam	way
Anhte	we
Anhte gaw	we are
Anhte dang di lu ai	we can
n-gun yawm ai	weak
gawng kya ai	weak
gawng kya ai lam	weakness
nga mu nga mai ai lam	wealth
lu su	wealth
sut ring chying ai	wealthy
sut su ai	wealthy
hpun ai	wear
dagraw ai	wear
bu hpun sumraw da ai	wearing
gali da ai	wearing
du hkra ladaw	weather
hkungran poi	wedding
bat masum ya	Wednesday
tsing	weed
bat	week
laban bat kru ya hte sanit ya nhtoi	weekend
shen yu ai	weight
namnak ai	weight
dingdaw yu ai	weight
alak mi re ai	weird
Hkap tau la ga ai	welcome
ngwi pyaw hkam kaja ai lam	welfare
nga mu nga mai lam	welfare
Kaja sai	Well
hkrak sai	Well
grai hkrak sai	well done
sa ai	went
rai ma ai	were
sinna	west
madi ai	wet
nga magwi	whale
Hpa rai	what
nang gaw gara hku rai	what about you
Nang hpa galaw taw ai rai	what are you doing
Nang ya hpa galaw taw ai rai	what are you doing now
Nang ya hpa baw glaw taw ai rai?	what are you doing right now
nang hpa galaw ai	what do you do
Nang hpa baw kan bau bungli galaw ai rai	what do you do for a living
Nang hpa tsun mayu ai rai	what do you mean
Hpa lachyum rai	what do you mean
Nang hpa ra ai rai?	what do you want
hpa byin mat ai rai	what happened
hpa baw rai	what is
ndai hpa baw rai?	what is this
Nang na bungli gaw hpa rai?	what is your job
Nang na mying hpa rai	what is your name
hpa baw?	what's up
Nang na mying gara hku nga ai rai?	what's your name
Nang na mying hpa rai?	what's your name
hpa mi rai rai	whatever
hkaulan	wheat
gayin shakyi ai	wheel
leng	wheel
Galoi rai	when
Gara ten rai	when
hpa mi rai rai	whenever
Gara kaw rai	where
kanang na rai	where
Nang gara kaw rai?	where are you
Nang gara kaw na rai	where are you from
nang ya gara kaw rai	where are you now
Nang gara kaw nga ai rai	where do you live
gara kaw?	where is
majaw	whereas
rai yang	whereas
rai. nrai	whether
rai yang	whether
gara rai	which
Dai ten laman	while
Aten hta	while
Aten e	while
kahte tsun ai	whisper
kadum ai	whisper
lahpyaw hpyaw ai	whistle
a hpraw	white
Kadai rai	who
Kadai ta	who
nang kadai rai	who are you
kadai rai?	who is
Ndai wa kadai rai?	who is this
yawng	whole
tup	whole
kadai hpe	whom
kade na	whose
Hpa majaw rai	why
hpa na n re na	why not
n shawp ai	wicked
n hkru ai	wicked
dam ai	wide
dam lada ai	wide
gaida	widow
gaida jan	widow
nda	width
madu jan	wife
ningrum ningtau jan	wife
shazai	wild
namshan	wild
matse	wild
matsun maroi	will
sana	will
galaw mayu ai	willing
byin mayu ai	willing
mayu ai	willing
dang ai	win
nbung	wind
nbung bung ai	wind
hku wawt	window
hku wawt chyinghka	window
nbung laja ai	windy
tsabyi jahku	wine
tsabyi ntsin	wine
kashung ta	winter
arut kau ai	wipe
katsut kau ai	wipe
hpri sumri	wire
sin yu sumri	wire
zai	wisdom
hpaji hparat	wisdom
nyan marai	wisdom
htauli htaula rawng ai	wise
kyu hpyi ai	wish
kam ai	wish
Nang na shawnglam a matu a kyu hpyi ya ai	wish you all the best
nat kanu	witch
hpyi	witch
rau	with
dai hte	with
dawm la ai	withdraw
gun la ai	withdraw
shaw la ai	withdraw
shabai la kau ai	withdrawal
shaw la ai	withdrawal
lapran	within
n lawm ai sha	without
sakse	witness
sha a chyoi hpa chye ai	witty
chyahkyawn	wolf
nu num	woman
kanu num ni	women
dang ai	won
na n re	won't
mau ai	wonder
mau hpa	wonderful
nam	wood
hpun	wood
sagu mun	wool
ga	word
ga si ni	words
galaw ai	work
bungli	work
galaw ai	work out
di taw ai	working
galaw taw ai	working
mungkan ga	world
shingtai	worm
latung	worm
bu hpun sumraw ai	worn
myit tsang ai	worried
makran	worried
myit tsang ai	worry
myit ru ai	worry
n kaja ai	worse
hpyang ai	worse
nawku daw jau ai lam	worship
n kaja dik htum	worst
hpyang dik htum	worst
gingdan ai	worth
ging ai	worth
dan ai	worth
ging dan ai	worth it
dan ai	worth it
gingdan ai	worthy
manu dan ai	worthy
na re	would
na ra ai	would
hpye ai lam	wound
ning ma	wound
shinggrum ai	wrap
jahpun ai	wrap
gayawp tawn ai	wrap
n yun	wrath
sinpawt la htet ai	wrath
lata lahkre	wrist
ka ai	write
Ndai kaw ka jahkrat rit	Write here
ka tawn ai laika	writing
laika ka masa	writing
laika ka da ai	written
ka da ai	written
shut ai	wrong
laika ka kau da ai	wrote
ka kau da ai	wrote
dawng lahkawng shading	yard
sun wang	yard
kaham ai	yawn
Rai sa	Yeah
Re ai	Yeah
shaning	year
shaning ni	years
matsi	yeast
jahtau ai	yell
jahtau marawn ai	yell
ahtoi nsam	yellow
ahtoi nsam awng ai	yellow
Mai sa	Yes
re ai tsawra	yes baby
re ai n ja e	yes dear
re tsaw	yes honey
re tsawra	yes my love
re teng ai	yes of course
she rai	yes of course
mani	yesterday
ya	yet
ya du hkra	yet
sun	yield
Nang	you
nang gaw	you are
Nang grai tsawm ai	you are beautiful
Nang grai tsawm htap ai yaw	you are so beautiful
nang dang di ai	you can
Nang chye ai i?	You know
nang mung maren yaw	you too
nun ai	young
hkalung ai	young
asak kaji ai	young
Nang na	your
na hkum nang	yourself
Ramma	youth
mu dik ai	yummy
kaman	zero
