éí	a
hastą́ą́tsʼáadah	sixteen
hastą́diin	sixty
aniłtsooígíí	size
honaanish ájiłʼínígíí	skill
naanish bee jilínígíí	skills
akágí	skin
ałtsʼóózí	skinny
bitis hodeeshzhiizh	skip
tłʼaakał	skirt
yá	sky
naalteʼí	slave
awosh	sleep
awosh	sleeping
bił jinízin	sleepy
agaanzis	sleeve
bidoolgizh	slice
ilzhoł	slide
tʼáá hazhóóʼígo	slightly
ałtsʼóózí	slim
deeztéél	slip
hodínéeʼą́h	slope
halgizhgo hazʼą́	slot
tʼáá hazhóóʼógo	slow
tʼáá hazhóóʼígo	slowly
ałtsʼíísí	small
ayóo hwił ééhozin	smart
ajiłchinígíí	smell
yidloh	smile
łid	smoke
dilkǫǫh	smooth
yistʼéí	snack
chʼosh	snail
naʼashǫ́ʼii	snake
tʼáá hooshchʼįʼ kʼéʼaltǫʼ	snap
zas	snow
yas	snow
ákogo	so
ayóóʼánoolnin	so cute
kʼad hoolzhishdi	so far
nástłééʼ	soak
táláwosh alá bee tánágisígíí	soap
doo bitah hoozdoh da	sober
doo adlą́ą da	sober
jooł nibéʼaleesí	soccer
diné bił naʼadáh	social
diné kééhatʼį́įgi	society
kétiil	socks
yilzhóólí	soft
dishoh	soft
béésh łichíiʼii nitsékeesí bił hadadilyaaígíí	software
łeezh	soil
nahaazniiʼ	sold
ałtsoh nahaazniiʼ	sold out
silaołtsooí	soldier
akétłʼááh	sole
nitłʼiz	solid
bee hashtʼe hodooníłígíí	solution
bee hazhóʼó ádoolníłígíí	solution
hashtʼe nályaa	solve
łaʼ	some
tʼáá háíshį́į́	somebody
haashį́į́ yitʼé	somehow
tʼáá háíshį́į́	someone
tʼáadooleʼé	something
łahda	sometimes
sin	song
hodíinaʼgo	soon
tʼáá íiyisíí bohónéedzą́	sophisticated
Iraq Dineʼé Bizaad	Sorani
nidajildoh	sore
adáyiʼ hodiniih	sore throat
doo iłhózhǫ́ǫ da	sorrow
bee shá náhoołʼaah	Sorry
ałąąh nehaʼnííł	sort
haʼdéestʼį́į́ʼ	sought
haʼnitáh	sought
hwiiʼsizíinii	soul
diné háʼátʼéhígíí	soulmate
diitsʼaʼí	sound
atooʼ	soup
dichʼííʼ	sour
tʼáá haʼátʼííshį́į́ bee ahodooníłígíí	source
shádiʼááh	south
hazʼą́ądi	space
hazʼą́ągi	space
haneʼ doo yáʼátʼéhígíí	spam
hahoozhiizh dóó niléí ałtsohjįʼ	span
Naakai	Spanish
tʼáá bilááh yidziihígíí	spare
ánásdziid	spare
yájiłtiʼ	speak
tʼáá sahdii átʼéhígíí	special
daniinánígíí	species
tʼáá sahdii átʼéhígíí	specific
hwił nizhónígo jinééłʼį́įʼ	spectacular
haneʼ bee haʼadziih	speech
chʼééh hajidziih	speechless
tsxį́įłgo yiwołígíí	speed
saad naadzoh	spell
adeeshłííł	spend
íidoolííł	spend
choozʼįįd	spent
dichííʼ	spicy
dah deeshzhah	spike
náábał	spin
waaʼ	spinach
honiłchʼih	spirit
zhééʼ	spit
nizhóní	splendid
ałtsʼááʼnil	split
dííłdzid	spoil
diikʼǫsh	spoil
dííłdzid	spoiled
dííkʼǫsh	spoiled
tʼáadoo hazhóʼó baa nitsáháskézí tʼáadooleʼé ajiłlééhgo	spontaneous
béésh adeeʼ	spoon
hazʼánígi	spot
hazʼą́ągi	spot
bił hizhdiʼnáanii	spouse
nídidzííd	spread
daan	spring
dikʼą́	square
ałchʼįʼ ajileeh	squeeze
naʼashjéʼii łóóʼ	squid
dlǫdiłgai	squirrel
atiin -  street	st
baaʼaalgeed	stab
łį́į́ʼ bighan	stable
łį́į́ʼ yiiʼ sizíní	stable
yistłʼin	stack
naalnishí	staff
ałkééʼ dah honiʼą́ągo biyiʼ hoolzhishígíí	stage
bąąh silį́į́ʼ	stain
bikááʼ háádaʼaldahígíí	stairs
tsin doodago béésh bił adaʼalkaałí	stake
atsiin	stalk
neʼadzaago	stall
bee ídaʼiiljahí	stamp
bee akʼiniʼiiʼnííł	stamp
sizį́h	stand
atʼéhígíí	standard
ádaatʼéhígíí	standard
sǫʼ	star
hahalzhíísh	start
bee hahoolzhiizh	started
dichin hwiinidzin	starving
bee haʼadziih	state
nitsaago bił hahoodzoh	state
haʼoodzííʼ	statement
bił hazʼą́ągi	station
tʼáá haʼátʼííshį́į́ tsin bee bééʼalyaago	statue
bee ił hazʼánígíí	status
tʼáá kǫ́ǫ́h	stay
ádaaʼáholyą́	stay safe
doo nahaʼnáa da	steady
béégashii bitįʼ sitʼéhígíí	steak
anitʼį́į́ʼ	steal
siil	steam
béésh	steel
niinah	steep
atsiin	stem
niʼdeeltáál	step
tsin	stick
dah nitłʼiz	stiff
tʼahdii	still
yishchʼííʼ	sting
aajíchxįʼ	stingy
bił naʼatsih	stir
béeso bąąh alʼínígíí	stock
neestʼį́į́ʼ	stolen
abid	stomach
tsé	stone
yiizįʼ	stood
bikááʼ dah asdáhí ałtsʼóózígíí	stool
neʼ adzaa	stop
tʼáadooleʼé sinilí góneʼ	storage
naalyéhí báhooghan	store
niłtsą́h	storm
haneʼ	story
bikááʼ chʼiyáán alʼíní	stove
béésh biiʼ kǫʼí	stove
kʼézdon	straight
tʼáá kʼéhasdon náasjįʼ	straightforward
bilááh áálzingo	strain
tʼóó haashį́į́ yitʼé	strange
doo adééhojilzingóó	stranger
diné doo bééhojizinígíí	stranger
haitʼéego naanish ádoolníłígíí	strategy
tó bee yidlání	straw
dahwozh	strawberry
naajin	streak
tó nilį́	stream
atiin	street
adziil	strength
hodaʼdiiłʼáhígíí	stress
naatsʼǫǫd	stretch
bee jizį́h	strict
asdzih	strike
tłʼóół ałtsʼóózígíí	string
noodǫ́ǫ́z	strip
bikáh ajitʼį́	strive
dił yiyilii atsiighaʼ yiih yigháahgo	stroke
bidziil	strong
azhdzííłtsʼin	struck
hadítʼéhígíí	structure
tʼáá haʼátʼííshį́į́ alyááígíí	structure
bee achʼįʼ nahwiiʼná	struggle
hachʼįʼ nahwiiʼnáago	struggling
doo nibíʼdidzil da	stubborn
nizhdineedzáh	stuck
ółtaʼí	student
óhooʼaah	study
naʼalkaah	study
óhooʼaah	studying
tʼáadooleʼé	stuff
bikee jideesyis	stunning
diigis	stupid
hazhdítʼéhígíí	style
baa yátiʼígíí	subject
baa hwiinítʼínígíí	subject
íizhniizįįhgo	submission
yah aaʼnil	submit
yah aaltsooz	submit
tʼáá haʼátʼííshį́į́ bee alyaaígíí	substance
tʼáá haʼátʼííshį́į́ bił alyaaígíí	substance
bitsáskʼeh iiyá	substitute
nanitłʼahgo baa honítʼiʼ	subtle
biʼąh jiyáago	succeed
naanish ályaaígíí	success
tʼáá haʼátʼííshį́į́ yáʼátʼéehgo ájooliiłígíí	successful
tʼáá haʼátʼííshį́į́ biʼązhdiigháahgo	successful
díigi ątʼéhígíí dah	such
díigi átʼé	such as
yiłtʼoʼ	suck
tʼáá hooshchʼįʼ	sudden
tʼáá hooshchʼįʼ	suddenly
tiʼhooʼnííh	suffer
achʼįʼ nahwiiʼnáh	suffering
tʼáá bíighah	sufficient
ashįįh łikan	sugar
bee haʼoodzííʼ	suggest
saad bee haʼoodzííʼ	suggestion
ééʼ	suit
beełtʼé	suitable
hxeeł biih náʼniłí	suitcase
azis hxééł biih náʼniłí	suitcase
ałhíidzoh	sum
haneʼ baa náhaneʼígíí	summary
shį́	summer
niinah bitis góʼąąh	summit
jóhonaaʼáí	sun
Damóo	sunday
adinídíín	sunny
eʼeʼaah	sunset
adinídíín	sunshine
yéego nizhóní	super
aláahdi dah sidáhígíí	superior
aláahdi átʼéhígíí	superior
diné bá nidaʼanishí	supervisor
yéego nizhóní	supper
bee áhodooníłígíí	supply
bee íighah asdzį́h	support
ákotʼéego yiʼátʼé	suppose
daatsʼíhígíí	supposed
aooʼ	sure
bikáaʼdi	surface
bikáaʼgi	surface
tʼáá naʼnileʼdii dego kódzaago	surge
atsʼíís naalgizhgo binaʼanishígíí	surgery
yizhí náás yilyą́łígíí	surname
doo hwił bééhozingóó	surprise
doo jijólíígóó ádzaa	surprised
tʼáadoo hooyání adzaa	surprised
neʼnizhníyá	surrender
anaagóó áhootʼéhígíí	surrounding
tʼáá ayídíjįʼ nélʼį́	surveillance
nidaʼídikid bee naʼalkaahígíí	survey
yisdáh jiiyá	survive
hwaaʼayohoolniiʼ	suspect
ayohoojooliiʼ	suspect
atsʼá biʼilniiʼ	suspended
atsánáltʼeʼ	suspended
tʼáá haʼátʼííshį́į́ baa nijólíh	suspicious
siiʼhasin	sustain
tʼááłáhígi átʼéego siłkidgo	sustainability
tʼááłáhígi siłkidígíí	sustainable
tʼáá haʼátʼííshį́į́ neestʼį́įgo nídiilyáhígíí	swag
ajilneeh	swallow
iiłneeh	swallow
ałnááʼooʼnil	swap
tʼáá adzaagóó tʼáá naʼnileʼdii yátiʼ	swear
tʼáá adzaagóó yátiʼ	swear
jiditłéeʼgo	sweat
tó hxąąh haatiłígíí	sweat
ééʼnaatsʼǫǫdii dintánígíí	sweater
ałhxąh nahashóóh	sweep
łikan	sweet
naʼiizeeł baa hózhónígíí baa nidiyííyił	sweet dreams
łikání tʼéíyá yidą́	sweet tooth
awééʼ	sweetheart
niichaad	swell
niichaad	swelling
naʼalkǫ́ǫ́ʼ	swim
naʼałkǫ́ǫ́ʼ	swimming
dah nalchʼąął	swing
bee nídiiltłiʼí	switch
niichaad	swollen
bééshtsoh	sword
bee íʼdiidlííd	symbol
bee ééhozinígíí	symbol
hwił haahojoobaʼgo	sympathy
bee éédahozinígíí	symptoms
ádaatʼéego bee áhootʼéhígíí	system
bikááʼ adání	table
bił ajidiłgo	tackle
naaltsoos bąąh dah siláhígíí	tag
atseeʼ	tail
nizhdiiʼaah	take
niwohjįʼ yiʼááł	take away
ádaaʼáhayą́	take care
bikʼeetʼą́h	take off
nídiilyá	taken
yátiʼ	talk
haʼdiłchʼał	talkative
nineez	tall
naniltąsh	tap
bee ałhídaʼdiiljeehí	tape
bikʼeh niitʼánígíí	target
naanish	task
ajilniihígíí	taste
jilniih	tasty
naʼneestą́ą́ʼ	taught
chʼil ahwéhí	tea
naʼnitin	teach
báʼóltaʼí	teacher
ahił dajilį́h	team
ahił dajilį́įgo	team
yizdlad	tear
nákʼeeshtoʼ	tears
dloh hwidichííd	tease
béésh łichíiʼii bee naʼanish	technology
awooʼ	teeth
baa haneʼ	tell
shił holneʼ	tell me
áhachxįʼ	temper
niłchʼih naʼałkidígíí	temperature
tʼáá haʼátʼííshį́į́ bichʼįʼ tsohodizinígíí	temple
tʼáá haʼátʼííshį́į́ biyiʼ tsohodizinígíí	temple
tʼóó hónishgháníjįʼ	temporary
neeznáá	ten
neeznáádimííl	ten thousand
diné hooghan yiiʼ bighanígíí	tenant
diné kéyah bikááʼ kééhatʼínígíí	tenant
átʼéhígi átʼéego	tend
áhootʼéego	tendency
ahoonííł	tendency
ditʼóódí	tender
dashnitłʼizgo	tense
hadoh nidaaskidígíí	tense
atah hótłʼiz	tension
tʼáá dashnitłʼiz	tension
nibaal	tent
shąʼshin dooleeł daatsʼí	tentative
bee ałghaʼdeestʼánígíí	term
bee aghaʼdeetʼánígíí	terms
baaʼih	terrible
nizhóní	terrific
kéyah	territory
bee íʼneelʼąąh	test
saad naasdzooígíí	text
ahxéheeʼ	thank
ahxéheeʼ	thank you
Bił ádaʼalyaaígíí neilkaah bibaʼ nanináhígíí baaʼahxééniidzin	Thank you for your patience while we investigate shipment
Bił ádaʼalyaaígíí neilkaah bináh nanináhígíí baaʼahxééniidzin	Thank you for your patience while we investigate shipment
nitsaago ahxéheeʼ	thank you so much
nitsaago ahxéheeʼ	thank you very much
baaʼahxééhwiinidzin	thanks
ahxéheeʼ	thanks
nihi app choiníłʼínígíí baaʼahxééhniidzin	Thanks for using our app
niléí	that
díí éí	that is
eii nizhóní	that's good
díí	the
aniʼííʼ	theft
daabí	their
bí	them
binahjįʼ nitsáhákeesígíí	theme
tʼáá bí	themselves
íídą́ą́ʼ	then
díigi áhootʼįįd shąʼshin hwiinidzinígíí	theory
díigi adzaa shąʼshin hwiinidzinígíí	theory
dząądi	there
kǫ́ǫ́h éí	there are
akǫ́ǫ́h	there is
biniinaago	therefore
díidígii	these
bi	they
bí éí	they are
ditą́	thick
aniiʼįįįhį́	thief
atłaakááʼ	thigh
ałtʼą́ą́ʼí	thin
tʼáadooleʼé	thing
tʼáadooleʼé	things
baa nitsáhákees	think
tááʼ góneʼ	third
dibááʼ hasin	thirsty
tááʼtsʼáadah	thirteen
tádiin	thirty
díí	this
díí éí	this is
tʼáá ałtsohjįʼ	thorough
yéego	thoroughly
niléí	those
ákoh	though
nitsáhaskééz	thought
ayóo nitsáhákees	thoughtful
nitsáháskééz	thoughts
dimííl	thousand
bee náʼalkadí	thread
saad bee ineeshił	threat
honeeshił	threaten
tááʼ	three
chʼéʼatiin biyaa sitánígíí	threshold
hwił hózhǫ́	thrilled
biká ajitʼį́h	thrive
azágí	throat
binikáh	through
tʼáá biyiʼ hoolzhish	throughout
eeltsʼid	throw
alátsoh	thumb
niʼdiʼníh	thunder
Damóodóó Dį́ʼí Jį́h Nidaʼanish	Thursday
Dį́ʼí Jį́h Nidaʼanish	Thursday
díígi átʼéego	thus
chʼosh	tick
tó yilkʼoł	tide
hashtʼe hólzin	tidy
beʼastłʼǫ́	tie
náshdóítsoh noodǫ́zígíí	tiger
niłdzil	tight
Ethiopia Dineʼé Bizaad	Tigrinya
oolkił	time
oolkiłí	time
doo adaijódlíi da	timid
ałyáázhí	tiny
chʼíhootʼánígíí	tip
hwił chʼíhwiitaah	tips
chidí bikeeʼ	tire
chʼééh deeyá	tired
naaltsoos bee áditʼoodí ałtʼą́ʼígíí	tissue
bee wójíhígíí	title
-dę́ę́ʼ	to
-jįʼ	to
-góó	to
atʼéego	to be
bááh yideezí	toast
díí jį́h	today
awééʼ	toddler
kézhoozh	toes
tʼáá átʼé	together
tʼáá ałhiiʼjįʼ	together
niiʼoh góneʼ bikááʼ dah naʼnidaahí	toilet
baa hóóneʼ	told
bee haʼoodzííʼ	told
tʼáá bíighah dooleeł	tolerance
bee hojisą́	tolerate
chʼil łichíʼí	tomato
yiskʼą́ągo	tomorrow
atsooʼ	tongue
díí tłʼééʼ	tonight
ałdóʼ	too
eelyá	took
bee nidaʼanishí	tool
bee nidaʼanishí	tools
awooʼ	tooth
hódahdi	top
baa yátiʼígíí	topic
baa hwiinítʼínígíí	topic
yizdlad	torn
diné tiʼbijiiłníihgo	torture
tʼáá átʼégo	total
biʼdinih	touch
yidilnih	touch
nanitłʼah	tough
nitłʼiz	tough
tʼáá haʼátʼííshį́į́ bitaaʼ adáago danélʼį́h	tour
bichʼįʼjigo	toward
bichʼįʼ	towards
beʼaditʼoodí	towel
kintah	town
bááhadzid	toxic
akékʼeh nátʼą́ą́ʼ nináʼalkaah	trace
akékʼeh naʼadzoh	trace
nijiłkaah	track
ałnááʼilyé	trade
óʼoolʼįįł	tradition
óʼoolʼįįł	traditional
chidí ałnáʼatʼį́	traffic
jáadee bee atiin	trail
kǫʼnaʼałbąąsii	train
naʼnitin	train
binaʼniltin	training
ajítʼéhígíí	trait
ajítʼéhígíí	traits
łahjigo biʼilnííh	transfer
nááná łahgo bił éʼelyaa	transition
łaʼ nááná saad bee haneʼ alʼínígíí	translate
binígháh hootʼį́	transparent
tʼáá haʼátʼííshį́į́ nááná łahgo ilnééh	transport
bee chʼaanaʼadáhí	transportation
bee ódleehí	trap
tsʼiilzéí	trash
yéego achʼįʼ anáhatʼihgo	trauma
chʼaanaʼadáh	travel
bee naʼakáhí	tray
naadeełí	treasure
tʼáadooleʼé	treat
ąąh áʼalʼį́	treatment
tʼiis	tree
gad	tree
bohónéedzánígi átʼéego alyaa	tremendous
hoolzhish bikʼeh tʼáá haʼátííshį́į́ łahgo áánííł	trend
nibíʼnitaahgo chooʼį́h	trial
inaʼadloʼ	trick
bizhneeztą́ą́ʼ	tried
habijiiswod	trigger
belzhééh	trim
chʼaanaʼadáh	trip
isdzih	trouble
nanitłʼago izdzih	trouble
tłʼaajįʼééʼ	trousers
chidí	truck
chidítsoh	truck
tʼáá anííh	true
tʼáá aníinii	true
sitsʼaaʼ	trunk
baʼahódlí	trust
tʼáá aníinii	truth
tʼáá anínígíí	truth
nabiʼnítaah	try
South Africa Dineʼé	Tsonga
bee altʼoodí	tube
Damóodóó Naaki Jį́h Nidaʼanish	Tuesday
Naaki Jį́h Nidaʼanish	Tuesday
béeso óltaʼ bikʼéh siláhígíí	tuition
tązhii	turkey
náʼoogiz	turn
chʼééhdigháhii	turtle
óhooʼaah yee ákaʼanálwoʼí	tutor
naakitsʼáadah	twelve
naadiin	twenty
naadinlaʼ	twenty-one
Ghanadi Dineʼé	Twi
naakidi	twice
ałkʼídeesdiz	twist
naaki	two
ádaatʼéhígíí	type
tʼáá haashį́į́ jitʼéego binahjįʼ bee hwééhozin	typical
baaʼih	ugly
akéedi adzaaígíí	ultimate
bee chahaʼohí	umbrella
doo bíighah da	unable
shidaʼ	uncle
shiyáázh	uncle
doo hwił ééhozin da	unconscious
biyaadi	under
biyaadi	underneath
doo ilį́įgo baa nitsáhákees da	underrated
bikʼiʼdiitįįh	understand
akʼiʼdiitįįh	understood
doo bíighah da silį́į́	unfortunately
ééʼ naanish biniiyé bee háázhdiitʼįįhígíí	uniform
tʼáá sahdii átʼé	unique
tʼááłahjįʼ átʼéego siʼą́	unit
hódahgo bidziilgo óltaʼígíí	university
doo bééhozin da	unknown
áko nidi	unless
áko índa	until
ákotʼée łeh	unusual
dego	up
tʼáá ni bee nóholnííh	up to you
háádilyaa	update
nináneelʼį́įgo bee náás anáánályaa	upgrade
baa hoolzhiizhgo	upon
naahxǫʼ	upset
kintah binaadi	urban
bee jigod	urge
tsxį́įłgo bee áhodooníłígíí	urgent
nihí	us
chooʼį́h	use
choozʼįįd	used
chooʼínígíí	useful
tʼáadoo bee chǫǫʼíní da	useless
łeh	usual
łeh	usually
tʼáá haʼátʼííshį́į́ chodaaʼínígíí	utility
chʼaanaʼadáh	vacation
azeeʼ bił aaʼadaʼatsiígíí	vaccination
azeeʼ bił aaʼadaʼatsii	vaccine
tsxiilzéí náyiiláhí	vacuum
doo hazhóʼó yitʼį́į da	vague
tʼáá anii átʼé	valid
dzigai	valley
ilį́	valuable
ilį́	value
tʼáá dikwíigo shį́į́ ałʼąą ádaatʼéego	variety
ałąąh átʼéhígíí	various
lahda ákótʼée łeh	vary
hashtłʼish ásaaʼ	vase
tʼáá kóhoniłtéelgo hazʼánígíí	vast
chʼil naniseʼ daadánígíí	vegetable
chʼil naniseʼ daadánígíí	vegetables
chidí	vehicle
baa naʼiiniihí	vendor
naʼashǫ́ʼii bizhééʼ	venom
tʼáá baa hastiʼ nidi ajilééh	venture
ałhah azlį́įgi	venue
ałhah azlį́įdi	venue
bee bééhoozįįh	verify
tʼáadooleʼé biʼnildíih	versatile
ádaatʼéhígíí	version
sizį́įgo	vertical
tʼáá íiyisíí	very
yéego nizhóní	very good
yéego yaʼátʼééh	very good
tsinaaʼeełítsoh	vessel
tsinaaʼeełí nitsxaazígíí	vessel
beego	via
hatah áhootʼéhígíí	vibe
atah áhosinígíí	vibes
doo aajistiʼ da	vicious
tiʼbiʼdilínígíí	victim
naalnidí	video
nélʼį́h	view
diné kééhatʼínígi	village
diné doo yáʼátʼéhígíí	villain
akʼah díkʼǫ́zhígíí	vinegar
ádą́ą́ʼ yihahgo wáán ályaaígíí	vintage
tʼáá tiʼjidoolíiłgo nijigháh	violence
dziil hwiinidzin	violence
tʼáá tíʼdoolníiłgo	violent
naałniih	viral
doo aadi adleehgóógo	virgin
béésh łichíiʼii biyiʼjįʼ ahxił haneʼ	virtual
hweʼoodląʼ bee jizínígíí	virtue
anááʼ bee hootʼínígíí	vision
aaʼídáh	visit
aaʼídzáh	visit
anáá bee nélʼį́	visual
tʼáá aníinii	vital
tʼáá íiyisíí yitʼį́	vivid
saad bóhooʼaahígíí	vocabulary
hwiinééʼ	voice
bikʼih iidzoh	void
tʼáá haʼátʼííshį́į́ íitsʼaʼígíí bee naagiz	volume
tʼáá ákaʼiilyeedí	volunteer
ákaʼiilyeedí	volunteer
kwiih	vomit
doo nitłahgóó haahonítʼiʼ	vulnerable
béeso naanish bitsʼą́ą́dóó alʼínígíí	wage
naanish bitsʼą́ą́dóó béeso ádaalʼínígíí	wages
awoozhnííʼ	waist
ałtsé	wait
abaʼsidáhí	waiter
abaʼjizdáh	waiting
jidéezʼį́į́ʼ	wake
chʼénádzid	wake up
jooghááł	walk
joogááł	walking
aniʼáh	wall
béeso bizis	wallet
tʼóó nahgóó nijighá	wander
jinízin	wanna
jinízin	want
nidzin	wanted
anaʼ hazlį́į́ʼ	war
bee intéhí	wardrobe
bee nidaʼanishí báhooghan	warehouse
honeezilí	warm
yilzíílí	warm
sizilí	warm
bee ił haneʼ	warn
baaʼákozhnízin biniiyé ił haneʼí	warning
naabaahii	warrior
ńtʼę́ę́ʼ	was
táájigis	wash
taʼadigis	wash
nichxǫ́ʼí	waste
nélʼį́	watch
tó	water
chʼééjiyáán	watermelon
yilkʼoł	wave
dzoołhxał	wave
hoołʼaah	way
nihi	we
nihí éí	we are
nihí éí	we can
doo niłdzil da	weak
doo bichʼįʼ haʼahónínígíí	weakness
ajitʼį	wealth
ajitʼį́h	wealthy
bee naʼadáh	wear
yee naaghá	wearing
niłchʼih ałʼąą ánaaʼníłígíí	weather
iigeh	wedding
Tágí Jį́h Nidaʼanish	Wednesday
Damóodóó Tágí Jį́h Nidaʼanish	Wednesday
chʼil deeníní	weed
damóo	week
Damóo Yázhí dóó Damóo	weekend
aniłdásígíí	weight
tʼáá haashį́į́ yitʼé	weird
yaʼátʼééh wóshdę́ę́ʼ	welcome
woshdę́ę́ʼ	welcome
bee ákaʼanídaʼawoʼí	welfare
nizhóní	Well
yaʼátʼééh	Well
nizhónígo ályaa	well done
niséyá	went
nítʼę́ę́ʼ	were
eʼeʼaah	west
ditłééʼ	wet
łóóʼtsoh	whale
haʼátʼíí	what
haʼátʼíísh	what
nishąʼ	what about you
Haʼátʼíí baa naniná	what are you doing
Haʼátʼíish baa naniná	what are you doing
kʼad haʼátʼíí baa naniná	what are you doing now
kʼad haʼátʼíish baa naniná	what are you doing now
kʼad shąʼ haʼátʼíí baa nininá	what are you doing right now
haʼátʼíish aniłį́h	what do you do
haʼátʼíish ninaanish aniłʼį́h	what do you do for a living
haʼátʼíish bee akʼinidídáh	what do you do for a living
haʼátʼíí yee tʼáá bidiníh	what do you mean
haʼátʼíish tʼáá bidiníh	what do you mean
haʼátʼíish nínínzin	what do you want
haash hoodzaah	what happened
haash hóótʼįįd	what happened
atʼéhígíí	what is
díí haʼátʼíish átʼé	what is this
haʼátʼíish ninaanish	what is your job
nizhiʼ haash yitʼé	what is your name
haash yinilyé	what is your name
haʼátʼíish	what's up
haash yinílyé	what's your name
tʼáá haʼátʼííshį́į́	whatever
dah díníisą́h	wheat
chidí bikeeʼ	wheel
akeeʼ	wheel
hahgo	when
tʼáá hahgo shį́į́	whenever
háadi	where
háadish	where
háadish naniná	where are you
Haadę́ę́ʼ nininá	where are you from
Haadę́ęsh naniná	where are you from
kʼad háadish nininá	where are you now
kʼad háadi naniná	where are you now
háadish kééhonítʼį́h	where do you live
háadish nighan	where do you live
háadi	where is
iiją́ą́shį́į́ eii	whereas
áko shį́į́	whether
háídígíí	which
-go	while
tʼáá hazhóóʼígo yátiʼ	whisper
tsisǫ́ǫ́s	whistle
łigai	white
Háísh	who
háí	who
háísh anitʼį́	who are you
háíshį́į́	who is
díí shąʼ háísh átʼį́h	who is this
tʼáá nítéénéeʼgo	whole
tʼáá siʼą́ą́ nítʼę́ę́ʼ	whole
háíshį́į́	whom
háísh	whose
haʼátʼíish biniinaa	why
haʼátʼíish biniiyé	why
haʼátʼíísh biniinaa dooda	why not
hweʼiiníziin	wicked
niteel	wide
bił hizhdiʼnáanii ádin yileehgo	widow
aniłtélígíí	width
eʼasdzáá	wife
doo yizhǫǫh da	wild
dooleeł	will
áhwiinidzinígíí	willing
oozbą́h	win
níyol	wind
tsésǫʼ	window
níyol	windy
wáán	wine
tó diłhxił siʼnaaʼiiłáhí	wine
hai	winter
yitʼood	wipe
bééshtsʼósí	wire
hwił ééhosinígíí	wisdom
yéego ił ééhozin	wise
laanaa	wish
nikʼih hojidlį́į dooleeł	wish you all the best
diné beʼiiníziin	witch
bił	with
nátʼą́ą́ʼ adzaa	withdraw
bitsʼádzoh	withdrawal
bitsʼáʼniłgo	withdrawal
biyiʼdę́ę́ʼ	within
tʼáágééd	without
bíínáłígíí	witness
maʼazhdilį́h	witty
maʼiitsoh	wolf
asdzání	woman
asdzání	women
oozbą́h	won
dooda	won't
taʼdidááh	wonder
nizhóní	wonderful
chizh	wood
tsintah	wood
dibé bighaaʼ	wool
saad	word
saad wóltaʼí	words
naanish	work
átah hodilzéí	work out
naʼádiltsʼǫǫd	work out
nidaʼanish	working
tʼáá náhwiizáán nítʼę́ę́ʼ	world
nahasdzáán	world
chʼosh	worm
tʼáá yéego neezhaazh	worn
baa haneʼ	worried
baa hóneʼ	worry
yéego doo áhodzaa da	worse
bichʼįʼ tsohodizin	worship
yéego doo ákodzaa da	worst
ilį́	worth
bíighah	worth it
ilį́	worthy
dooleeł	would
łóód	wound
sxih	Wow
bikʼíʼdeesdiz	wrap
yéego háháchxįʼgo	wrath
alátsíín	wrist
naʼadzoh	write
kweʼé	Write here
saad naadzoh	writing
naasdzoh	written
doo ákotée da	wrong
naasdzoh	wrote
hooghan bineʼdę́ę́ʼ hazʼánígíí	yard
tááʼ adéeseezgo	yard
nízhdiichʼah	yawn
bíighah	Yeah
tʼáá áko	Yeah
yihahígíí	year
nináhahááh	years
dah díníisą́h	yeast
jidilwosh	yell
łitso	yellow
Aooʼ	Yes
aooʼ, awééʼ	yes baby
aooʼ, awééʼ	yes dear
aooʼ, shichʼooníh	yes honey
aooʼ shichʼooníh	yes my love
aooʼ, tʼáá áko	yes of course
adą́ą́dą́ą́ʼ	yesterday
tʼahdii	yet
tʼóó biyó neʼ adzaa	yield
ni	you
ni éí	you are
ayóóʼáníínilnin	you are beautiful
nízhóní	you are beautiful
yéego nízhónį	you are so beautiful
ni ałdóʼ wóshdę́ę́ʼ	you are welcome
ni ałdóʼ yáʼátʼééh	you are welcome
ni éí	you can
nił bééhozin	You know
ni ałdóʼ	you too
ni ałdóʼ ahxéheeʼ	you're welcome
anii naagháh	young
ni	your
ni ałdóʼ yaʼátʼééh	your welcome
tʼáá hó	yourself
nooséłí	youth
ni ałdóʼ yáʼátééh	you’re welcome
łikan	yummy
ádin	zero
