ၼိူင်ႈဢၼ်	a
ၶၢမ်ႇၵိၼ်ႇ	oath
ပီးလူၼ်ႉ	obesity
ၸွမ်းၶေႃႈတီႈသင်ႇ	obey
ၶူဝ်းၶွင်	object
ထင်ႉ	objective
ႁူႉပုၼ်ႈၽွၼ်း	obligation
ဝဝ်းမွင်	obscure
ႁပ်ႉထွမ်ႇတုင်းဢဝ်	observation
လဵပ်ႈႁဵၼ်း	observe
မႆႈၸႂ်	obsessed
ၸႂ်ၸပ်း	obsession
ဢမ်ႇမီးၵၢပ်ႈမၼ်း	obsolete
လွင်ႈႁၢမ်ႈသီး	obstacle
ၶဝ်ႈပႃး	obtain
လႆႈမႃး	obtained
ႁူႉလႆႈငၢႆႈ	obvious
ဢၼ်ႁူႉငၢႆႈ	obviously
မၢင်ႊပွၵ်ႈမၢင်ႊလႂ်	occasionally
ၼႃႈၵၢၼ်	occupation
ႁုပ်ႈသိမ်းဢဝ်	occupation
ၶဝ်ႈယူႇထင်သဝ်း	occupation
ၼႃႈၵၢၼ်	occupied
ပဵၼ်မႃး	occur
ပေႃႇပဵၼ်မႃး	occurred
ပေႃႇပဵၼ်မႃး	occurs
ၼမ်ႉသမ်ႇမုၵ်ႉ	ocean
လိူၼ်သိပ်း	october
ဢၼ်လၢၵ်ႇလၢႆး	odd
ၸိၵ်ႉ	odds
ၶွင်	of
ၸိူင်ႉၼၼ်ယဝ်ႉ	of course
ႁပ်း	off
လူလၢႆ ႁဵတ်းတီႈ	offensive
ၶူဝ်းပၼ်	offer
ယိုၼ်ႈပၼ်	offer
ႁွင်ႈလုမ်း	office
ၸွမ်းတြႃး	official
ၵႆႉၵႆႉ	often
ဢူဝ်ႉႁူဝ်	Oh
ဢူဝ်ႉ ၸႂ်ႈႁႃႉ	oh really
ၼမ်ႉမၼ်း	oil
လႆႈယူႇ	ok
လီယဝ်ႉ ႁၵ်ႉဢိူၺ်း	ok dear
လီယဝ်ႉ ႁၵ်ႉဢိူၺ်း	ok honey
လီယဝ်ႉ ႁၵ်ႉဢိူၺ်း	ok my love
လႆႈယူႇ	okay
လီယဝ်ႉ ဢေႁဝ်း	okay baby
လီယဝ်ႉ ၵေႃႉႁၵ်ႉ	okay dear
လႆႈယူႇ ၵေႃႉႁၵ်ႉ	okay honey
ႁဝ်းလႆႈၸႂ်	okay my love
ဢၼ်ထဝ်ႈ	old
တၢင်းၼိူဝ်	on
ပွၵ်ႈလဵဝ်	once
ဢၼ်ၼိူင်ႈ	one
လိၵ်ႈလၢႆးၵႂၢမ်းလၢတ်ႈ ၼိူင်ႈဢၼ်ၼႆႉ ပႆႇၵုမ်ႇထူၼ်ႈ	one language is never enough
ၽၵ်းမူဝ်ႇ	onion
ၼိူဝ်ၼႅင်ႊ	online
ၼႆႉၵွၺ်း	only
ၽုၺ်ႇ	open
ၽႃႇတတ်း	operation
တၢင်းႁၼ်ထိုင်	opinion
တိုဝ်ႉတၢင်း	opportunities
တိုဝ်ႉတၢင်း	opportunity
တေႃႇၼႃႈ	opposite
ပိၼ်ႈၾူၼ်	opposite
ႁၼ်ၽၢႆႇလီ	optimistic
သုၼ်ႇလိူၵ်ႈတိုဝ်ႉတၢင်း	option
ဢမ်ႇလိူၵ်ႈသင်	optional
ဢမ်ႇၼၼ်	or
မၢၵ်ႇဝၢၼ်	orange
သီလိူင်မၢၵ်ႇၸွၵ်း	orange
သင်ႇ	order
မၢႆၶပ်ႉ	order
လၢႆးၽဵၼ်ႈ	ordinary
မူႇၸုမ်း	organization
ၶူၼ်ႉၶႆႈ	orientation
ငဝ်ႈတိုၼ်း	origin
ငဝ်ႈတိုၼ်း	original
ၶိူဝ်းဢူဝ်ႇရူဝ်ႇမူဝ်ႇ	Oromo
လုၵ်ႈဢွၼ်ႇၽၢၼ်ပေႃႈမႄႈ	orphan
တၢင်ႇဢၼ်	other
ထႅင်ႈတၢင်းၼိူင်ႈ	otherwise
ၶေးပဵၼ်	ought
ၶူဝ်းၶွင်ၸိူဝ်းႁဝ်း	our
ပဝ်ႉမၢႆႁဝ်း - တႃႇႁဵတ်းႁႂ်ႈ ၵူၼ်းၵူႊၵေႃႉ၊ ၵူႊတီႈ ႁူႉႁၼ်သေ မွၵ်ႇၼႆတေႃႇ ၽႃႇသႃႇၼႂ်းလူၵ်ႈ ႁႂ်ႈပွင်ႇၸႂ်။	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
ပဝ်ႉမၢႆႁဝ်း - တေၸတ်းပွင်ႊ ႁႂ်ႈၶေႃႈမုၼ်းလုမ်ႈၾႃႉသေ ႁဵတ်းႁႂ်ႈမၼ်း ပၼ်ၽွၼ်းလီ ၶဝ်ႈတၢင်းတိုဝ်းၼၼ်ႉ။	Our mission: to organize the world's information and make it universally accessible and useful.
ဢွၵ်ႇၵႂႃႇ	out
ငိုၼ်းဢွၵ်ႇ	outcome
ၶူဝ်းၶွင်ဢၼ်လူဝ်ႇ	outfit
ပွင်ႇၸႂ်	outgoing
ႁူးဢွၵ်ႇ	outlet
ႁွၺ်းၶွပ်ႇ	outline
ၽၢႆႇၼွၵ်ႈ	outside
ပွင်ႇၸႂ်	outstanding
မေႃႈတင်ႈ	oven
ပူၼ်ႉလိူဝ်	over
မီးၼၼ်ႉၵွၺ်း	over there
ႁုပ်ႈတုမ်	overall
ၶၢမ်ႈပူၼ်ႉ	overcome
ဝူၼ်ႉပူၼ်ႉ	overthinking
ႁူမ်ႇငမ်း	overwhelmed
ႁူမ်ႇငမ်း	overwhelming
ထုၵ်ႇၼီႈ	owe
ၵဝ်ႉ	owl
ပိူင်ႇဝႆႉ	own
ၸဝ်ႈၶွင်	owner
ဝူဝ်းငၢၼ်	ox
ႁိဝ်ႈၸင်ႊ	pace
ႁေႃႇ	pack
တိင်ၶွင်ႉ	package
ၸၢႆႇ	paid
လွင်ႈၸဵပ်းသႅပ်ႇ	pain
ယွမ်ႉ	paint
ယွမ်ႉသီ	painting
ၵူပ်ႉ	pair
ၽိူၵ်ႇသလၢၵ်ႇ	pale
ထၢၼ်	palm
မေႃႈၶူဝ်ႈ	pan
တၢင်းပဵၼ်ႁႃ	pandemic
တိုၼ်ႇသၢၼ်ႈ	panic
ၵူၼ်ၵႁၢတ်ႈ	pants
ၸေႈ	paper
မိူင်းၽီ	paradise
သိုဝ်ႈပဵင်းၵၼ်	parallel
ၸွၵ်း	parcel
ယွၼ်းသၢႆၸႂ်	pardon
ပေႃႈမႄႈ	parents
သူၼ်မွၵ်ႇ	park
ၼူၵ်ႉၶဵဝ်	parrot
ၽၵ်းၵီး	parsley
တွၼ်ႊ	part
ၶဝ်ႈႁူမ်ႈၸွမ်း	participate
လၢႆးၵေႃႉ	particular
ၵမ်ႉၼမ်	particularly
ၵေႃႉသေႈ	partner
ပၢင်ပွၺ်း	party
ပူၼ်ႉ	pass
မူတ်း	passage
လတ်းပူၼ်ႉ	passed
ႁၵ်ႉႁႅင်း	passion
ႁၵ်ႉႁႅင်း	passionate
ဢမ်ႇတူင်ႉဢမ်ႇၼိုင်	passive
မၢႆလပ်ႉ	password
ပူၼ်ႉယဝ်ႉ	past
ဢၼ်ၽုင်	patch
ၽူႈႁႃၼႃႈလိၼ်မႂ်ႇ	path
လီဢီးလူ	pathetic
ၸႂ်ယၢမ်း	patience
ၵူၼ်းပဵၼ်	patient
ႁၢင်ႊၽၢင်	pattern
ၵိုတ်းဝႆႉ	pause
တၢင်းၵူၼ်းပႆ	pavement
ၸၢႆႇ	pay
လၢႆးၸၢႆႇငိုၼ်း	payment
ငမ်းယဵၼ်	peace
ၵတ်းယဵၼ်	peaceful
မၢၵ်ႇမူၼ်ႇ	peach
ႁွတ်ႈၸိၵ်းႁွတ်ႈယွတ်ႈ	peak
မၢၵ်ႇၵေႃႈ	pear
ထူဝ်ႇၶၢမ်း	peas
ဢမ်ႇလႆႈၸႂ်	peculiar
ယဵဝ်ႈ	pee
ပွၵ်ႇပိူၵ်ႇ	peel
ၵေႃႉသေႈ ပဵင်းၵၼ်	peer
ၵေႃႉသေႈ	peers
ၵမ်တႅမ်ႈ	pen
ၵမ်ႈႁႅင်ႈ	pencil
တိုၵ်ႉၵိုတ်းဝႆႉ	pending
ၵူၼ်း	people
မၢၵ်ႇၽိတ်းပွမ်ႈ	pepper
လဵပ်ႈႁဵၼ်းမႅၼ်ႈ	perceive
ႁူႉပွင်ႇႁၼ်လႅင်း	perception
တဵမ်ထူၼ်ႈ	perfect
ႁဵတ်းသၢင်ႈ	perform
လဝ်ႇမူၼ်ႊၸႂ်	performance
ယူဝ်ၶေး	perhaps
ၶၢဝ်းၼႆႉ	period
ဢမ်ႇမၼ်ႈၵိုမ်း	permanent
ၶေႃႈပၼ်ၶႂၢင်ႉ	permission
ယွၼ်းၶႂၢင်ႉ	permit
ၸႂ်ဢိုၼ်ႇ	perseverance
တိုၼ်းမီးဝႆႉ	persistent
သုၼ်ႇၵူၼ်း	person
သုၼ်ႇတူဝ််	personal
သုၼ်ႇတူဝ်	personality
ၸဵင်ႇႁၼ်	perspective
ႁႂ်ႈပိူၼ်ႈယုမ်ႇ	persuade
ႁႂ်ႈထိုင်တၢင်းၽိတ်း	pervert
သတ်းႁိူၼ်း	pet
ႁဵတ်းၵမ်းၶၵ်ႉၶၵ်ႉ	phase
ပွင်ႇဝႃႈ	phenomenon
ပၢႆးဝူၼ်ႉၶပ်ႉ	philosophy
မိုဝ်းထိုဝ်	phone
ၶႅပ်းႁၢင်ႊ	photo
ၶေႃႈၵႂၢမ်း	phrase
တွၼ်ႊတူဝ်ၶိင်း	physical
ၵဵပ်း	pick
ၵဵပ်းၶိုၼ်ႈမႃး	pick up
ၶႅပ်းႁၢင်ႊ	picture
ဢိတ်းဢွတ်း	piece
ပိတ်းပွတ်း	pieces
မူ	pig
ၵႃဢိုဝ်ႈ	pigeon
လွတ်ႇၼမ်ႉ	pile
မွၼ်ႁူဝ်	pillow
ၵူၼ်းႁေႃႈႁိူဝ်းဝိၼ်	pilot
သႂ်ႇၶဵမ်	pin
မၢၵ်ႇႁႃလၢတ်ႈ	pineapple
သီၶွင်	pink
လွတ်ႈဢဝ်ၵုၵ်ႉ	pit
ႁဵတ်းသုမ်ႉ	pitch
ဢီးလူ	pity
ဢွင်ႈတီႈ	place
ဝၢင်း	place
ဢွင်ႈတီႈ	places
တၢင်းပဵၼ်ႁႃႊ	plague
ၽဵၼ်ႈၽဵၼ်ႈ	plain
ၽႅၼ်ၵၢၼ်	plan
ႁိူဝ်းဝိၼ်	plane
တူၼ်ႈ	plant
တူၼ်ႈ	plants
ဢၢင်ႇၽေ	plate
တၢင်းၵူၼ်းပၼ်	platform
လဵၼ်ႈ	play
ၼႄၸိူင်း	play
လဵၼ်ႈ	playing
ၸဝ်ႈၼႃး	pleasant
ၶႅၼ်းတေႃႈ	please
ၶႅၼ်းတေႃႈ	pleased
မူၼ်ႊသိူဝ်း	pleasure
ၵႂၢမ်းမၼ်ႈ	pledge
ၼမ်ၼမ်	plenty
လွၵ်းၸိူင်း	plot
ၽၢင်သဵပ်ႇၾႆး	plug
မၢၵ်ႇမၼ်ႉ	plum
ၵူၼ်းမႄးၼမ်ႉ	plumber
မၢႆၼပ်ႉၼမ်	plural
ပွၺ်ႇသဵင်	podcast
ဝွၵ်း	poem
လၢင်ႇၵႃႇ	poetry
ၸီႉ	point
ငူၼ်ႉ	poison
ႁၢၼ်	police
ၵၢၼ်မိူင်း	policy
ယဵၼ်ႇငႄႈ	polite
ႁင်ႈဝူၺ်ႇ	pollution
ၼွင်ဢွၼ်ႇ	pond
ၼွင်	pool
ၶီႈ	poop
ၽၢၼ်	poor
ၵႂၢမ်းပွပ်ႉ	pop
ၸိုဝ်ႈလိုဝ်းလင်ႊ	popular
ႁူဝ်ၼပ်ႉၵူၼ်းမိူင်း	population
ၼိူဝ်ႉမူ	pork
ၶဝ်ႈတူမ်ႈ	porridge
လဝ်ႈမၢၵ်ႇလႅင်	port
ဢွင်ႈတီႈ	position
လီ	positive
ပိူင်ႇ	possess
ၶူဝ်းပိူင်ႇ	possession
ပိူင်ႇဝႆႉ	possessive
ပဵၼ်လႆႈ	possible
သူင်ႇလိၵ်ႈ	post
ပုၼ်ႈၽွၼ်း	post
ၶၢႆႉလၢႆႊ	postpone
မၢၼ်းၶိူဝ်	potato
ၼိမ်ၼိမ်	potential
လုမ်းထိင်းမၢႆမီႈ သဵၼ်ႈတၢင်း	pound
ၽၢၼ်	poverty
ဢေႇ	poverty
ဢဵၼ်ႁႅင်း	power
မီးႁႅင်းပွင်ႊ	powerful
ၸၢမ်းတူၺ်း	practical
ၽိုၵ်းလႅၼ်ႇ	practice
တၢင်းၽိုၵ်း	practice
လုၵ်ႉယွင်ႈ	praise
ယဝ်ႉၵိူဝ်ႉ	prank
ၼမ်ႉယႃသိတ်ႇ	pray
ၵိုင်ႇၵႃႊၶၼ်	precious
ၸႅင်ႈလႅင်းတႅတ်ႈတေႃးလီ	precise
ၸႅင်ႈလႅင်းတႅတ်ႈတေႃးလီ	precisely
ႁေႃးဝႆႉ	predict
ၵဵၵ်ႉ	prefer
ပၼ်ပူၺ်	preference
မၢၼ်း	pregnant
ၸွမ်းပႃႈၸွမ်းၽၢႆႇ	prejudice
ပၼ်လွင်ႈတၢင်း	premises
ပွတ်းၶိုၵ်ႉတွၼ်း	premium
လႃႊႁႅၼ်း	preparation
ႁၢင်ႈႁႅင်း	prepare
လႃႊႁႅၼ်း	prepared
ႁဵင်း	preposition
ၵၢပ်ႈယၢမ်းလဵဝ်	presence
ၶွင်ၽၢၵ်ႇ	present
ယၢမ်းတေႃႈလဵဝ်	present
တၢင်ႇလၢတ်ႈ	presentation
ထိင်းသိမ်းၼင်ႇပိူင်ၵဝ်ႇ	preserve
လူင်ပွင်ႊၸိုဝ်ႈ	president
ၸၢၵ်ႈဢိတ်ႇလိၵ်ႈ	press
တဵၵ်း	press
ႁႅင်းတဵၵ်း	pressure
ၵျႃး	pretend
ႁၢင်ႊလီ	pretty
ၵႅတ်ႇၶႄဝႆႉ	prevent
ႁူၼ်ၶိုၼ်း	previous
တူဝ်သတ်းထိူၼ်ႇ	prey
ၵႃႊၶၼ်	price
ဢဝ်ၵုင်ႇ	pride
ၵျွင်းၾႃႉၸဝ်ႈယေႇသူႉ	priest
ငဝ်ႈ	primary
လမ်ႇလွင်ႈ	prime
ၸဝ်ႈယိင်း	princess
ပိူင်ႈယႂ်ႇ	principal
လူဝ်ႇဝႆး	prior
မိူဝ်ႈၼၼ်ႉ	prior
ပၼ်ပူၺ်	priority
ၶွၵ်ႈ	prison
သုၼ်ႇတူဝ်	privacy
သုၼ်ႇတူဝ်	private
သုၼ်ႇၶိုၵ်ႉတွၼ်း	privilege
သူး	prize
ဢၼ်ၵိုင်ႇလီပဵၼ်၊ ဢၼ်ပဵၼ်လႆႈ	probably
ပၼ်ႁႃ	problem
လၢႆးတၢင်း	procedure
ဢုပ်ႇၵုမ်	proceed
ၶပ်းၶိုင်ႁဵတ်းသၢင်ႈ	process
လွင်ႈတၢင်း	process
ႁဵတ်းဢွၵ်ႇ	produce
ၵုၼ်း	product
ၶူဝ်းၵုၼ်ႇ	product
ထုၵ်ႈဢွၵ်ႇ	product
ႁဵတ်းဢွၵ်ႇ	production
လူင်ႉလႅၼ်ႇ	profession
လူင်ႉလႅၼ်ႇ	professional
ၾၢင်ႁၢင်ႊ	profile
ၼမ်ႉတွၼ်း	profit
ပဵၼ်ယႂ်ႇပဵၼ်လူင်	profound
ထိုင်တီႈ	progress
ၼႃႈၵၢၼ်	project
လွင်ႈယႂ်ႇ	prominent
ၵႂၢမ်းမၼ်ႈ	promise
ပၼ်ၵႂၢမ်းမၼ်ႈ	promise
ပၼ်ႁႅင်း	promote
ပၼ်သူးတွၼ်ႈ	promotion
ယူင်းသေႃႇ	prompt
ၵႆႇပဵၼ်	prone
ႁိၵ်ႈတၢင်	pronouns
လၢႆးဢွၵ်ႇသဵင်	pronunciation
ၼေလၵ်းထၢၼ်	proof
တေႉတေႉဝႃႈဝႃႈ	proper
တေႉတေႉမီးမီး	properly
တၢင်းၵတ်ႉ	properties
လမ်ႉၵတ်ႉ	property
ၶေႃႈတၢင်ႇထိုင်	proposal
တၢင်းမုင်ႈမွင်း	prospect
တၢင်းမုင်ႈမွင်း	prosperity
မၢၵ်ႈမီးႁႅင်းၼႃႇ	prosperous
ၵႅတ်ႈၶႄ	protect
ၸူမ်းၸွမ်း	proud
ၼေလၵ်းထၢၼ်	prove
ၵမ်ႉထႅမ်	provide
ဝၢင်းၽႅၼ်	provided
ၸိုင်ႈမိူင်း	province
ၵမ်ႉထႅမ်	provision
ၵေႃႉယႂ်ႇမႃး	puberty
ၶွင်တင်းၼမ်	public
ၸၼ်	pull
ပၵ်ႉ	pumpkin
ၶၢဝ်းမၢၼ်ႇ	punctual
လုၵ်ႈၼွင်ႉ	pupil
သိုဝ်ႉ	purchase
သႅၼ်ႈ	pure
သီၵမ်ႇ	purple
ယိူင်းမၢႆ	purpose
ၵဵင်ႈသႂ်	purse
ၸွမ်းမႃး	pursue
လမ်းႁႂ်ႈၶိုတ်း	pursuit
တဝ်ႉ	push
သႂ်ႇ	put
လမ်ႉၵတ်ႉ	qualification
ၼမ်ႉလီ	quality
တၢင်းၼမ်	quantity
ပၢင်လိုဝ်ႈႁေႉတၢင်းပဵၼ်	quarantine
ၽိတ်းၽႅၵ်ႇၵၼ်	quarrel
သီႇပုၼ်ႈ ၼိူင်ႈပုၼ်ႈ	quarter
ၶိူဝ်းၶႅတ်ႉသျူႇဝႃႇ	Quechua
ၼၢင်းႁေႃၶမ်း	queen
လၢၵ်ႇလၢႆး	queer
ၸွပ်ႇႁႂ်ႈႁူႉ	query
ၶေႃႈထၢမ်	question
ၶပ်ႉထႅဝ်	queue
ထႅဝ်ၵူၼ်း	queue
ၽႂ်း	quick
ဝႆးဝႆး	quickly
ၼိမ်ယဵၼ်	quiet
ယဵတ်ႈသႂ်ႇၵႅၼ်	quilt
ဢွၵ်ႇ	quit
တၢၼ်ႇတၢၼ်ႇ	quite
ၶေႃႈတႃႉ	quiz
ၽိုၼ်ဢိင်ႈ	quotation
ၶေႃႈဢၢင်ႈဢိင်ႈ	quote
ဢိင်ႈ	quote
ယၢင်း	quotes
ပၢင်တၢႆး	rabbit
လႅၼ်ႈၶႄႉ	race
ၸႂ်လမ်	rage
ၾူၼ်	rain
ယုၵ်ႉၶိုၼ်ႈ	raise
ၽူႈယုၵ်ႉပူၵ်းတၢင်ႇသုင်	raise
ယုၵ်ႉၶိုၼ်ႈ	raised
လႅၼ်ႈ	ran
ၵမ်ႉၺႃး	random
ၶပ်ႉယႆဝႆႉ	range
ဝႆးၽႂ်း	rapid
ဝႆးဝႆး	rapidly
ဢၼ်ႁႃယၢပ်ႇ	rare
ဢေႇႁႅင်း	rarely
ႁဵတ်းဢမ်ႇဝူၼ်ႉ	rash
ၼူ	rat
တၢင်းဝႆး	rate
လိူဝ်သေ	rather
လၵ်းၸဵင်ႁိဝ်ႈၸင်ႈ	ratio
ၸွမ်းလွင်ႈၸွမ်းတၢင်း	rational
ဢၼ်လိပ်း	raw
ၵမ်ႉထႅမ်	re
ႁွတ်ႈၽႅဝ်	reach
ႁွတ်ႈထိုင်	reached
တုမ်ႉတွပ်ႇ	reaction
ဢၢၼ်ႇလိၵ်ႈ	read
လူလိၵ်ႈ	reading
တူဝ်ႈတၼ်း	ready
ဢၼ်တေႉ	real
ဢွၼ်တေႉ	reality
ဢၼ်တေႉ	realize
ဢၼ်ၸိုဝ်ႈၸႂ်ႈ	realized
တေႉတေႉ	really
ၽၢႆႇတၢင်းတူၵ်း	rear
လွင်ႈတၢင်း	reason
မီးလွင်ႈတၢင်း	reasonable
ႁွင်ႉၶိုၼ်း	recall
ႁပ်ႉငိုၼ်း	receipt
လႆႈႁပ်ႉ	receive
ႁပ်ႉလႆႈ	received
ၵမ်းထိုင်	recent
မိူဝ်ႈဢမ်ႇပႆႇႁိုင်သင်ၼႆႉ	recently
ႁပ်ႉၶၢမ်ႇ	reception
လၢႆးႁုင်မိုဝ်ႉ	recipe
ဝႆႉမဝ်ႊမၢင်ႊ	reckless
မၵ်းမၼ်ႈပၼ်	recognition
မၢႆတွင်းဝႆႉ	recognize
ပၼ်တၢင်းႁၼ်ထိုင်	recommend
ပၼ်တၢင်းၶႆႈၸႂ်	recommended
ၶေႃႈမၢႆတွင်း	record
မၢႆတွင်းဝႆႉ	record
ၶူၼ်ႉၶိုၼ်း	recover
ၶိုၼ်းဢဝ်ၶိုၼ်း	recovery
သီႇလႅမ်ႊ	rectangle
သီလႅင်	red
လႅၵ်ႈၶိုၼ်းၶူဝ်းၵမ်ႉ	redeem
ၶႄသၢႆၸႂ်	redemption
လူတ်ႈယွမ်း	reduce
လိူင်ႇမၢၵ်ႈ	redundant
မၢႆထိုင်	refer
ၽိုၼ်ဢိင်ႈ	reference
တွၼ်ႉ	reflect
တူၼ်ႉၶိုၼ်း	reflection
ဢဝ်ပၢႆႊမႃး ထိင်းဝႆႉ	refrain
တူယဵၼ်	refrigerator
ထွၼ်ပၼ်ငိုၼ်း	refund
တွပ်ႇထဵင်	refuse
ထဵင်ၶိုၼ်း	refused
ၼပ်ႉယမ်	regard
တူၺ်းလီလီ	regarding
ဢမ်ႇဝူၼ်ႉလီလီ	regardless
ယွင်ႈယေႃး	regards
လႅၼ်ႊတီႈ	region
သႂ်ႇၸိုဝ်ႈ	register
ၼႅင်ၸႂ်	regret
ၵူႊပွၵ်ႈ	regular
ပဵၼ်ၵူႊၽဝ်ႇ	regularly
ဢဝ်ဢွၵ်ႇ	reject
ၵိုတ်းလိူဝ်	relate
ၵိုတ်း	related
လွင်ႈမိုတ်ႈၵိုဝ်း	relationship
ၵွင်ႉၵဵဝ်ႇ	relative
ပီႈၼွင်ႉ	relative
ပီႈၼွင်ႉ	relatives
လိုဝ်ႈႁိူဝ်ႉ	relax
ပွၺ်ႇပၼ်	release
ၵိုတ်းဝႆႉ	released
သၢင်ႇတေႃႇ	relevant
ယုမ်ႇၸႂ်လႆႈ	reliable
ၸိုၼ်ႈၶႅၼ်း	relief
ၶႅၼ်းသႃႇမႃး	relieve
ယႃတၢင်းၸဵပ်း	relieved
ၼပ်ႉထိုဝ်	religion
ၵၢၼ်ၼပ်ႉထိုဝ်	religious
ဢမ်ႇပႃးၸႂ်	reluctant
ဢိင်	rely
ၵိုတ်းဝႆႉ	remain
ၵိုတ်းဝႆႉ	remaining
ပဵၼ်တီႈတွင်းမၢႆ	remarkable
ၶိုင်တၢင်းၽိတ်းႁဵတ်းႁႂ်ႈ မႅၼ်ႈ	remedy
တွင်းဝႆႉ	remember
ပၼ်ၽၢင်ႉ	remind
ၶေႃႈပၼ်ၽၢင်ႉ	reminder
ၵႆ	remote
ထွၼ်ပႅတ်ႈ	remove
ၸေႇယိမ်	render
ၵႃႊၶၢတ်ႈ	rent
မႄး	repair
သမ်ႉထႅင်ႈ	repeat
တႅၼ်းၶိုၼ်း	replace
ၶၢၼ်ၶိုၼ်း	reply
တၢင်ႇၽိုၼ်	report
လၢႆးငၢၼ်း	report
တၢင်တူဝ်	represent
ၶၢဝ်ႇလိုဝ်း	reputation
တုၵ်းယွၼ်း	request
ယွၼ်းထိုင်	require
ယွၼ်းတၢင်းၸွၺ်ႈထႅမ်	required
ၵဵဝ်ႇၶေ	rescue
ၶူၼ်ႉၶႂႃႉ	research
မိူၼ်	resemble
ႁၢမ်းသိၵ်ႈၶႃႇ	resentment
ဢွင်ႈၶေႃၶေႃ	reservation
ၶေႃၶေႃ	reserve
ၵူၼ်းယူႇသဝ်း	resident
ထွၼ်တူဝ်	resign
ၶၢမ်ႇတၢမ်ႇလႆႈ	resilience
ၶၢမ်ႇတၢမ်ႇ	resilient
ၸင်ႈၶၢမ်ႇ	resist
ၸင်ႈၶၢမ်ႇ	resistance
ၶေႃႈယၼ်ႇၸႂ်	resolution
ၵေႈလိတ်ႈ	resolve
တီႈလိုဝ်ႈသဝ်း	resort
ၶူဝ်းတိုၼ်း	resources
ၼပ်ႉယမ်	respect
တုမ်ႉတွပ်ႇ	respond
တုမ်ႉတွပ်ႇ	response
ပုၼ်ႈၽွၼ်း	responsibility
လီပိုင်ႈဢိင်	responsible
လိုဝ်ႈႁိူဝ်ႉ	rest
ႁႂ်ႈၵႂႃႇႁွတ်ႈတီႈၵတ်းယဵၼ်	rest in peace
ႁၢၼ်ႉတၢင်းၵိၼ်	restaurant
ၶိုၼ်းဝႆႉၶိုၼ်း	restore
မၵ်းၶၼ်ႈ	restrict
ၶေႃႈၵမ်းလိုၼ်း	result
ၼမ်ႉတွၼ်း	results
မႄးတႄႇမႂ်ႇ	resume
ၶၢႆလုမ်း	retail
ထိင်းသိမ်း	retain
ယင်ႇမၼ်ႈဝႆႉ	retention
ဝၢင်းလိုဝ်ႈၵၢၼ်	retired
ႁူၼ်လင်	retreat
ၶၢမ်ႇၽွၼ်းႁၢႆႉ	retrieve
ပွၵ်ႈၶိုၼ်း	return
ပၼ်ႁူႉ	reveal
ၽုၺ်ႇၶႆႊ	revealed
တွပ်ႇတႅၼ်း	revenge
ငိုၼ်းၶွၼ်ႇ	revenue
ပိၼ်ၾူၼ်	reverse
ႁုပ်ႈတူၺ်းၶိုၼ်း	review
ၽိုၼ်ႉတူၺ်း	review
ၶိုၼ်းတူၺ်း	revise
လိုမ်ႉၶိုၼ်း	revision
လုၵ်ႉၽိုၼ်ႉ	revolution
သူး	reward
ၸၢပ်ႇလႅပ်ႈ	rhythm
လုပ်ႇသၼ်လင်	rib
ၶဝ်ႈ	rice
မၢၵ်ႈမီး	rich
ပၢႆႇဢွၵ်ႇ	rid
ၶီႇ	ride
တၢင်းၶႂ်ႈၶူဝ်	ridiculous
မႅၼ်ႈ	right
ယၢမ်းၼႆႉ	right now
ၶိူင်ႇၶမ်ႉ	rigid
ႁၢင်ႊၸွပ်ႇ	ring
သုၵ်ႈၼမ်ႉ	rinse
တွၼ်ႊလမ်ႇလွင်ႈ	riot
သိၵ်ႇ	rip
ႁူၼ်လင်	rip
သုၵ်း	ripe
တၢင်းၶိုၼ်ႈ	rise
ပဵၼ်ၽွၼ်းႁၢႆႉ	risk
ၽွၼ်းႁၢႆႉ	risk
ၽူႈၶႄႉၶဵင်ႇ	rival
ၼမ်ႉၵေး	river
သဵၼ်ႈတၢင်း	road
ယၢင်ႉ	roast
ၶိူင်ႇၶမ်ႉ	robust
ၽႃႁိၼ်	rock
လူၼ်ႈလဵၵ်း	rod
ၽူႈလဵၼ်ႈၸိူင်း	role
ဢိင်ႈ	roll
ႁၢၵ်ႈမႆႉ	roof
ႁွင်ႈ	room
ႁၢၵ်ႈမႆႉ	root
ၸိူၵ်ႈ	rope
ၼဝ်ႈ	rotten
ဢၼ်ဢမ်ႇၶျေုး	rough
ၵႅမ်းဝႆႉ	roughly
ႁွပ်ႈ	round
သဵၼ်ႈတၢင်း	route
ၵၢၼ်ၵူႊဝၼ်းဝၼ်း	routine
ထႅဝ်ၼွၼ်း	row
ထူ	rub
ၵွတ်ႈမွတ်ႇ	rubber
ယုၵ်ႉယၢၵ်ႉ	rubbish
ဢၼ်လိူင်း	rude
ၽႅၼ်ႇထူၶီႈတိၼ်	rug
လူႉလႅဝ်	ruin
ဢုပ်ႇပိူင်ႇ	rule
မႆႉထတ်း	ruler
ဢုပ်ႇပိူင်ႇ	rules
လႅၼ်ႈ	run
လႅၼ်ႈ	running
မၢၼ်ႈၼွၵ်ႈ	rural
မႆႉဢေႃႈ	rush
ၵႂႃႇဝႆးဝႆး	rush
ထူင်ၶဝ်ႈ	sack
ဝႆႉၼၵ်း	sacred
ပွၺ်ႇၽႃႈ	sacrifice
